fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2,target_name
rw_01,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,21587,58441.39831638336,21221.091571237852,41645.48731836204,0.49043478807171514,abs_responder6
rw_01,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,21587,58441.39831638336,21062.447436115202,41553.9406173016,0.4931299625685671,abs_error
rw_01,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,21587,58441.39831638336,21221.091571237852,41645.48731836204,0.49043478807171514,abs_responder6
rw_01,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,21587,58441.39831638336,21032.485073026943,41645.961682052424,0.49496939862740597,abs_error
rw_02,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,21829,61418.891119003296,16586.015820619825,32352.730070129346,0.4873379840073103,abs_responder6
rw_02,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,21829,61418.891119003296,16387.661703562306,32145.44709432497,0.49020271345190214,abs_error
rw_02,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,21829,61418.891119003296,16586.015820619825,32352.730070129346,0.4873379840073103,abs_responder6
rw_02,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,21829,61418.891119003296,16374.010490655397,32079.163547754015,0.4895748928652536,abs_error
rw_03,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22303,49300.97007280588,15855.520256718519,29128.46092713793,0.4556691376046407,abs_responder6
rw_03,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22303,49300.97007280588,15803.021860500943,29085.417711761027,0.4566685609568947,abs_error
rw_03,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22303,49300.97007280588,15855.520256718519,29128.46092713793,0.4556691376046407,abs_responder6
rw_03,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22303,49300.97007280588,15822.789550932073,29139.514671990964,0.4569988646330815,abs_error
rw_04,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22206,59943.280798614025,22501.98983282788,44480.897501862346,0.4941201482752061,abs_responder6
rw_04,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22206,59943.280798614025,22453.100432826388,44415.60996928968,0.49447726940255576,abs_error
rw_04,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22206,59943.280798614025,22501.98983282788,44480.897501862346,0.4941201482752061,abs_responder6
rw_04,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22206,59943.280798614025,22467.11746081576,44395.568386028055,0.4939333298886991,abs_error
rw_05,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22361,46397.88816070557,12632.747620474383,25469.481696128394,0.5040045270181261,abs_responder6
rw_05,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22361,46397.88816070557,12648.890004182591,25467.666645205783,0.5033353396525744,abs_error
rw_05,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22361,46397.88816070557,12632.747620474383,25469.481696128394,0.5040045270181261,abs_responder6
rw_05,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22361,46397.88816070557,12682.308441533933,25532.57117847822,0.5032890204091927,abs_error
