candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
latent_alpha_linear_stack,alpha_latent_stack,110286,275502.42846751213,172496.7792440202,173077.05751362006,0.0033465919455804237,0.0011783578893839186,0.002733040902871101,0.00335271628681455
ridge_rank_alpha10000,alpha_latent_global,110286,275502.42846751213,172535.75823235058,173077.05751362006,0.003112469686299102,0.0000850676323309596,0.003669706992468943,0.003127504529171321
ridge_rank_alpha10000__feature_59_z_residual,residual_correction,110286,275502.42846751213,172539.88298571072,173077.05751362006,0.003084471006115308,-0.00008142161564661521,0.0037392788612528927,0.0031036726393796066
ridge_rank_alpha10000__feature_04_z_residual,residual_correction,110286,275502.42846751213,172553.8807622554,173077.05751362006,0.0030322751179167272,0.00016076704941603293,0.003959065543183266,0.003022796659941429
ridge_rank_alpha10000__risk_abs_error_shrink_s0p05,risk_shrinkage,110286,275502.42846751213,172616.57392278902,173077.05751362006,0.0026311284436810966,0.0002625495765531394,0.002660430113802956,0.002660569791549716
ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p05,risk_shrinkage,110286,275502.42846751213,172616.92174704935,173077.05751362006,0.002629227388707811,0.00026356990375475675,0.0026588043861078166,0.0026585601418287474
ridge_rank_alpha10000__feature_47_z_residual,residual_correction,110286,275502.42846751213,172645.25484268848,173077.05751362006,0.0024376078978471495,0.0001876030346065205,0.0020847835177643685,0.002494857938624251
ridge_rank_alpha10000__risk_abs_error_shrink_s0,risk_shrinkage,110286,275502.42846751213,172668.08203788305,173077.05751362006,0.0023243881558015823,0.00007126375574761923,0.0024088709458843977,0.002362967579945252
ridge_rank_alpha10000__plus_residual_rules,residual_correction,110286,275502.42846751213,172668.08203788305,173077.05751362006,0.0023243881558015823,0.00007126375574761923,0.0024088709458843977,0.002362967579945252
ridge_rank_alpha10000__risk_abs_responder6_shrink_s0,risk_shrinkage,110286,275502.42846751213,172668.08203788305,173077.05751362006,0.0023243881558015823,0.00007126375574761923,0.0024088709458843977,0.002362967579945252
ridge_rank_alpha10000__risk_abs_error_s0p05_micro_regime_scaled,regime_microstructure,110286,275502.42846751213,172675.53868313652,173077.05751362006,0.0022731527473651035,-0.00003953011391888417,0.0024816554773969433,0.0023198847741674467
ridge_rank_alpha10000__risk_abs_error_s0_micro_regime_scaled,regime_microstructure,110286,275502.42846751213,172731.77468350623,173077.05751362006,0.0019388020554210294,-0.00024015900466101137,0.0021611103329574805,0.0019949659132993958
pls_rank_k8__risk_abs_error_shrink_s0p05,risk_shrinkage,110286,275502.42846751213,172734.42681123666,173077.05751362006,0.00184424839717785,-0.00198370836183015,0.004019503447618509,0.0019796425205370616
pls_rank_k8__risk_abs_responder6_shrink_s0p05,risk_shrinkage,110286,275502.42846751213,172734.8723942699,173077.05751362006,0.0018420230732615784,-0.001980178163101476,0.004017541896646179,0.0019770680427890763
pls_rank_k8__risk_abs_error_s0p05_micro_regime_scaled,regime_microstructure,110286,275502.42846751213,172749.9620932269,173077.05751362006,0.0017441384441510444,-0.0020573156944043713,0.004019226956050151,0.0018898831832024898
pls_rank_k8,alpha_latent_recent,110286,275502.42846751213,172778.07596454886,173077.05751362006,0.0015852179034460568,-0.0023784811202249845,0.0041494298667641176,0.001727447608402266
pls_rank_k8__feature_47_z_residual,residual_correction,110286,275502.42846751213,172780.21032942936,173077.05751362006,0.0015708752749183485,-0.002355573501931607,0.004072136156611995,0.0017151157320047794
pls_rank_k8__feature_59_z_residual,residual_correction,110286,275502.42846751213,172781.2302532201,173077.05751362006,0.0015629503393733701,-0.002494419786162494,0.004190926809399442,0.0017092228435688916
pls_rank_k8__risk_abs_error_s0_micro_regime_scaled,regime_microstructure,110286,275502.42846751213,172786.49311587797,173077.05751362006,0.0015298396440717177,-0.002412034214203329,0.004139826259361087,0.0016788152162757752
pls_rank_k8__feature_04_z_residual,residual_correction,110286,275502.42846751213,172787.35081566317,173077.05751362006,0.0015389068149078478,-0.0023775369073961716,0.004223763316816866,0.001673859621366014
pls_rank_k8__risk_abs_error_shrink_s0,risk_shrinkage,110286,275502.42846751213,172792.77946630368,173077.05751362006,0.0015012288713668553,-0.002477061885378662,0.004189009345716493,0.0016424941086949918
pls_rank_k8__plus_residual_rules,residual_correction,110286,275502.42846751213,172792.77946630368,173077.05751362006,0.0015012288713668553,-0.002477061885378662,0.004189009345716493,0.0016424941086949918
pls_rank_k8__risk_abs_responder6_shrink_s0,risk_shrinkage,110286,275502.42846751213,172792.77946630368,173077.05751362006,0.0015012288713668553,-0.002477061885378662,0.004189009345716493,0.0016424941086949918
