fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,ridge_rank_alpha10000,alpha_latent_global,43173,116686.75661540031,81703.77865928102,82026.74549857859,0.003937335771820538
rw_01,pls_rank_k8,alpha_latent_recent,43173,116686.75661540031,81769.66783352253,82026.74549857859,0.003134071253144022
rw_01,latent_alpha_linear_stack,alpha_latent_stack,43173,116686.75661540031,81699.27761153219,82026.74549857859,0.003992208700417943
rw_02,ridge_rank_alpha10000,alpha_latent_global,43657,122914.90160679817,71278.99395213736,72096.49394031105,0.011338970087096056
rw_02,pls_rank_k8,alpha_latent_recent,43657,122914.90160679817,71279.31118753043,72096.49394031105,0.011334569937023087
rw_02,latent_alpha_linear_stack,alpha_latent_stack,43657,122914.90160679817,71343.40938014978,72096.49394031105,0.010445508775846268
rw_03,ridge_rank_alpha10000,alpha_latent_global,44606,98596.04694253206,58988.40301863963,59005.610160629396,0.0002916187451147412
rw_03,pls_rank_k8,alpha_latent_recent,44606,98596.04694253206,59241.42816923639,59005.610160629396,-0.00399653537968736
rw_03,latent_alpha_linear_stack,alpha_latent_stack,44606,98596.04694253206,58966.748090965135,59005.610160629396,0.0006586165206743377
rw_04,ridge_rank_alpha10000,alpha_latent_global,44412,119692.25618124008,87826.69843072211,87848.54909648298,0.0002487310944301324
rw_04,pls_rank_k8,alpha_latent_recent,44412,119692.25618124008,88010.12941822055,87848.54909648298,-0.0018393055252410306
rw_04,latent_alpha_linear_stack,alpha_latent_stack,44412,119692.25618124008,87762.06733743068,87848.54909648298,0.000984441518292134
rw_05,ridge_rank_alpha10000,alpha_latent_global,44722,92794.19328200817,50559.17497494221,50611.54722587923,0.0010347885770668475
rw_05,pls_rank_k8,alpha_latent_recent,44722,92794.19328200817,50615.87251212355,50611.54722587923,-0.00008546046270851981
rw_05,latent_alpha_linear_stack,alpha_latent_stack,44722,92794.19328200817,50521.23332952127,50611.54722587923,0.0017844523889951613
