fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,ridge_rank_alpha10000,alpha_latent_global,21587,58441.39831638336,41526.64705831557,41645.48731836204,0.002853616746947507
rw_01,pls_rank_k8,alpha_latent_recent,21587,58441.39831638336,41603.84054504759,41645.48731836204,0.0010000308796022095
rw_01,latent_alpha_linear_stack,alpha_latent_stack,21587,58441.39831638336,41505.93503869405,41645.48731836204,0.003350958018600414
rw_02,ridge_rank_alpha10000,alpha_latent_global,21829,61418.891119003296,32065.709325283933,32352.730070129346,0.008871608183397606
rw_02,pls_rank_k8,alpha_latent_recent,21829,61418.891119003296,32137.725027449695,32352.730070129346,0.006645653773687643
rw_02,latent_alpha_linear_stack,alpha_latent_stack,21829,61418.891119003296,32094.079526283356,32352.730070129346,0.007994705339714026
rw_03,ridge_rank_alpha10000,alpha_latent_global,22303,49300.97007280588,29067.503603078087,29128.46092713793,0.002092706655951515
rw_03,pls_rank_k8,alpha_latent_recent,22303,49300.97007280588,29155.056888587205,29128.46092713793,-0.0009130575596081325
rw_03,latent_alpha_linear_stack,alpha_latent_stack,22303,49300.97007280588,29056.287708156768,29128.46092713793,0.0024777560050871505
rw_04,ridge_rank_alpha10000,alpha_latent_global,22206,59943.280798614025,44404.670146619406,44480.897501862346,0.0017137099187296556
rw_04,pls_rank_k8,alpha_latent_recent,22206,59943.280798614025,44414.06396759962,44480.897501862346,0.0015025221615622142
rw_04,latent_alpha_linear_stack,alpha_latent_stack,22206,59943.280798614025,44372.45450661077,44480.897501862346,0.0024379677871166905
rw_05,ridge_rank_alpha10000,alpha_latent_global,22361,46397.88816070557,25475.843399320365,25469.481696128394,-0.0002497774893055471
rw_05,pls_rank_k8,alpha_latent_recent,22361,46397.88816070557,25553.334104372923,25469.481696128394,-0.0032922699112984954
rw_05,latent_alpha_linear_stack,alpha_latent_stack,22361,46397.88816070557,25446.285645861943,25469.481696128394,0.000910738999057692
