fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,ridge_rank_alpha10000,alpha_latent_global,21587,58441.39831638336,41547.19162995847,41645.48731836204,0.0023602962705692176
rw_01,pls_rank_k8,alpha_latent_recent,21587,58441.39831638336,41640.387004124794,41645.48731836204,0.00012246979362384725
rw_01,latent_alpha_linear_stack,alpha_latent_stack,21587,58441.39831638336,41533.28896950338,41645.48731836204,0.002694129810534962
rw_02,ridge_rank_alpha10000,alpha_latent_global,21829,61418.891119003296,32031.255098159098,32352.730070129346,0.009936563970750045
rw_02,pls_rank_k8,alpha_latent_recent,21829,61418.891119003296,32071.899068178238,32352.730070129346,0.00868028760918682
rw_02,latent_alpha_linear_stack,alpha_latent_stack,21829,61418.891119003296,32082.59796970076,32352.730070129346,0.008349592131576933
rw_03,ridge_rank_alpha10000,alpha_latent_global,22303,49300.97007280588,29076.232624070573,29128.46092713793,0.0017930333908818819
rw_03,pls_rank_k8,alpha_latent_recent,22303,49300.97007280588,29137.955870673926,29128.46092713793,-0.00032596791020811366
rw_03,latent_alpha_linear_stack,alpha_latent_stack,22303,49300.97007280588,29060.571300298565,29128.46092713793,0.002330697355043432
rw_04,ridge_rank_alpha10000,alpha_latent_global,22206,59943.280798614025,44399.405791633675,44480.897501862346,0.0018320608352216938
rw_04,pls_rank_k8,alpha_latent_recent,22206,59943.280798614025,44394.181088417135,44480.897501862346,0.0019495203180551757
rw_04,latent_alpha_linear_stack,alpha_latent_stack,22206,59943.280798614025,44371.61746261788,44480.897501862346,0.0024567858425043054
rw_05,ridge_rank_alpha10000,alpha_latent_global,22361,46397.88816070557,25468.670886208067,25469.481696128394,0.00003183456695354803
rw_05,pls_rank_k8,alpha_latent_recent,22361,46397.88816070557,25532.474489854027,25469.481696128394,-0.002473265631283361
rw_05,latent_alpha_linear_stack,alpha_latent_stack,22361,46397.88816070557,25439.679683038656,25469.481696128394,0.001170106775053359
