fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2,target_name
rw_01,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,21587,58441.39831638336,20980.05176326508,41645.48731836204,0.4962226854765437,abs_responder6
rw_01,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,21587,58441.39831638336,20803.588808222765,41535.657641422564,0.4991390532968034,abs_error
rw_01,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,21587,58441.39831638336,20980.05176326508,41645.48731836204,0.4962226854765437,abs_responder6
rw_01,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,21587,58441.39831638336,20766.933303304897,41602.22608374364,0.5008215843666183,abs_error
rw_02,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,21829,61418.891119003296,16422.88690974289,32352.730070129346,0.49238018324438637,abs_responder6
rw_02,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,21829,61418.891119003296,16268.047363926484,32214.994619433648,0.49501629424104243,abs_error
rw_02,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,21829,61418.891119003296,16422.88690974289,32352.730070129346,0.49238018324438637,abs_responder6
rw_02,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,21829,61418.891119003296,16231.333312492025,32125.12592101939,0.4947464687796942,abs_error
rw_03,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22303,49300.97007280588,15781.02314878902,29128.46092713793,0.4582266743078618,abs_responder6
rw_03,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22303,49300.97007280588,15723.390119966167,29077.57706047736,0.4592606499756263,abs_error
rw_03,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22303,49300.97007280588,15781.02314878902,29128.46092713793,0.4582266743078618,abs_responder6
rw_03,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22303,49300.97007280588,15746.932820952043,29157.6665686579,0.4599385110645753,abs_error
rw_04,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22206,59943.280798614025,22289.087158872837,44480.897501862346,0.49890653267642304,abs_responder6
rw_04,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22206,59943.280798614025,22253.14179222171,44421.47382432839,0.4990453968225995,abs_error
rw_04,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22206,59943.280798614025,22289.087158872837,44480.897501862346,0.49890653267642304,abs_responder6
rw_04,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22206,59943.280798614025,22249.58490321687,44415.173579506096,0.4990544196931114,abs_error
rw_05,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22361,46397.88816070557,12575.010058796717,25469.481696128394,0.5062714581777987,abs_responder6
rw_05,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22361,46397.88816070557,12592.48100469125,25475.993673740057,0.5057118805273049,abs_error
rw_05,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,22361,46397.88816070557,12575.010058796717,25469.481696128394,0.5062714581777987,abs_responder6
rw_05,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,22361,46397.88816070557,12621.784277908748,25552.826468461502,0.5060513445161479,abs_error
