candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
latent_alpha_linear_stack,alpha_latent_stack,110286,275502.42846751213,172471.01139914303,173077.05751362006,0.0034602322711482446,0.0009527442335869329,0.0027222295536988967,0.003501597052684713
ridge_rank_alpha10000,alpha_latent_global,110286,275502.42846751213,172535.52442857035,173077.05751362006,0.0030911086903346653,-0.00022997405111735425,0.0035410009499090354,0.00312885539440777
ridge_rank_alpha10000__feature_59_z_residual,residual_correction,110286,275502.42846751213,172540.85403454365,173077.05751362006,0.00305331121342165,-0.00040993353292972934,0.0036041933923933508,0.003098062139369473
ridge_rank_alpha10000__feature_04_z_residual,residual_correction,110286,275502.42846751213,172554.47226680015,173077.05751362006,0.0030067031966303894,-0.00015385204787321527,0.0038193048916194366,0.003019379080781981
ridge_rank_alpha10000__risk_abs_error_shrink_s0p05,risk_shrinkage,110286,275502.42846751213,172654.28422732276,173077.05751362006,0.002373636947461022,-0.000022439149574449146,0.0020326890778230577,0.002442688201259924
ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p05,risk_shrinkage,110286,275502.42846751213,172654.8439187013,173077.05751362006,0.0023704779136289656,-0.00002139549501922744,0.0020287780177322538,0.002439454431362287
ridge_rank_alpha10000__feature_47_z_residual,residual_correction,110286,275502.42846751213,172700.4417241887,173077.05751362006,0.002073852544018351,-0.0001257931266660517,0.001438865274611026,0.002176000648738241
ridge_rank_alpha10000__risk_abs_error_shrink_s0,risk_shrinkage,110286,275502.42846751213,172725.69681940202,173077.05751362006,0.0019443390881943579,-0.00025567766511125356,0.0016642686062565493,0.002030082434180458
ridge_rank_alpha10000__plus_residual_rules,residual_correction,110286,275502.42846751213,172725.69681940202,173077.05751362006,0.0019443390881943579,-0.00025567766511125356,0.0016642686062565493,0.002030082434180458
ridge_rank_alpha10000__risk_abs_responder6_shrink_s0,risk_shrinkage,110286,275502.42846751213,172725.69681940202,173077.05751362006,0.0019443390881943579,-0.00025567766511125356,0.0016642686062565493,0.002030082434180458
ridge_rank_alpha10000__risk_abs_error_s0p05_micro_regime_scaled,regime_microstructure,110286,275502.42846751213,172743.44738640575,173077.05751362006,0.0018300996973194428,-0.00043074287685485046,0.0016923857258099835,0.001927523682265453
pls_rank_k8__risk_abs_error_shrink_s0p05,risk_shrinkage,110286,275502.42846751213,172785.6332230224,173077.05751362006,0.0014559465714131692,-0.00270949691890765,0.0036658798585909483,0.0016837834822488462
pls_rank_k8__risk_abs_responder6_shrink_s0p05,risk_shrinkage,110286,275502.42846751213,172786.23478210036,173077.05751362006,0.0014527590327981122,-0.0027062590006707854,0.0036619918191511894,0.0016803078102758384
pls_rank_k8__risk_abs_error_s0p05_micro_regime_scaled,regime_microstructure,110286,275502.42846751213,172807.29028438788,173077.05751362006,0.001316595873873716,-0.0028556968222788193,0.0036730879716965112,0.0015586538915531856
ridge_rank_alpha10000__risk_abs_error_s0_micro_regime_scaled,regime_microstructure,110286,275502.42846751213,172821.69464525863,173077.05751362006,0.0013600839803045606,-0.0006736852104585189,0.0013096369798817375,0.001475428760055908
pls_rank_k8__risk_abs_error_s0_micro_regime_scaled,regime_microstructure,110286,275502.42846751213,172847.74046166206,173077.05751362006,0.0010766873840350355,-0.0032594555616416443,0.0038115351389823617,0.0013249419377259208
pls_rank_k8__feature_47_z_residual,residual_correction,110286,275502.42846751213,172848.62434523404,173077.05751362006,0.0010824107206546473,-0.003115129020004881,0.003699625815175738,0.0013198350588323748
pls_rank_k8__risk_abs_error_shrink_s0,risk_shrinkage,110286,275502.42846751213,172853.01862138853,173077.05751362006,0.0010552937642704264,-0.0032723387671362847,0.0038373171411036117,0.0012944459274384368
pls_rank_k8__risk_abs_responder6_shrink_s0,risk_shrinkage,110286,275502.42846751213,172853.01862138853,173077.05751362006,0.0010552937642704264,-0.0032723387671362847,0.0038373171411036117,0.0012944459274384368
pls_rank_k8__plus_residual_rules,residual_correction,110286,275502.42846751213,172853.01862138853,173077.05751362006,0.0010552937642704264,-0.0032723387671362847,0.0038373171411036117,0.0012944459274384368
pls_rank_k8__feature_59_z_residual,residual_correction,110286,275502.42846751213,172853.3089007808,173077.05751362006,0.0010446917907684483,-0.0032952262136520805,0.003727148777116491,0.0012927687589191494
pls_rank_k8,alpha_latent_recent,110286,275502.42846751213,172854.5023628583,173077.05751362006,0.0010471878264175505,-0.0031405494029550507,0.0036631419942459885,0.001285873205605248
pls_rank_k8__feature_04_z_residual,residual_correction,110286,275502.42846751213,172859.54400845966,173077.05751362006,0.0010258320654588315,-0.0031339816014250843,0.003733811578875852,0.001256743720312481
