candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
alpha_ridge_rank,alpha_rank_latent,189,397.73501819372177,264.9325870112087,265.63454194934366,0.0015055544008621968,-0.0045177453042624105,0.008518232133225084,0.0026425589570683305
alpha_rank_linear_stack,alpha_stack,189,397.73501819372177,265.89176540021754,265.63454194934366,-0.0012439524747152042,-0.002704035906016422,0.0020648697907424277,-0.0009683358534107178
alpha_ridge_rank__risk_shrink_s0p05,risk_shrinkage,189,397.73501819372177,270.71695310630344,265.63454194934366,-0.024570546020696582,-0.05337552461362538,0.04073639138998658,-0.019133095867964967
alpha_ridge_rank__final_regime_scaled_s0p05,regime_scaled_final,189,397.73501819372177,270.72581681530994,265.63454194934366,-0.02461207143085231,-0.05346026372239043,0.040797504788640186,-0.019166463926732824
alpha_ridge_rank__risk_shrink_s0,risk_shrinkage,189,397.73501819372177,271.1480076032934,265.63454194934366,-0.026590697846442468,-0.05750099781971607,0.04371376543922425,-0.020755830975480505
alpha_ridge_rank__plus_residual_rules,residual_correction,189,397.73501819372177,271.1480076032934,265.63454194934366,-0.026590697846442468,-0.05750099781971607,0.04371376543922425,-0.020755830975480505
alpha_ridge_rank__final_regime_scaled_s0,regime_scaled_final,189,397.73501819372177,271.1546718328154,265.63454194934366,-0.026621996440216456,-0.05756519732946774,0.04376029436081439,-0.020780918938337445
alpha_rank_linear_stack__risk_shrink_s0p05,risk_shrinkage,189,397.73501819372177,271.7448304530743,265.63454194934366,-0.02775730751404082,-0.05294537854062664,0.035621311655814475,-0.023002612758456165
alpha_rank_linear_stack__final_regime_scaled_s0p05,regime_scaled_final,189,397.73501819372177,271.75382885915906,265.63454194934366,-0.02779807269212864,-0.05302264382916144,0.03567293060703671,-0.023036487893891344
alpha_rank_linear_stack__plus_residual_rules,residual_correction,189,397.73501819372177,272.2312255091863,265.63454194934366,-0.029953084366290073,-0.05707320340871069,0.038353640162964074,-0.024833681310545197
alpha_rank_linear_stack__risk_shrink_s0,risk_shrinkage,189,397.73501819372177,272.2312255091863,265.63454194934366,-0.029953084366290073,-0.05707320340871069,0.038353640162964074,-0.024833681310545197
alpha_rank_linear_stack__final_regime_scaled_s0,regime_scaled_final,189,397.73501819372177,272.23804843168034,265.63454194934366,-0.029983629248892085,-0.05712949161661762,0.03839004672275087,-0.024859366684307105
alpha_pls_rank,alpha_rank_latent,189,397.73501819372177,295.9185397098496,265.63454194934366,-0.12347334281231304,-0.17362542216969512,0.07092575080842148,-0.11400624910551382
