fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,43173,116686.7578125,80919.88883097161,82026.7421875,0.01349381100615088
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,43657,122914.8984375,70197.57096077657,72096.4921875,0.02633860773399266
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,44606,98596.046875,58490.58112907335,59005.609375,0.008728462452670893
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,44412,119692.2578125,87109.99762275832,87848.546875,0.008407074203430565
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,44722,92794.1953125,50217.4297378822,50611.546875,0.0077870992185080645
rw_01,latent_alpha_linear_stack,family_alpha,43173,116686.7578125,81647.16581760658,82026.7421875,0.004627470990201776
rw_02,latent_alpha_linear_stack,family_alpha,43657,122914.8984375,71293.1831552557,72096.4921875,0.011142137541936825
rw_03,latent_alpha_linear_stack,family_alpha,44606,98596.046875,58987.06290971472,59005.609375,0.0003143169858210726
rw_04,latent_alpha_linear_stack,family_alpha,44412,119692.2578125,87777.6531252697,87848.546875,0.0008069996858476314
rw_05,latent_alpha_linear_stack,family_alpha,44722,92794.1953125,50526.91534879651,50611.546875,0.0016721782168112043
rw_01,ridge_rank_alpha10000,family_alpha,43173,116686.7578125,81660.29087503019,82026.7421875,0.004467461497278058
rw_02,ridge_rank_alpha10000,family_alpha,43657,122914.8984375,71230.5710449763,72096.4921875,0.01201058631634555
rw_03,ridge_rank_alpha10000,family_alpha,44606,98596.046875,58987.99457792865,59005.609375,0.00029852750031611475
rw_04,ridge_rank_alpha10000,family_alpha,44412,119692.2578125,87829.73033852427,87848.546875,0.00021419291661706197
rw_05,ridge_rank_alpha10000,family_alpha,44722,92794.1953125,50563.51869664251,50611.546875,0.0009489569341973869
rw_01,pls_rank_k8,family_alpha,43173,116686.7578125,81718.53117299835,82026.7421875,0.003757445514502189
rw_02,pls_rank_k8,family_alpha,43657,122914.8984375,71272.53327603366,72096.4921875,0.011428557568702313
rw_03,pls_rank_k8,family_alpha,44606,98596.046875,59302.452926184815,59005.609375,-0.005030768334215008
rw_04,pls_rank_k8,family_alpha,44412,119692.2578125,88077.23909617042,87848.546875,-0.0026032555950621372
rw_05,pls_rank_k8,family_alpha,44722,92794.1953125,50630.75661485141,50611.546875,-0.0003795525139520528
rw_01,strong_family_alpha_stack,strong_family_stack,43173,116686.7578125,80919.88883097161,82026.7421875,0.01349381100615088
rw_02,strong_family_alpha_stack,strong_family_stack,43657,122914.8984375,70591.47428597421,72096.4921875,0.020875050309129062
rw_03,strong_family_alpha_stack,strong_family_stack,44606,98596.046875,58574.311985650755,59005.609375,0.007309430305315723
rw_04,strong_family_alpha_stack,strong_family_stack,44412,119692.2578125,87136.8849699506,87848.546875,0.008101009411823679
rw_05,strong_family_alpha_stack,strong_family_stack,44722,92794.1953125,50250.085747987265,50611.546875,0.00714187076529138
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,43173,116686.7578125,80919.88883097161,82026.7421875,0.01349381100615088
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,43657,122914.8984375,70055.4448958741,72096.4921875,0.028309938940133006
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,44606,98596.046875,58534.64729561923,59005.609375,0.007981649276556979
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,44412,119692.2578125,87197.22150074162,87848.546875,0.007414184951575198
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,44722,92794.1953125,50207.50948699048,50611.546875,0.007983106878898805
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_open,strong_family_residual_gate,43173,116686.7578125,80919.88883097161,82026.7421875,0.01349381100615088
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_open,strong_family_residual_gate,43657,122914.8984375,70075.93895225124,72096.4921875,0.028025680223025984
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_open,strong_family_residual_gate,44606,98596.046875,58528.149803755616,59005.609375,0.008091765788062144
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_open,strong_family_residual_gate,44412,119692.2578125,87177.12459187636,87848.546875,0.007642952638465483
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_open,strong_family_residual_gate,44722,92794.1953125,50212.606739403316,50611.546875,0.00788239364787613
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_closed,strong_family_residual_gate,43173,116686.7578125,80919.88883097161,82026.7421875,0.01349381100615088
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_closed,strong_family_residual_gate,43657,122914.8984375,70197.57096077657,72096.4921875,0.02633860773399266
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_closed,strong_family_residual_gate,44606,98596.046875,58494.0131153174,59005.609375,0.00867029872416425
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_closed,strong_family_residual_gate,44412,119692.2578125,87172.09471337203,87848.546875,0.0077002088900854915
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_closed,strong_family_residual_gate,44722,92794.1953125,50213.034867978946,50611.546875,0.007873934539193161
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_q0p9_family_residual_tail,strong_family_residual_tail,43173,116686.7578125,80919.88883097161,82026.7421875,0.01349381100615088
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_q0p9_family_residual_tail,strong_family_residual_tail,43657,122914.8984375,70174.45958457091,72096.4921875,0.026659169463203458
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_q0p9_family_residual_tail,strong_family_residual_tail,44606,98596.046875,58481.84075107689,59005.609375,0.008876590369474746
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_q0p9_family_residual_tail,strong_family_residual_tail,44412,119692.2578125,87105.7708832297,87848.546875,0.008455188141326841
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_q0p9_family_residual_tail,strong_family_residual_tail,44722,92794.1953125,50211.08824627595,50611.546875,0.007912396546841394
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_abs_base_q0p9_family_residual_tail,strong_family_residual_tail,43173,116686.7578125,80919.88883097161,82026.7421875,0.01349381100615088
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_abs_base_q0p9_family_residual_tail,strong_family_residual_tail,43657,122914.8984375,70101.31170028252,72096.4921875,0.027673752587416556
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_abs_base_q0p9_family_residual_tail,strong_family_residual_tail,44606,98596.046875,58503.71318928634,59005.609375,0.008505906320260936
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_abs_base_q0p9_family_residual_tail,strong_family_residual_tail,44412,119692.2578125,87164.30735120467,87848.546875,0.0077888542057381605
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_abs_base_q0p9_family_residual_tail,strong_family_residual_tail,44722,92794.1953125,50214.75470252534,50611.546875,0.007839953468615657
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_risk_q0p9_family_residual_tail,strong_family_residual_tail,43173,116686.7578125,80919.88883097161,82026.7421875,0.01349381100615088
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_risk_q0p9_family_residual_tail,strong_family_residual_tail,43657,122914.8984375,70197.57096077657,72096.4921875,0.02633860773399266
