candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,110286,275502.42578125,171148.25504220798,173077.060546875,0.01086805955857777,0.005304399106533686,0.00574971196093926,0.01114420073100697
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p1_family_regime_scaled,strong_family_regime,110286,275502.42578125,171156.46046073354,173077.060546875,0.010793804065912172,0.00526647551920989,0.0055516652551314705,0.01109679168384825
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p05_family_regime_scaled,strong_family_regime,110286,275502.42578125,171157.98747040323,173077.060546875,0.01078763593449672,0.0053265425869262195,0.00549808401764638,0.011087968968319872
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p02_family_regime_scaled,strong_family_regime,110286,275502.42578125,171159.59712869715,173077.060546875,0.010780098096601586,0.005367449024114568,0.005457999495603405,0.0110786687277864
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,110286,275502.42578125,171166.1176038857,173077.060546875,0.01071917960501092,0.005235980201552359,0.005429663045436606,0.011040994901064582
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p02_family_risk_shrink,strong_family_risk,110286,275502.42578125,171168.28217234497,173077.060546875,0.01070151071484211,0.005165858910355148,0.005453586715506703,0.01102848851545557
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p05_family_risk_shrink,strong_family_risk,110286,275502.42578125,171172.62024306046,173077.060546875,0.01066976041148653,0.005069956065081316,0.005479194281943219,0.011003424126785122
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p1_family_risk_shrink,strong_family_risk,110286,275502.42578125,171181.87768899862,173077.060546875,0.010607304594726075,0.00492982858294988,0.005501557638179301,0.01094993670384814
strong_family_alpha_stack,strong_family_stack,110286,275502.42578125,171597.97845634352,173077.060546875,0.00811183069034307,0.004058310106102692,0.0031528710256187227,0.008545800846501472
latent_alpha_linear_stack,family_alpha,110286,275502.42578125,172501.7469294468,173077.060546875,0.0033057083674528755,0.0009579319370427442,0.0028122013365269294,0.003324031593848309
ridge_rank_alpha10000,family_alpha,110286,275502.42578125,172550.2508770735,173077.060546875,0.0030174852947425722,-0.0002761892781979469,0.003728826549196869,0.0030437867857064926
