candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_q0p95_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171146.750433839,173077.060546875,0.010829716821032665,0.005231073780261775,0.005569076922473916,0.01115289401690056
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,110286,275502.42578125,171148.25504220798,173077.060546875,0.01086805955857777,0.005304399106533686,0.00574971196093926,0.01114420073100697
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_open,strong_family_residual_gate,110286,275502.42578125,171148.82650929835,173077.060546875,0.01086289858853775,0.005301465383175108,0.005755676998794205,0.011140898923774012
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_q0p9_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171149.54399692317,173077.060546875,0.010814758958608084,0.005232910762237197,0.005590608900332747,0.011136753443012126
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p1_family_regime_scaled,strong_family_regime,110286,275502.42578125,171156.46046073354,173077.060546875,0.010793804065912172,0.00526647551920989,0.0055516652551314705,0.01109679168384825
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_or_abs_q0p99_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171156.86820442803,173077.060546875,0.010778968361324614,0.0052449330573407504,0.005553032008909301,0.011094435833262417
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p05_family_regime_scaled,strong_family_regime,110286,275502.42578125,171157.98747040323,173077.060546875,0.01078763593449672,0.0053265425869262195,0.00549808401764638,0.011087968968319872
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p02_family_regime_scaled,strong_family_regime,110286,275502.42578125,171159.59712869715,173077.060546875,0.010780098096601586,0.005367449024114568,0.005457999495603405,0.0110786687277864
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_and_abs_q0p9_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171159.89955582423,173077.060546875,0.010758496502547833,0.005240135458818407,0.005524879342690201,0.011076921372439985
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_and_abs_q0p95_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171160.10661203618,173077.060546875,0.010753849210213917,0.005235980201552359,0.005494032449644254,0.011075725048610097
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_abs_base_q0p99_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171160.83405277145,173077.060546875,0.010755279100359871,0.0052333229297031325,0.005546345469503055,0.011071522061033456
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_q0p99_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171161.20202531814,173077.060546875,0.010746683096583087,0.005247590329189866,0.005433327573145402,0.011069395999119047
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_abs_base_or_risk_q0p99_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171161.30708447762,173077.060546875,0.010761495254150755,0.005254038810878825,0.005520035820319599,0.011068788991124179
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_abs_base_or_risk_q0p9_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171161.68732802974,173077.060546875,0.010792429096092104,0.005336073618258941,0.005653192329558051,0.011066592030123501
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_or_abs_q0p95_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171161.81697684363,173077.060546875,0.010765576965984925,0.005267717651554316,0.005639491639520315,0.011065842948682736
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_and_abs_q0p99_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171165.16787366156,173077.060546875,0.010722993835618366,0.005235980201552359,0.005426668035236798,0.011046482226890086
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,110286,275502.42578125,171166.1176038857,173077.060546875,0.01071917960501092,0.005235980201552359,0.005429663045436606,0.011040994901064582
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_weight_or_abs_q0p9_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171166.1251296923,173077.060546875,0.01075019112231721,0.0052901556221762736,0.005668843018626682,0.011040951418661127
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_risk_q0p99_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171166.22313334187,173077.060546875,0.010724136618360825,0.005262056598384857,0.005405243747694255,0.011040385175802081
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_risk_q0p9_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171167.44200409198,173077.060546875,0.01075182643251571,0.005294304846370612,0.005557220492059307,0.011033342817061698
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p02_family_risk_shrink,strong_family_risk,110286,275502.42578125,171168.28217234497,173077.060546875,0.01070151071484211,0.005165858910355148,0.005453586715506703,0.01102848851545557
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_closed,strong_family_residual_gate,110286,275502.42578125,171170.63624822858,173077.060546875,0.010696251093614783,0.00524992763319454,0.00543484945172557,0.011014887198931289
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_risk_q0p95_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171170.79630626488,173077.060546875,0.010723006297089,0.005314372069290196,0.0054958937724653035,0.011013962419900492
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p05_family_risk_shrink,strong_family_risk,110286,275502.42578125,171172.62024306046,173077.060546875,0.01066976041148653,0.005069956065081316,0.005479194281943219,0.011003424126785122
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_abs_base_or_risk_q0p95_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171174.57492682987,173077.060546875,0.01071233353655463,0.005309738608297199,0.00559628171193586,0.010992130407309952
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_abs_base_q0p95_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171175.17315504077,173077.060546875,0.010689709355166088,0.005272624072844678,0.005565058174449883,0.010988673980392272
gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_abs_base_q0p9_family_residual_tail,strong_family_residual_tail,110286,275502.42578125,171176.48068859335,173077.060546875,0.010693928666256958,0.005297380318757483,0.005604153036037943,0.010981119348088986
gateway_risk_conservative_rls_abs_pred_s100_prediction__ridge_rank_alpha10000__risk_high_error_ridge_rank_score_s0p1_family_risk_shrink,strong_family_risk,110286,275502.42578125,171181.87768899862,173077.060546875,0.010607304594726075,0.00492982858294988,0.005501557638179301,0.01094993670384814
strong_family_alpha_stack,strong_family_stack,110286,275502.42578125,171597.97845634352,173077.060546875,0.00811183069034307,0.004058310106102692,0.0031528710256187227,0.008545800846501472
latent_alpha_linear_stack,family_alpha,110286,275502.42578125,172501.7469294468,173077.060546875,0.0033057083674528755,0.0009579319370427442,0.0028122013365269294,0.003324031593848309
