candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
strong_oof_ridge_stack,strong_stack,551422,1377450.578125,849270.8185186093,861391.2421875,0.014010941949559009,0.007485919456962642,0.009027146092316059,0.014070753306141048
fixed_blend_0_w0p75_fixed_blend,fixed_blend,551422,1377450.578125,849384.4907181542,861391.2421875,0.013842930129151786,0.007352606069317313,0.008653888916274128,0.013938789810370777
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,551422,1377450.578125,849426.3221276812,861391.2421875,0.013739693482471504,0.006802277921203359,0.008850256157378568,0.0138902271973812
aggressive_rls_prediction,strong_base,551422,1377450.578125,849426.8489959324,861391.2421875,0.013759538696515538,0.006940933819931772,0.008938217706819391,0.013889615549357193
conservative_rls_prediction,strong_base,551422,1377450.578125,849590.0623357637,861391.2421875,0.013557861035602747,0.007161555831087241,0.008383049668625507,0.013700139116538113
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,551422,1377450.578125,849893.7347128652,861391.2421875,0.013185176578368063,0.00642944198940798,0.008309474777287926,0.013347602008858317
baseline_prediction,strong_base,551422,1377450.578125,850147.1993107066,861391.2421875,0.012863380119267399,0.006233504702163217,0.008439856471542518,0.013053351747852937
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,551422,1377450.578125,850323.7961217216,861391.2421875,0.012679759514428146,0.006542448751200358,0.007552255694372287,0.012848338273874993
tabm_prediction,strong_base,551422,1377450.578125,850434.8828125,861391.2421875,0.012503325939178467,0.006333351135253906,0.007674865773021326,0.0127193763279696
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,551422,1377450.578125,851144.1001923152,861391.2421875,0.011709685997203479,0.0058887511263252534,0.006694271148802317,0.01189603689162455
tabm_s23_aux8_tabm_prediction,strong_base,551422,1377450.578125,851650.96875,861391.2421875,0.011004281044006348,0.006981313228607178,0.0037805265057949877,0.011307606765033507
tabm_s17_tabm_prediction,strong_base,551422,1377450.578125,851902.25,861391.2421875,0.010965180397033692,0.007618546485900879,0.003730763035909528,0.011015891180182869
tree_prediction,strong_base,551422,1377450.578125,853509.0101014377,861391.2421875,0.009195111285422853,0.004332007410125627,0.007377907576024956,0.00915058303361127
xgboost_prediction,strong_base,551422,1377450.578125,853660.2740318144,861391.2421875,0.008952733394443736,0.0033113243504344636,0.007523416449756955,0.008974978821531532
lightgbm_prediction,strong_base,551422,1377450.578125,853714.8032133443,861391.2421875,0.008878515777393736,0.0033705560282263347,0.007215553201243979,0.008911675204244518
ridge_calibrated_prediction,strong_base,551422,1377450.578125,858153.0799183461,861391.2421875,0.003787045333087091,0.00273199458333373,0.0010679350075139726,0.00375922357990377
