fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,tabm_prediction,strong_base,107932,292250.28125,203729.078125,206035.421875,0.011193931102752686
rw_02,tabm_prediction,strong_base,109142,307094.84375,159691.671875,163907.140625,0.025718629360198975
rw_03,tabm_prediction,strong_base,111514,246407.078125,143882.96875,145057.421875,0.008096456527709961
rw_04,tabm_prediction,strong_base,111030,299731.15625,217801.84375,220263.125,0.011174261569976807
rw_05,tabm_prediction,strong_base,111804,231967.21875,125329.3203125,126128.1328125,0.006333351135253906
rw_01,tree_prediction,strong_base,107932,292250.28125,204228.33166359473,206035.421875,0.008770774437521833
rw_02,tree_prediction,strong_base,109142,307094.84375,160299.8164435862,163907.140625,0.022008340622980738
rw_03,tree_prediction,strong_base,111514,246407.078125,144147.78699047325,145057.421875,0.006270860689297275
rw_04,tree_prediction,strong_base,111030,299731.15625,219251.33019725254,220263.125,0.0045935732671887886
rw_05,tree_prediction,strong_base,111804,231967.21875,125581.74480653094,126128.1328125,0.004332007410125627
rw_01,xgboost_prediction,strong_base,107932,292250.28125,204238.01650241282,206035.421875,0.008723768739521187
rw_02,xgboost_prediction,strong_base,109142,307094.84375,160312.93760865147,163907.140625,0.021928288191980894
rw_03,xgboost_prediction,strong_base,111514,246407.078125,144175.57807696113,145057.421875,0.006079273894711745
rw_04,xgboost_prediction,strong_base,111030,299731.15625,219223.2601887458,220263.125,0.0047210117955703845
rw_05,xgboost_prediction,strong_base,111804,231967.21875,125710.48165504314,126128.1328125,0.0033113243504344636
rw_01,lightgbm_prediction,strong_base,107932,292250.28125,204275.36197589219,206035.421875,0.008542511200698488
rw_02,lightgbm_prediction,strong_base,109142,307094.84375,160409.2578884505,163907.140625,0.021340636675202918
rw_03,lightgbm_prediction,strong_base,111514,246407.078125,144169.95956331433,145057.421875,0.006118006925908359
rw_04,lightgbm_prediction,strong_base,111030,299731.15625,219157.21291156736,220263.125,0.005020868056932581
rw_05,lightgbm_prediction,strong_base,111804,231967.21875,125703.0108741199,126128.1328125,0.0033705560282263347
