fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,tabm_prediction,strong_base,43173,116686.7578125,80908.546875,82026.7421875,0.013632059097290039
rw_02,tabm_prediction,strong_base,43657,122914.8984375,70242.96875,72096.4921875,0.025708913803100586
rw_03,tabm_prediction,strong_base,44606,98596.046875,58517.08984375,59005.609375,0.008279204368591309
rw_04,tabm_prediction,strong_base,44412,119692.2578125,87141.6484375,87848.546875,0.00804680585861206
rw_05,tabm_prediction,strong_base,44722,92794.1953125,50211.453125,50611.546875,0.007905185222625732
rw_01,tree_prediction,strong_base,43173,116686.7578125,81146.55259959001,82026.7421875,0.010730519882138134
rw_02,tree_prediction,strong_base,43657,122914.8984375,70650.36438632495,72096.4921875,0.020058226930294132
rw_03,tree_prediction,strong_base,44606,98596.046875,58710.978619537644,59005.609375,0.004993266887388326
rw_04,tree_prediction,strong_base,44412,119692.2578125,87467.15204630578,87848.546875,0.004341504125696116
rw_05,tree_prediction,strong_base,44722,92794.1953125,50354.9653442567,50611.546875,0.0050696243562166066
rw_01,xgboost_prediction,strong_base,43173,116686.7578125,81105.2503972149,82026.7421875,0.011234041066494171
rw_02,xgboost_prediction,strong_base,43657,122914.8984375,70648.65679013163,72096.4921875,0.020081911802352526
rw_03,xgboost_prediction,strong_base,44606,98596.046875,58720.17993672286,59005.609375,0.004837327184660456
rw_04,xgboost_prediction,strong_base,44412,119692.2578125,87468.57603155979,87848.546875,0.004325294577505967
rw_05,xgboost_prediction,strong_base,44722,92794.1953125,50411.568822603076,50611.546875,0.003951233754835193
rw_01,lightgbm_prediction,strong_base,43173,116686.7578125,81104.9815839593,82026.7421875,0.011237318208172864
rw_02,lightgbm_prediction,strong_base,43657,122914.8984375,70724.61294852149,72096.4921875,0.019028377072919045
rw_03,lightgbm_prediction,strong_base,44606,98596.046875,58727.741078093706,59005.609375,0.004709184429235402
rw_04,lightgbm_prediction,strong_base,44412,119692.2578125,87439.766765406,87848.546875,0.004653237010005973
rw_05,lightgbm_prediction,strong_base,44722,92794.1953125,50422.98744063597,50611.546875,0.003725620851497302
rw_01,ridge_calibrated_prediction,strong_base,43173,116686.7578125,81603.00506579032,82026.7421875,0.0051658411684946115
rw_02,ridge_calibrated_prediction,strong_base,43657,122914.8984375,71951.3892099538,72096.4921875,0.002012621878590526
rw_03,ridge_calibrated_prediction,strong_base,44606,98596.046875,58803.64632352546,59005.609375,0.0034227771497281623
rw_04,ridge_calibrated_prediction,strong_base,44412,119692.2578125,87620.49704896234,87848.546875,0.0025959430650817072
rw_05,ridge_calibrated_prediction,strong_base,44722,92794.1953125,50368.10860591123,50611.546875,0.004809935362971918
rw_01,baseline_prediction,strong_base,43173,116686.7578125,80908.54650312565,82026.7421875,0.013632086982295788
rw_02,baseline_prediction,strong_base,43657,122914.8984375,70180.25023130387,72096.4921875,0.02657885145386263
rw_03,baseline_prediction,strong_base,44606,98596.046875,58524.74385223032,59005.609375,0.008149488292098162
rw_04,baseline_prediction,strong_base,44412,119692.2578125,87071.22454589907,87848.546875,0.008848436960567918
rw_05,baseline_prediction,strong_base,44722,92794.1953125,50223.6644496187,50611.546875,0.007663911682827762
rw_01,conservative_rls_prediction,strong_base,43173,116686.7578125,80864.04789321122,82026.7421875,0.014174576038032183
rw_02,conservative_rls_prediction,strong_base,43657,122914.8984375,70155.60471765116,72096.4921875,0.026920692130224633
rw_03,conservative_rls_prediction,strong_base,44606,98596.046875,58472.70084156728,59005.609375,0.009031489363085954
rw_04,conservative_rls_prediction,strong_base,44412,119692.2578125,87106.06234603235,87848.546875,0.0084518703539187
rw_05,conservative_rls_prediction,strong_base,44722,92794.1953125,50188.74500063968,50611.546875,0.00835386192412868
rw_01,aggressive_rls_prediction,strong_base,43173,116686.7578125,80863.1808396067,82026.7421875,0.014185146415221284
rw_02,aggressive_rls_prediction,strong_base,43657,122914.8984375,70056.2022246134,72096.4921875,0.02829943456306383
rw_03,aggressive_rls_prediction,strong_base,44606,98596.046875,58479.78160060646,59005.609375,0.008911487907051874
rw_04,aggressive_rls_prediction,strong_base,44412,119692.2578125,87106.12601423207,87848.546875,0.008451145604312926
rw_05,aggressive_rls_prediction,strong_base,44722,92794.1953125,50182.72727283908,50611.546875,0.00847276221807669
