candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
s03_11_fixed_risk_cons_s100_w0p75,cheap_fixed_blend,11028424,28034941.5,17150910.75294541,17394888.5,0.013685548636576473,0.007453127799810888,0.007877372718226307,0.014025829889889319
s03_11_fixed_risk_aggr_s100_w0p75,cheap_fixed_blend,11028424,28034941.5,17150912.25486396,17394888.5,0.013682990616166336,0.007435202441392175,0.00788640022707459,0.014025743547366853
s03_11_stack,cheap_subset_stack,11028424,28034941.5,17150975.13562802,17394888.5,0.013697199102168201,0.007560931841453233,0.007883775018207216,0.014022128648423449
s03_11_fixed_risk_aggr_s25_w0p75,cheap_fixed_blend,11028424,28034941.5,17151022.09606615,17394888.5,0.013677474504663722,0.0074367470174018235,0.00788380340883827,0.014019428979602178
s03_11_fixed_risk_cons_s25_w0p75,cheap_fixed_blend,11028424,28034941.5,17151076.112958044,17394888.5,0.013677219568369736,0.0074538098810863485,0.007873680472758934,0.014016323648292195
s03_11_fixed_cons_rls_w0p75,cheap_fixed_blend,11028424,28034941.5,17151196.66996997,17394888.5,0.0136712309673932,0.007453939086081496,0.007871651978425511,0.01400939304842519
s03_11_fixed_aggr_rls_w0p75,cheap_fixed_blend,11028424,28034941.5,17151212.140817318,17394888.5,0.013668214722377581,0.007437120263691477,0.00788179714328787,0.014008503657995997
s03_11_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17151313.373369627,17394888.5,0.013647122913343046,0.007325738777416935,0.007863550413740164,0.014002683985607223
s03_11_fixed_risk_aggr_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17151341.555263907,17394888.5,0.013641929670596986,0.007289669704660384,0.007889119526190355,0.014001063860575647
s03_11_fixed_risk_aggr_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17151446.510696404,17394888.5,0.01363687042931332,0.007295801535419755,0.007884952040308944,0.013995030166683575
s03_11_wf_risk_aggr_s100,cheap_walk_forward_blend,11028424,28034941.5,17151503.733015522,17394888.5,0.013648421752719141,0.007386824731575481,0.007863992576101354,0.013991740561284827
s03_11_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17151581.10127877,17394888.5,0.013633666364986575,0.007329092101473811,0.007855161059010565,0.013987292802781104
s03_11_fixed_aggr_rls_w0p5,cheap_fixed_blend,11028424,28034941.5,17151743.640635844,17394888.5,0.013622372284707862,0.00729745426120032,0.007880424249383608,0.013977948715460653
s03_11_wf_cons_rls,cheap_walk_forward_blend,11028424,28034941.5,17151806.150565848,17394888.5,0.013645028528008396,0.0074957407408975385,0.007813205810050083,0.01397435513508194
s03_11_fixed_cons_rls_w0p5,cheap_fixed_blend,11028424,28034941.5,17151808.763247464,17394888.5,0.013622313495749161,0.007329942058196703,0.007849971467378656,0.013974204936843204
s03_11_wf_risk_aggr_s25,cheap_walk_forward_blend,11028424,28034941.5,17151915.523324512,17394888.5,0.013626491841327072,0.007398989288455837,0.007822570442057258,0.013968067497270087
s03_11_wf_risk_cons_s100,cheap_walk_forward_blend,11028424,28034941.5,17151977.568714324,17394888.5,0.013628056183195713,0.007417608112637808,0.007809221197253652,0.013964500622448695
s02_01_fixed_risk_aggr_s100_w0p75,cheap_fixed_blend,11028424,28034941.5,17152123.08112687,17394888.5,0.013604149023792944,0.0072644874678988725,0.007950058174729489,0.013956135382709234
s02_01_fixed_risk_cons_s100_w0p75,cheap_fixed_blend,11028424,28034941.5,17152124.810962282,17394888.5,0.013606613487228825,0.007284054594011491,0.007936538993271142,0.013956035937667477
s02_01_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17152167.540117357,17394888.5,0.013591846375320205,0.007205957766445725,0.007904626319530846,0.01395357951749121
s03_11_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,11028424,28034941.5,17152182.99690067,17394888.5,0.013581921932467812,0.0071787647742717065,0.007842332309567624,0.013952690935577383
s02_01_fixed_risk_aggr_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17152191.413006354,17394888.5,0.013586777875206523,0.00716769967009756,0.007936119135022285,0.013952207109211745
s02_01_fixed_risk_aggr_s25_w0p75,cheap_fixed_blend,11028424,28034941.5,17152237.715305764,17394888.5,0.01359837308545413,0.007266839378513024,0.007945965413299057,0.013949545275569686
s03_11_fixed_risk_aggr_s25_w0p25,cheap_fixed_blend,11028424,28034941.5,17152248.37951878,17394888.5,0.013575386876116924,0.00713809539550736,0.007887068070789559,0.013948932209667197
s03_11_fixed_risk_aggr_s100_w0p25,cheap_fixed_blend,11028424,28034941.5,17152263.036827866,17394888.5,0.013574016265460221,0.007124333631258639,0.007891696371252603,0.013948089588049606
s02_01_fixed_risk_cons_s25_w0p75,cheap_fixed_blend,11028424,28034941.5,17152297.850790117,17394888.5,0.0135978463388027,0.0072853583398772015,0.007931125915328442,0.013946088197684281
s03_11_wf_aggr_rls,cheap_walk_forward_blend,11028424,28034941.5,17152298.512671735,17394888.5,0.013611857570195784,0.007465986157570992,0.007736462303951192,0.013946050147332967
s02_01_fixed_risk_aggr_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17152302.759074457,17394888.5,0.013581372198141085,0.007174907946995823,0.007929986172238718,0.013945806029486363
s02_01_fixed_cons_rls_w0p75,cheap_fixed_blend,11028424,28034941.5,17152421.454407074,17394888.5,0.01359168300785094,0.007285715108184099,0.007928404661594595,0.013938982454123061
s02_01_fixed_aggr_rls_w0p75,cheap_fixed_blend,11028424,28034941.5,17152429.700529322,17394888.5,0.013589006978384032,0.007267517579459981,0.007943295843269254,0.01393850839979105
s02_01_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17152445.507780097,17394888.5,0.01357780572000462,0.007210139976622898,0.007893964791942959,0.013937599670150402
s01_10_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17152461.74448464,17394888.5,0.013557514530562576,0.0070884410188473135,0.00793734118298242,0.013936666252006069
s03_11_fixed_risk_cons_s25_w0p25,cheap_fixed_blend,11028424,28034941.5,17152490.100590196,17394888.5,0.013566539492018803,0.0071867785026152875,0.007828308621826154,0.013935036111890287
s02_01_stack,cheap_subset_stack,11028424,28034941.5,17152504.290177554,17394888.5,0.013597258446620164,0.007349631981264149,0.007959421374412464,0.0139342203787306
s01_10_fixed_risk_cons_s100_w0p75,cheap_fixed_blend,11028424,28034941.5,17152524.0427803,17394888.5,0.013557751665315854,0.007120006662065248,0.007963913251237138,0.013933084838094856
s01_10_fixed_risk_aggr_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17152566.98773312,17394888.5,0.01354787151193051,0.007049732562453892,0.007958312189502088,0.01393061601210499
s03_11_fixed_aggr_rls_w0p25,cheap_fixed_blend,11028424,28034941.5,17152569.635083593,17394888.5,0.013559671789159044,0.007141933833979985,0.007879640550108136,0.01393046382081764
s01_10_fixed_risk_aggr_s100_w0p75,cheap_fixed_blend,11028424,28034941.5,17152583.3407145,17394888.5,0.013551856312991207,0.007100101765918798,0.007969569738485002,0.01392967590942018
s02_01_fixed_aggr_rls_w0p5,cheap_fixed_blend,11028424,28034941.5,17152602.476310413,17394888.5,0.013566732287157102,0.007176967278986313,0.007924602459348494,0.013928575839367241
s02_01_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,11028424,28034941.5,17152632.47764278,17394888.5,0.013552957110894149,0.007115341498566741,0.007863691850822115,0.01392685111820191
s01_10_wf_risk_aggr_s100,cheap_walk_forward_blend,11028424,28034941.5,17152643.38666211,17394888.5,0.013544020398200973,0.0070559505718983395,0.007956371723258552,0.013926223978836583
s02_01_wf_risk_aggr_s100,cheap_walk_forward_blend,11028424,28034941.5,17152647.69728557,17394888.5,0.013569086004782882,0.007176907088347395,0.00793448794045381,0.013925976169058552
s01_10_fixed_risk_aggr_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17152648.024980262,17394888.5,0.013544305327228856,0.0070600222440050375,0.007952298531503125,0.013925957330496175
s01_10_fixed_risk_cons_s25_w0p75,cheap_fixed_blend,11028424,28034941.5,17152671.71137679,17394888.5,0.013550487174474112,0.007123053779203525,0.007959314716100023,0.013924595643324156
s01_10_fixed_risk_aggr_s25_w0p75,cheap_fixed_blend,11028424,28034941.5,17152675.24327767,17394888.5,0.013547459993925193,0.007104764730022528,0.007965556425627105,0.013924392600868418
s02_01_fixed_cons_rls_w0p5,cheap_fixed_blend,11028424,28034941.5,17152677.231888838,17394888.5,0.013566219877466867,0.007211293351094716,0.007887858527480808,0.01392427827928655
s02_01_fixed_risk_aggr_s25_w0p25,cheap_fixed_blend,11028424,28034941.5,17152699.42148363,17394888.5,0.013546255784681337,0.0070738376867131025,0.007911367441017687,0.013923002640480964
s01_10_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17152705.883838926,17394888.5,0.013545477418692808,0.007094947724054279,0.007927775811706424,0.013922631131615182
s02_01_fixed_risk_aggr_s100_w0p25,cheap_fixed_blend,11028424,28034941.5,17152709.285816006,17394888.5,0.013545145000860815,0.00705926858785999,0.007917446685290763,0.013922435558238466
s01_10_fixed_cons_rls_w0p75,cheap_fixed_blend,11028424,28034941.5,17152785.62380529,17394888.5,0.013544897548276836,0.007124050343567445,0.00795692752669828,0.013918047028281477
s01_10_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,11028424,28034941.5,17152793.604737386,17394888.5,0.013534912540107524,0.007052507394950336,0.00788727759375304,0.013917588219241162
s03_11_fixed_cons_rls_w0p25,cheap_fixed_blend,11028424,28034941.5,17152811.415460505,17394888.5,0.013550446687236017,0.007188940757798634,0.007818829622565247,0.013916564313677271
s01_10_fixed_aggr_rls_w0p75,cheap_fixed_blend,11028424,28034941.5,17152858.450821485,17394888.5,0.013538627078904164,0.0071063188982137815,0.007962904811428553,0.01391386033767994
s01_10_wf_risk_cons_s100,cheap_walk_forward_blend,11028424,28034941.5,17152884.636574343,17394888.5,0.013533441002510149,0.007092880218654729,0.007912143084723948,0.013912354967130502
