fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,s00_00_stack,cheap_subset_stack,2158640,6095643.0,4144940.6339878957,4203448.0,0.01391889848812311
rw_02,s00_00_stack,cheap_subset_stack,2182840,6223295.5,3325707.9446627246,3418647.0,0.027185917509843893
rw_03,s00_00_stack,cheap_subset_stack,2230272,4993164.5,2879249.998294144,2903734.5,0.008432073147822572
rw_04,s00_00_stack,cheap_subset_stack,2220592,6119998.5,4334370.3186653815,4382271.5,0.010930674043043265
rw_05,s00_00_stack,cheap_subset_stack,2236080,4602840.0,2469546.694631363,2486787.5,0.006932962856149638
rw_01,s00_00_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,2158640,6095643.0,4144710.4523878423,4203448.0,0.013973658675486833
rw_02,s00_00_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,2182840,6223295.5,3326577.975087564,3418647.0,0.02693142196677112
rw_03,s00_00_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,2230272,4993164.5,2878733.0858756714,2903734.5,0.00861008956718623
rw_04,s00_00_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,2220592,6119998.5,4333346.694321799,4382271.5,0.011164257093199459
rw_05,s00_00_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,2236080,4602840.0,2469384.279878007,2486787.5,0.006998273926498877
rw_01,s00_00_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2158640,6095643.0,4144719.916521524,4203448.0,0.01397140715871259
rw_02,s00_00_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2182840,6223295.5,3325948.3204307924,3418647.0,0.027115604380682612
rw_03,s00_00_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2230272,4993164.5,2878836.2927121664,2903734.5,0.008574546773416625
rw_04,s00_00_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2220592,6119998.5,4333612.901878307,4382271.5,0.011103510615828704
rw_05,s00_00_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2236080,4602840.0,2469428.6717960355,2486787.5,0.006980422816169285
rw_01,s00_00_fixed_risk_cons_s100_w0p75,cheap_fixed_blend,2158640,6095643.0,4144796.643721542,4203448.0,0.013953153762924608
rw_02,s00_00_fixed_risk_cons_s100_w0p75,cheap_fixed_blend,2182840,6223295.5,3325658.3102891794,3418647.0,0.027200436228373537
rw_03,s00_00_fixed_risk_cons_s100_w0p75,cheap_fixed_blend,2230272,4993164.5,2879008.596851657,2903734.5,0.008515207966962146
rw_04,s00_00_fixed_risk_cons_s100_w0p75,cheap_fixed_blend,2220592,6119998.5,4333954.109992834,4382271.5,0.01102564959911001
