candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
s06_011_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17150771.593624447,17394888.5,0.013687859525459211,0.007406491677363181,0.007827801303677759,0.014033829902132089
s07_111_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17150848.837044563,17394888.5,0.013679061371758094,0.007379889041401078,0.007824256615335796,0.014029389320629249
s06_011_fixed_risk_cons_s100_w0p75,cheap_fixed_blend,11028424,28034941.5,17150855.531287182,17394888.5,0.013702625382730704,0.007560068490817917,0.007773174527166347,0.01402900448098976
s06_011_fixed_risk_aggr_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17150925.98501298,17394888.5,0.013675409868133936,0.007370573867366059,0.007838548227656885,0.014024954226468433
s06_011_fixed_risk_aggr_s100_w0p75,cheap_fixed_blend,11028424,28034941.5,17150951.690326415,17394888.5,0.013694625051386123,0.00754225657946872,0.007771092767373567,0.014023476475493624
s06_011_fixed_risk_cons_s25_w0p75,cheap_fixed_blend,11028424,28034941.5,17151010.98097915,17394888.5,0.01369486481998412,0.007560447630668765,0.007771250137640359,0.014020067965417105
s06_011_fixed_risk_aggr_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17151023.961780287,17394888.5,0.013670731789366286,0.007376172669022352,0.007836100753173952,0.014019321723143685
s06_011_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17151026.1077727,17394888.5,0.013675160984383017,0.007409441079520573,0.007821767731913756,0.014019198354004891
s07_111_fixed_risk_aggr_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17151042.98874701,17394888.5,0.013664244128284575,0.007342819161948122,0.007831346268436346,0.01401822789798235
s07_111_fixed_risk_cons_s100_w0p75,cheap_fixed_blend,11028424,28034941.5,17151050.180685975,17394888.5,0.013685727002697568,0.007530171304060862,0.0077592771050314325,0.014017814446699361
s06_011_fixed_risk_aggr_s25_w0p75,cheap_fixed_blend,11028424,28034941.5,17151056.29752972,17394888.5,0.013689394811770539,0.0075434013836510605,0.007769801839936578,0.014017462800654301
s07_111_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17151083.292009976,17394888.5,0.01366760642831506,0.007383825351902407,0.007820428284887566,0.014015910937861142
