candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
s03_11_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17151511.891053706,17394888.5,0.013620918378304902,0.007258937584694869,0.0078111640339281,0.01399127157074298
s03_11_wf_risk_cons_s100,cheap_walk_forward_blend,11028424,28034941.5,17151577.23981829,17394888.5,0.013613626522887178,0.0072178002754073045,0.007842513911410349,0.013987514791009459
s01_10_fixed_risk_cons_s100_w0p75,cheap_fixed_blend,11028424,28034941.5,17151681.716863133,17394888.5,0.013611256679212458,0.007146676176731148,0.008008809588868484,0.01398150859873959
s03_11_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17151744.43354468,17394888.5,0.013609667691720739,0.007264842783274883,0.007804853757251137,0.013977903132596614
s01_10_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17151750.230111472,17394888.5,0.01360100149948038,0.007111679962837791,0.007965710434493203,0.01397756989868193
s01_10_fixed_risk_aggr_s100_w0p75,cheap_fixed_blend,11028424,28034941.5,17151757.468612883,17394888.5,0.013604455928875136,0.007125364615527374,0.008016367880265078,0.01397715377061004
s03_11_fixed_risk_aggr_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17151759.42392096,17394888.5,0.013603068110685568,0.007220442455627141,0.007813388090960553,0.013977041363561482
s03_11_fixed_risk_aggr_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17151837.140861724,17394888.5,0.01359979901506172,0.007229896336448438,0.007809827532340766,0.013972573560231627
s01_10_fixed_risk_cons_s25_w0p75,cheap_fixed_blend,11028424,28034941.5,17151860.902423628,17394888.5,0.013602231308292922,0.007149672547298369,0.008001197430252243,0.013971207551941034
s01_10_fixed_risk_aggr_s100_w0p5,cheap_fixed_blend,11028424,28034941.5,17151877.41178069,17394888.5,0.013590151283498164,0.007071095953034567,0.007989243539485958,0.013970258459507279
s01_10_fixed_risk_aggr_s25_w0p75,cheap_fixed_blend,11028424,28034941.5,17151881.645880915,17394888.5,0.013598256067401438,0.0071299109291738105,0.008009325959316674,0.01397001504890849
s03_11_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,11028424,28034941.5,17151950.878132585,17394888.5,0.013587374698090349,0.007142060723001831,0.007855762346552244,0.013966035014677747
s03_11_fixed_cons_rls_w0p5,cheap_fixed_blend,11028424,28034941.5,17151958.10964731,17394888.5,0.01359918812908445,0.007266634041136366,0.007800543299093728,0.013965619288257458
s03_11_wf_risk_aggr_s25,cheap_walk_forward_blend,11028424,28034941.5,17151978.747567482,17394888.5,0.013586805204573671,0.007168044579498822,0.007868188409819435,0.013964432852358821
s01_10_fixed_cons_rls_w0p75,cheap_fixed_blend,11028424,28034941.5,17151986.644762605,17394888.5,0.013595980697210441,0.007150653978399868,0.007997687684513085,0.013963978857202464
s01_10_fixed_risk_aggr_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17152001.481967635,17394888.5,0.013584180375586286,0.007081230100642877,0.00797916927919627,0.013963125893699413
s03_11_wf_risk_aggr_s100,cheap_walk_forward_blend,11028424,28034941.5,17152006.357432615,17394888.5,0.013584390961931736,0.007167982698106701,0.007840162220404668,0.013962845612225938
s01_10_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,11028424,28034941.5,17152036.39208443,17394888.5,0.013586616547506924,0.007118119005950052,0.007952112594820981,0.01396111897558694
s01_10_wf_risk_aggr_s100,cheap_walk_forward_blend,11028424,28034941.5,17152050.853067473,17394888.5,0.01358460887037245,0.007097572403060526,0.00798135244310959,0.013960287640390923
s01_10_fixed_aggr_rls_w0p75,cheap_fixed_blend,11028424,28034941.5,17152077.094117153,17394888.5,0.013588739282883556,0.007131426637821625,0.008005566507265364,0.013958779090929352
s03_11_wf_cons_rls,cheap_walk_forward_blend,11028424,28034941.5,17152110.592510507,17394888.5,0.013588217398309154,0.007244427298400691,0.007809984833745147,0.013956853330189145
