candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
aggressive_rls_prediction,strong_base,55143,137898.505859375,85063.17810828134,86335.693359375,0.01422248852017296,0.0044709288192481544,0.011440657269674652,0.014739155980328711
conservative_rls_prediction,strong_base,55143,137898.505859375,85073.51227605024,86335.693359375,0.014071962810383764,0.003932102216244959,0.011462012951171281,0.014619458467436952
tabm_prediction,strong_base,55143,137898.505859375,85087.390625,86335.693359375,0.013912630081176759,0.003990650177001953,0.011366436803122906,0.014458709785058477
baseline_prediction,strong_base,55143,137898.505859375,85092.43263583185,86335.693359375,0.013842215298848904,0.004153798087257021,0.010885657855928094,0.01440030971162809
tabm_s17_tabm_prediction,strong_base,55143,137898.505859375,85095.6181640625,86335.693359375,0.013905370235443115,0.005752384662628174,0.009132038740540574,0.014363412709858636
fixed_blend_0_w0p75_fixed_blend,fixed_blend,55143,137898.505859375,85114.570008526,86335.693359375,0.013580348597190196,0.0048578088524896534,0.009384521246486291,0.014143899276583438
strong_oof_ridge_stack,strong_stack,55143,137898.505859375,85115.20459235628,86335.693359375,0.013584720787016401,0.0049720297433096805,0.00924531816357449,0.014136549085653316
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,55143,137898.505859375,85115.24109871258,86335.693359375,0.01358439210080029,0.0049720297433096805,0.009245402345740781,0.014136126243664449
ctx_blend_0_weight_tb100_min100_p1000_contextual_blend,contextual_blend,55143,137898.50433075428,85115.81950937153,86335.69355477247,0.013563799653073794,0.004877668733982654,0.009430071229640164,0.014129428920693576
ctx_blend_0_weight_abs_diff_tb100_min100_p1000_contextual_blend,contextual_blend,55143,137898.50433075428,85115.82749178336,86335.69355477247,0.013563765099682911,0.00487855853008512,0.009429933977307021,0.014129336462852526
ctx_blend_0_abs_diff_tb100_min100_p1000_contextual_blend,contextual_blend,55143,137898.50433075428,85115.84329184046,86335.69355477247,0.013563603805497171,0.0048791031443990995,0.00942880313118467,0.014129153455611276
wf_blend_0_wf_blend,walk_forward_blend,55143,137898.505859375,85115.84724503051,86335.693359375,0.01356354843208396,0.004878988388359762,0.009428841914127194,0.014129105435765066
ctx_blend_0_weight_time_tb100_min100_p1000_contextual_blend,contextual_blend,55143,137898.50433075428,85115.87824530492,86335.69355477247,0.01356312581927115,0.004878181178056495,0.009427948416213213,0.01412874860029567
