fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,tabm_prediction,strong_base,10794,29306.826171875,20224.30859375,20554.1640625,0.016048133373260498
rw_02,tabm_prediction,strong_base,10914,30696.892578125,16042.7548828125,16581.55859375,0.03249412775039673
rw_03,tabm_prediction,strong_base,11151,24638.75,14295.8134765625,14385.759765625,0.006252467632293701
rw_04,tabm_prediction,strong_base,11103,30060.662109375,21974.087890625,22213.5,0.010777771472930908
rw_05,tabm_prediction,strong_base,11181,23195.375,12550.42578125,12600.7109375,0.003990650177001953
rw_01,tree_prediction,strong_base,10794,29306.826171875,20305.0243521544,20554.1640625,0.01212113076396737
rw_02,tree_prediction,strong_base,10914,30696.892578125,16239.008495302687,16581.55859375,0.020658498205134213
rw_03,tree_prediction,strong_base,11151,24638.75,14317.033623190835,14385.759765625,0.004777373149132291
rw_04,tree_prediction,strong_base,11103,30060.662109375,22093.87519871013,22213.5,0.0053852297607251964
rw_05,tree_prediction,strong_base,11181,23195.375,12556.016414710512,12600.7109375,0.0035469842147141106
rw_01,xgboost_prediction,strong_base,10794,29306.826171875,20277.59368939046,20554.1640625,0.013455685780679683
rw_02,xgboost_prediction,strong_base,10914,30696.892578125,16236.645501710433,16581.55859375,0.020801005532108063
rw_03,xgboost_prediction,strong_base,11151,24638.75,14321.121620300817,14385.759765625,0.00449320344405002
rw_04,xgboost_prediction,strong_base,11103,30060.662109375,22098.53895683002,22213.5,0.005175278239358039
rw_05,xgboost_prediction,strong_base,11181,23195.375,12584.483715628876,12600.7109375,0.0012878020892322928
rw_01,lightgbm_prediction,strong_base,10794,29306.826171875,20314.246003572895,20554.1640625,0.011672479513035627
rw_02,lightgbm_prediction,strong_base,10914,30696.892578125,16267.337035875229,16581.55859375,0.01895006166629043
rw_03,lightgbm_prediction,strong_base,11151,24638.75,14336.05154003651,14385.759765625,0.0034553771506229403
rw_04,lightgbm_prediction,strong_base,11103,30060.662109375,22086.063166616408,22213.5,0.005736909239137944
rw_05,lightgbm_prediction,strong_base,11181,23195.375,12569.793779053389,12600.7109375,0.0024536042926436297
rw_01,ridge_calibrated_prediction,strong_base,10794,29306.826171875,20470.896069249382,20554.1640625,0.004051149586887681
rw_02,ridge_calibrated_prediction,strong_base,10914,30696.892578125,16672.370477393193,16581.55859375,-0.005476679597382406
rw_03,ridge_calibrated_prediction,strong_base,11151,24638.75,14322.898987063385,14385.759765625,0.004369653016994102
rw_04,ridge_calibrated_prediction,strong_base,11103,30060.662109375,22135.529400710522,22213.5,0.003510054664482287
rw_05,ridge_calibrated_prediction,strong_base,11181,23195.375,12547.951503594062,12600.7109375,0.004187020412389941
rw_01,baseline_prediction,strong_base,10794,29306.826171875,20224.30782179278,20554.1640625,0.01604814672609456
rw_02,baseline_prediction,strong_base,10914,30696.892578125,16058.988069744479,16581.55859375,0.031515163128422174
rw_03,baseline_prediction,strong_base,11151,24638.75,14293.669615794119,14385.759765625,0.006401479750199335
rw_04,baseline_prediction,strong_base,11103,30060.662109375,21967.096999990743,22213.5,0.011092488802271427
rw_05,baseline_prediction,strong_base,11181,23195.375,12548.370128509734,12600.7109375,0.004153798087257021
rw_01,conservative_rls_prediction,strong_base,10794,29306.826171875,20225.335594061795,20554.1640625,0.015998143609164628
rw_02,conservative_rls_prediction,strong_base,10914,30696.892578125,16036.6284737776,16581.55859375,0.03286362478481353
