date_id,predicted_rows,update_source_date_id,update_rows,forgetting_factor,update_before_prediction,update_is_strictly_past,fold,strategy,posterior_leverage_mean,posterior_leverage_max,risk_disagreement_mean,risk_abs_pred_mean,risk_weight_mean
1399,180,,0,0.995,true,true,rw_01,conservative_rls,,,,,
1400,183,1399,180,0.995,true,true,rw_01,conservative_rls,,,,,
1401,184,1400,183,0.995,true,true,rw_01,conservative_rls,,,,,
1402,179,1401,184,0.995,true,true,rw_01,conservative_rls,,,,,
1403,189,1402,179,0.995,true,true,rw_01,conservative_rls,,,,,
1404,184,1403,189,0.995,true,true,rw_01,conservative_rls,,,,,
1405,184,1404,184,0.995,true,true,rw_01,conservative_rls,,,,,
1406,189,1405,184,0.995,true,true,rw_01,conservative_rls,,,,,
1407,184,1406,189,0.995,true,true,rw_01,conservative_rls,,,,,
1408,189,1407,184,0.995,true,true,rw_01,conservative_rls,,,,,
1409,188,1408,189,0.995,true,true,rw_01,conservative_rls,,,,,
1410,184,1409,188,0.995,true,true,rw_01,conservative_rls,,,,,
1411,184,1410,184,0.995,true,true,rw_01,conservative_rls,,,,,
1412,184,1411,184,0.995,true,true,rw_01,conservative_rls,,,,,
1413,136,1412,184,0.995,true,true,rw_01,conservative_rls,,,,,
1414,183,1413,136,0.995,true,true,rw_01,conservative_rls,,,,,
1415,175,1414,183,0.995,true,true,rw_01,conservative_rls,,,,,
1416,188,1415,175,0.995,true,true,rw_01,conservative_rls,,,,,
1417,184,1416,188,0.995,true,true,rw_01,conservative_rls,,,,,
1418,184,1417,184,0.995,true,true,rw_01,conservative_rls,,,,,
1419,184,1418,184,0.995,true,true,rw_01,conservative_rls,,,,,
1420,189,1419,184,0.995,true,true,rw_01,conservative_rls,,,,,
1421,189,1420,189,0.995,true,true,rw_01,conservative_rls,,,,,
1422,184,1421,189,0.995,true,true,rw_01,conservative_rls,,,,,
1423,184,1422,184,0.995,true,true,rw_01,conservative_rls,,,,,
1424,188,1423,184,0.995,true,true,rw_01,conservative_rls,,,,,
1425,184,1424,188,0.995,true,true,rw_01,conservative_rls,,,,,
1426,184,1425,184,0.995,true,true,rw_01,conservative_rls,,,,,
1427,184,1426,184,0.995,true,true,rw_01,conservative_rls,,,,,
1428,179,1427,184,0.995,true,true,rw_01,conservative_rls,,,,,
1429,184,1428,179,0.995,true,true,rw_01,conservative_rls,,,,,
1430,184,1429,184,0.995,true,true,rw_01,conservative_rls,,,,,
1431,189,1430,184,0.995,true,true,rw_01,conservative_rls,,,,,
1432,179,1431,189,0.995,true,true,rw_01,conservative_rls,,,,,
1433,174,1432,179,0.995,true,true,rw_01,conservative_rls,,,,,
1434,165,1433,174,0.995,true,true,rw_01,conservative_rls,,,,,
1435,159,1434,165,0.995,true,true,rw_01,conservative_rls,,,,,
1436,175,1435,159,0.995,true,true,rw_01,conservative_rls,,,,,
1437,179,1436,175,0.995,true,true,rw_01,conservative_rls,,,,,
1438,179,1437,179,0.995,true,true,rw_01,conservative_rls,,,,,
1439,184,1438,179,0.995,true,true,rw_01,conservative_rls,,,,,
1440,174,1439,184,0.995,true,true,rw_01,conservative_rls,,,,,
1441,179,1440,174,0.995,true,true,rw_01,conservative_rls,,,,,
1442,179,1441,179,0.995,true,true,rw_01,conservative_rls,,,,,
1443,170,1442,179,0.995,true,true,rw_01,conservative_rls,,,,,
1444,179,1443,170,0.995,true,true,rw_01,conservative_rls,,,,,
1445,184,1444,179,0.995,true,true,rw_01,conservative_rls,,,,,
1446,179,1445,184,0.995,true,true,rw_01,conservative_rls,,,,,
1447,188,1446,179,0.995,true,true,rw_01,conservative_rls,,,,,
1448,189,1447,188,0.995,true,true,rw_01,conservative_rls,,,,,
1449,179,1448,189,0.995,true,true,rw_01,conservative_rls,,,,,
1450,184,1449,179,0.995,true,true,rw_01,conservative_rls,,,,,
1451,150,1450,184,0.995,true,true,rw_01,conservative_rls,,,,,
1452,184,1451,150,0.995,true,true,rw_01,conservative_rls,,,,,
1453,179,1452,184,0.995,true,true,rw_01,conservative_rls,,,,,
1454,165,1453,179,0.995,true,true,rw_01,conservative_rls,,,,,
1455,184,1454,165,0.995,true,true,rw_01,conservative_rls,,,,,
1456,155,1455,184,0.995,true,true,rw_01,conservative_rls,,,,,
1457,169,1456,155,0.995,true,true,rw_01,conservative_rls,,,,,
1458,189,1457,169,0.995,true,true,rw_01,conservative_rls,,,,,
1459,188,,0,0.995,true,true,rw_02,conservative_rls,,,,,
1460,189,1459,188,0.995,true,true,rw_02,conservative_rls,,,,,
1461,184,1460,189,0.995,true,true,rw_02,conservative_rls,,,,,
1462,189,1461,184,0.995,true,true,rw_02,conservative_rls,,,,,
1463,179,1462,189,0.995,true,true,rw_02,conservative_rls,,,,,
1464,169,1463,179,0.995,true,true,rw_02,conservative_rls,,,,,
1465,189,1464,169,0.995,true,true,rw_02,conservative_rls,,,,,
1466,179,1465,189,0.995,true,true,rw_02,conservative_rls,,,,,
1467,189,1466,179,0.995,true,true,rw_02,conservative_rls,,,,,
1468,189,1467,189,0.995,true,true,rw_02,conservative_rls,,,,,
1469,188,1468,189,0.995,true,true,rw_02,conservative_rls,,,,,
1470,189,1469,188,0.995,true,true,rw_02,conservative_rls,,,,,
1471,179,1470,189,0.995,true,true,rw_02,conservative_rls,,,,,
1472,189,1471,179,0.995,true,true,rw_02,conservative_rls,,,,,
1473,174,1472,189,0.995,true,true,rw_02,conservative_rls,,,,,
1474,184,1473,174,0.995,true,true,rw_02,conservative_rls,,,,,
1475,189,1474,184,0.995,true,true,rw_02,conservative_rls,,,,,
1476,189,1475,189,0.995,true,true,rw_02,conservative_rls,,,,,
1477,189,1476,189,0.995,true,true,rw_02,conservative_rls,,,,,
1478,96,1477,189,0.995,true,true,rw_02,conservative_rls,,,,,
1479,184,1478,96,0.995,true,true,rw_02,conservative_rls,,,,,
1480,189,1479,184,0.995,true,true,rw_02,conservative_rls,,,,,
1481,189,1480,189,0.995,true,true,rw_02,conservative_rls,,,,,
1482,159,1481,189,0.995,true,true,rw_02,conservative_rls,,,,,
1483,189,1482,159,0.995,true,true,rw_02,conservative_rls,,,,,
1484,189,1483,189,0.995,true,true,rw_02,conservative_rls,,,,,
1485,165,1484,189,0.995,true,true,rw_02,conservative_rls,,,,,
1486,174,1485,165,0.995,true,true,rw_02,conservative_rls,,,,,
1487,164,1486,174,0.995,true,true,rw_02,conservative_rls,,,,,
1488,165,1487,164,0.995,true,true,rw_02,conservative_rls,,,,,
1489,184,1488,165,0.995,true,true,rw_02,conservative_rls,,,,,
1490,150,1489,184,0.995,true,true,rw_02,conservative_rls,,,,,
1491,169,1490,150,0.995,true,true,rw_02,conservative_rls,,,,,
1492,175,1491,169,0.995,true,true,rw_02,conservative_rls,,,,,
1493,188,1492,175,0.995,true,true,rw_02,conservative_rls,,,,,
1494,184,1493,188,0.995,true,true,rw_02,conservative_rls,,,,,
1495,179,1494,184,0.995,true,true,rw_02,conservative_rls,,,,,
1496,189,1495,179,0.995,true,true,rw_02,conservative_rls,,,,,
1497,189,1496,189,0.995,true,true,rw_02,conservative_rls,,,,,
1498,189,1497,189,0.995,true,true,rw_02,conservative_rls,,,,,
1499,188,1498,189,0.995,true,true,rw_02,conservative_rls,,,,,
1500,179,1499,188,0.995,true,true,rw_02,conservative_rls,,,,,
1501,189,1500,179,0.995,true,true,rw_02,conservative_rls,,,,,
1502,179,1501,189,0.995,true,true,rw_02,conservative_rls,,,,,
1503,184,1502,179,0.995,true,true,rw_02,conservative_rls,,,,,
1504,189,1503,184,0.995,true,true,rw_02,conservative_rls,,,,,
1505,189,1504,189,0.995,true,true,rw_02,conservative_rls,,,,,
1506,188,1505,189,0.995,true,true,rw_02,conservative_rls,,,,,
1507,189,1506,188,0.995,true,true,rw_02,conservative_rls,,,,,
1508,189,1507,189,0.995,true,true,rw_02,conservative_rls,,,,,
1509,189,1508,189,0.995,true,true,rw_02,conservative_rls,,,,,
1510,184,1509,189,0.995,true,true,rw_02,conservative_rls,,,,,
1511,188,1510,184,0.995,true,true,rw_02,conservative_rls,,,,,
1512,189,1511,188,0.995,true,true,rw_02,conservative_rls,,,,,
1513,184,1512,189,0.995,true,true,rw_02,conservative_rls,,,,,
1514,189,1513,184,0.995,true,true,rw_02,conservative_rls,,,,,
1515,189,1514,189,0.995,true,true,rw_02,conservative_rls,,,,,
1516,188,1515,189,0.995,true,true,rw_02,conservative_rls,,,,,
1517,189,1516,188,0.995,true,true,rw_02,conservative_rls,,,,,
1518,189,1517,189,0.995,true,true,rw_02,conservative_rls,,,,,
1519,189,,0,0.995,true,true,rw_03,conservative_rls,,,,,
1520,188,1519,189,0.995,true,true,rw_03,conservative_rls,,,,,
1521,184,1520,188,0.995,true,true,rw_03,conservative_rls,,,,,
1522,184,1521,184,0.995,true,true,rw_03,conservative_rls,,,,,
1523,189,1522,184,0.995,true,true,rw_03,conservative_rls,,,,,
1524,189,1523,189,0.995,true,true,rw_03,conservative_rls,,,,,
1525,184,1524,189,0.995,true,true,rw_03,conservative_rls,,,,,
1526,188,1525,184,0.995,true,true,rw_03,conservative_rls,,,,,
1527,189,1526,188,0.995,true,true,rw_03,conservative_rls,,,,,
