candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17148187.325778313,17394888.5,0.013849586040193883,0.0077634663745760335,0.007815730117012224,0.014182394685754218
ctx_blend_0_weight_tb100_min20000_p1000_contextual_blend,contextual_blend,11028424,28034941.224243164,17148287.589629397,17394888.391910754,0.013843371745766908,0.007776857195299303,0.007779520548047903,0.014176624576449415
ctx_blend_0_weight_abs_diff_tb100_min20000_p1000_contextual_blend,contextual_blend,11028424,28034941.224243164,17148293.596615143,17394888.391910754,0.013842908891816741,0.007774913861761212,0.007779952312121946,0.014176279245935675
ctx_blend_0_weight_tb100_min20000_p10000_contextual_blend,contextual_blend,11028424,28034941.224243164,17148396.86305505,17394888.391910754,0.013836172496225796,0.00776042588117698,0.007789153239696999,0.014170342649069911
ctx_blend_0_weight_abs_diff_tb100_min20000_p10000_contextual_blend,contextual_blend,11028424,28034941.224243164,17148399.383503437,17394888.391910754,0.013835977961980439,0.007759587930850187,0.007789335374839441,0.014170197753148206
ctx_blend_0_abs_diff_tb100_min20000_p1000_contextual_blend,contextual_blend,11028424,28034941.224243164,17148499.86447914,17394888.391910754,0.013829976210160267,0.007750743761355872,0.007794470846926087,0.014164421287473972
ctx_blend_0_abs_diff_tb100_min20000_p10000_contextual_blend,contextual_blend,11028424,28034941.224243164,17148501.68629718,17394888.391910754,0.013829833015069104,0.007750017521363617,0.0077946090051434795,0.014164316554520329
wf_blend_0_wf_blend,walk_forward_blend,11028424,28034941.5,17148502.779460426,17394888.5,0.0138298290965996,0.007750432213765479,0.007794574665164948,0.014164259836421111
strong_oof_ridge_stack,strong_stack,11028424,28034941.5,17149136.438746307,17394888.5,0.013818936510910707,0.007870423758861822,0.007770518169064444,0.014127831934863666
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17149182.135090765,17394888.5,0.01381622207609039,0.007870434521837999,0.007764359778991147,0.014125204936452196
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17149257.788619656,17394888.5,0.013811063051714223,0.007870041301418218,0.007747906859400299,0.01412085575485833
fixed_blend_0_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17149427.591287352,17394888.5,0.013760131871475645,0.00759864733351423,0.007802392613968124,0.014111094113230305
conservative_rls_prediction,strong_base,11028424,28034941.5,17150296.933944978,17394888.5,0.013688247330018787,0.007319686698541661,0.00800488493402244,0.014061117210094398
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17151318.92344102,17394888.5,0.013627632132116907,0.007296879347015062,0.00795984714987133,0.014002364922257593
strong_oof_ridge_stack_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17151470.11168255,17394888.5,0.013682420349689205,0.007868848078078416,0.007538223424808515,0.013993673389596673
strong_oof_ridge_stack_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17152428.961718027,17394888.5,0.013626142879438818,0.007867381424087383,0.007433546841909494,0.01393855087268736
fixed_blend_0_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17152857.23527343,17394888.5,0.013550574004755988,0.007375966635676412,0.00772978066600758,0.013913930217291814
strong_oof_ridge_stack_prediction_residual,residual_correction,11028424,28034941.5,17153265.918446813,17394888.5,0.013577465858353576,0.007881054393939046,0.007332102880243407,0.013890435776762078
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17153427.702859193,17394888.5,0.01349302382262696,0.0069636285976644174,0.007890008001457656,0.013881135089817143
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17153676.69989604,17394888.5,0.01347925037732316,0.006939194221186384,0.00789394145107379,0.013866820710230932
aggressive_rls_prediction,strong_base,11028424,28034941.5,17153690.124479838,17394888.5,0.013480113213740697,0.0069705589820303615,0.00787943983487661,0.01386604895571264
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17156739.526849493,17394888.5,0.013315038293261972,0.00721252626712543,0.007669813254904166,0.013690744447744319
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17157135.36260551,17394888.5,0.013292574437356385,0.007228827362247836,0.007653339863375428,0.013667988581501533
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,11028424,28034941.5,17158121.820271708,17394888.5,0.01322746453291621,0.007188910486470745,0.0076670296090345326,0.013611278952911476
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17158476.257736545,17394888.5,0.013220912440034871,0.007095424281062468,0.0075975780544678935,0.013590902997938414
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17158567.634631976,17394888.5,0.013216107624095797,0.007095424281062468,0.0075921991350265524,0.013585649909053643
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17158907.360063612,17394888.5,0.013197422623486443,0.007098939199150389,0.00755712698761988,0.013566119721686531
baseline_prediction,strong_base,11028424,28034941.5,17168908.631071106,17394888.5,0.012557745889622374,0.0062176878886491815,0.007200952963996286,0.012991165130428639
tabm_prediction,strong_base,11028424,28034941.5,17173731.25,17394888.5,0.012285614013671875,0.006272733211517334,0.006811716815427706,0.01271392167877361
tabm_s23_aux8_tabm_prediction,strong_base,11028424,28034941.5,17183259.0,17394888.5,0.011742568016052246,0.0068062543869018555,0.005273907083153911,0.012166188935330058
tabm_s17_tabm_prediction,strong_base,11028424,28034941.5,17196648.75,17394888.5,0.011208033561706543,0.007597446441650391,0.003919946849716833,0.011396436947554989
tree_prediction,strong_base,11028424,28034941.5,17239257.80974445,17394888.5,0.008799610620965214,0.004403831038345851,0.0064417250303544765,0.008946920829963845
xgboost_prediction,strong_base,11028424,28034941.5,17242635.343189202,17394888.5,0.008539674300386357,0.0033355517434878745,0.00665197208412432,0.00875275267276343
lightgbm_prediction,strong_base,11028424,28034941.5,17243452.40303176,17394888.5,0.008490391716133638,0.00347892576961617,0.00620815076687823,0.008705781412064906
ridge_calibrated_prediction,strong_base,11028424,28034941.5,17311300.093699414,17394888.5,0.004807974721038444,0.002904875331008694,0.0019911536962343773,0.004805343035144238
