fold,time_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
rw_05,2,225000,466046.66,370096.25,362945.72700828256,362242.35317256884,0.01932071181947248,0.021221227795286124,0.0019005159758136404
rw_05,8,225000,466046.66,401910.16,394417.8815185786,394006.81449944695,0.018641665593444157,0.01966444895121522,0.0010227833577710812
rw_05,0,225000,466046.66,1025934.8,1005012.2845114598,1004556.4226447564,0.02039362319478777,0.020837961237662572,0.0004443380428747985
rw_05,4,225000,466046.66,256589.3,255880.49638481243,255775.6632411706,0.002762393049203671,0.0031709570264177867,0.00040856397721411374
rw_05,1,225000,466046.66,497965.72,485202.18514213426,485021.6248680934,0.025631349965023587,0.025993945756746073,0.0003625957917225609
rw_05,7,225000,466046.66,351463.16,343920.17606150714,343880.5303172916,0.021461652677834175,0.021574454670050147,0.00011280199221599753
rw_02,0,230700,431887.38,1028390.8,1019678.6892662565,1019587.5942623403,0.008471607416021598,0.008560187557742904,0.00008858014172134924
rw_04,8,232200,487214.22,353395.0,347784.5506798553,347769.67731471336,0.01587585936457714,0.015917946448836706,0.00004208708425958777
rw_02,4,230700,431887.38,326817.12,322812.7313279852,322805.12469110667,0.012252704542379256,0.012275979445365182,0.000023274902985914436
rw_04,3,232200,487214.22,183651.58,180999.9869452182,180996.3869742419,0.014438161691031182,0.014457763869313855,0.000019602178282660532
rw_04,5,232200,487214.22,222556.58,220400.76697664283,220396.5444318002,0.0096865757306277,0.009705548635756789,0.000018972905129143718
rw_01,8,233800,348980.4,301164.0,294741.00543698476,294736.32607384544,0.021327232215720415,0.02134276980699734,0.00001553759127692207
rw_04,6,232200,487214.22,257496.3,255002.98442078842,254999.65609554612,0.009682906063002372,0.009695831783809505,0.000012925720807218455
rw_04,7,232200,487214.22,271796.6,267193.1033787826,267189.74997325713,0.016937262927775087,0.01694960085106978,0.000012337923294677835
rw_02,5,230700,431887.38,393853.0,388994.32973647706,388989.99826403346,0.01233625302720287,0.01234725071528342,0.000010997688080556293
rw_05,6,225000,466046.66,309358.56,304144.37729456765,304141.4076225009,0.01685482749627254,0.016864426946317623,9.59945004509653e-6
rw_01,9,158984,237306.67,229676.7,224335.742783711,224333.86992601628,0.023254253777677314,0.02326240809924862,8.154321571302478e-6
rw_04,2,232200,487214.22,214751.69,212882.79212525132,212881.15614255844,0.008702587609462631,0.008710205629660406,7.618020197778204e-6
rw_04,0,232200,487214.22,789778.6,779570.9805196018,779567.2672730383,0.0129246907390006,0.012929392368604242,4.70162960356887e-6
rw_04,1,232200,487214.22,313095.78,310138.0801569963,310137.3066634463,0.00944663349086139,0.009449103960271543,2.470469410131468e-6
rw_02,8,230700,431887.38,460991.6,454342.69768914225,454342.16842661484,0.014423031029202504,0.014424179125034575,1.1480958320967095e-6
rw_01,6,233800,348980.4,190404.81,186464.5062937723,186464.30610627602,0.020694362471682215,0.02069541385002538,1.0513783431181974e-6
rw_01,7,233800,348980.4,205152.31,201650.43717202934,201650.23835864203,0.017069636141540778,0.017070605242911707,9.691013710079483e-7
rw_02,9,156876,293683.4,352208.5,348165.2718671196,348165.06296113326,0.011479643827109198,0.0114802369586956,5.931315863631747e-7
