fold,weight_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
rw_05,q50_q90,979616,2192024.0,2044134.1,2006839.3078791786,2005111.1668343258,0.018244799431065384,0.019090214134395045,0.0008454147033296014
rw_05,q00_q50,934120,1112004.9,1024383.56,1009613.9170520937,1009458.7303609223,0.014418081262316584,0.014569574020354081,0.00015149275803746923
rw_04,q99_q100,30008,184320.98,115177.81,113261.57750385176,113250.36581722458,0.016637188661212332,0.016734531077983616,0.00009734241677130866
rw_02,q00_q50,1133528,1252277.8,1578902.9,1557625.1125512132,1557573.6058328266,0.01347629596835509,0.013508917809256227,0.00003262184090117837
rw_04,q90_q99,269104,1065378.2,568678.9,561643.4636719292,561627.2553506931,0.012371501100811644,0.012400002812319788,0.00002850171150822856
rw_05,q90_q99,219736,915215.8,807500.4,787453.7106713061,787445.1227769435,0.024825578971023887,0.024836214129382306,0.000010635158358446982
rw_02,q99_q100,13552,84570.984,47250.848,46974.23763755751,46973.868432217736,0.005854075268761916,0.005861888998209941,7.813729448016087e-6
rw_04,q50_q90,1056088,2434689.8,1647207.4,1623364.0344897972,1623357.2635253095,0.0144750083517583,0.014479118923742318,4.1105719841065035e-6
rw_01,q90_q99,66792,264431.9,166513.92,164341.68446555614,164341.4216406132,0.013045380139893203,0.013046958536101716,1.578396208439642e-6
rw_01,q50_q90,696960,1531790.5,1156375.2,1134506.2992026233,1134504.7329274819,0.018911638585637935,0.0189129930552544,1.3544696165321283e-6
rw_03,q50_q90,848936,1940250.4,747584.1,737397.1372107549,737396.322331627,0.01362654375418293,0.013627633770812109,1.0900166290911115e-6
rw_03,q90_q99,240064,983488.25,407201.0,403312.39139658556,403312.52284922503,0.00954960474904143,0.00954928192901039,-3.228200310677238e-7
rw_04,q00_q50,892496,1031844.5,779308.4,771314.978887288,771315.5915231194,0.010257038637255689,0.010256252509644348,-7.861276113561567e-7
rw_03,q99_q100,23232,146167.48,74495.85,73923.67921699521,73924.09616080868,0.00768059339552285,0.0076749965226134975,-5.596872909367585e-6
rw_02,q50_q90,877976,2002140.4,2263072.5,2231466.1796774156,2231482.690258868,0.013966110375422947,0.013958814726939606,-7.295648483378015e-6
rw_02,q90_q99,208120,841680.5,828239.56,820428.3024704476,820451.5682626042,0.0094311602381979,0.00940306958277648,-0.000028090655421413368
rw_03,q00_q50,1117072,1249555.2,597954.0,587805.748957067,587828.9741758732,0.016971624979401412,0.016932783833082166,-0.0000388411463192536
rw_01,q00_q50,1499432,1581907.9,1297767.5,1279062.8860061662,1279123.5996541136,0.014412916022194855,0.014366132875022974,-0.00004678314717190394
rw_05,q99_q100,44528,292086.97,275835.16,263847.2560311465,263896.9795853693,0.04346037822672755,0.04328011275622412,-0.00018026547050340445
