candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_q0p95_residual_tail,residual_tail,11151360,21105826.5,16171183.804859068,16427583.5,0.01540326073743481,0.01289435455993948,0.0032790397715402927,0.015607876541362975
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_q0p99_residual_tail,residual_tail,11151360,21105826.5,16171514.60180716,16427583.5,0.015384002334118806,0.012885880499485247,0.0033037757549266643,0.015587739864042716
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_q0p9_residual_tail,residual_tail,11151360,21105826.5,16171533.822031,16427583.5,0.015391809914110577,0.012886133605360506,0.003243472877891385,0.015586569867016564
gateway_risk_aggressive_rls_abs_pred_s100_prediction_residual_weight_q0p95_residual_tail,residual_tail,11151360,21105826.5,16171907.277463643,16427583.5,0.015363009058586518,0.012818106202427626,0.003340297725120117,0.015563836430133371
gateway_risk_aggressive_rls_abs_pred_s100_prediction_residual_weight_q0p99_residual_tail,residual_tail,11151360,21105826.5,16172291.546162209,16427583.5,0.015339447825957465,0.012804419384513266,0.0033870863711236306,0.015540444754871707
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11151360,21105826.5,16172375.878300166,16427583.5,0.01531953212588164,0.012927335822554564,0.003298792232380216,0.015535311185594258
gateway_risk_aggressive_rls_abs_pred_s100_prediction_residual_weight_q0p9_residual_tail,residual_tail,11151360,21105826.5,16172415.86115108,16427583.5,0.015343393258897952,0.012811706506961507,0.003284692269494003,0.015532877300481807
gateway_risk_conservative_rls_abs_pred_s25_prediction_residual_weight_q0p95_residual_tail,residual_tail,11151360,21105826.5,16172499.235295095,16427583.5,0.015340510977329958,0.012896406870989363,0.003156123929398133,0.015527802047386019
gateway_risk_conservative_rls_abs_pred_s25_prediction_residual_weight_q0p99_residual_tail,residual_tail,11151360,21105826.5,16172797.590821233,16427583.5,0.01532308665787685,0.01288814830260021,0.0031827133707513972,0.015509640184070084
gateway_risk_conservative_rls_abs_pred_s25_prediction_residual_weight_q0p9_residual_tail,residual_tail,11151360,21105826.5,16172850.9665953,16427583.5,0.015328927444599284,0.012888465781753067,0.0031218970261281663,0.015506391028522248
conservative_rls_prediction_residual_weight_q0p95_residual_tail,residual_tail,11151360,21105826.5,16173180.15519798,16427583.5,0.01530781473306948,0.012892065117282026,0.0030965071774805377,0.015486352256375402
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_q0p95_residual_tail,residual_tail,11151360,21105826.5,16173259.501116214,16427583.5,0.015297532193227981,0.012846389203073794,0.003213971635928441,0.015481522214377152
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11151360,21105826.5,16173380.312123924,16427583.5,0.015260896443156934,0.012811187877500463,0.0033925700911902044,0.015474168058623783
conservative_rls_prediction_residual_weight_q0p99_residual_tail,residual_tail,11151360,21105826.5,16173466.153797988,16427583.5,0.015291118336936726,0.012883890092171946,0.0031235847301003396,0.015468942599014213
conservative_rls_prediction_residual_weight_q0p9_residual_tail,residual_tail,11151360,21105826.5,16173530.611986432,16427583.5,0.015296263765360951,0.012884241784094752,0.0030630968259797576,0.015465018821153365
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11151360,21105826.5,16173555.011654515,16427583.5,0.015264650948900328,0.012929243247253197,0.0031798962185810823,0.015463533534648355
