candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_5_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16171962.780919183,16427583.5,0.015324791811818117,0.012837924566598935,0.0035330901537164168,0.015560457755750656
fixed_blend_5_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16172235.35117285,16427583.5,0.015317653050535007,0.012840618442917395,0.0034600660969826965,0.015543865525148637
fixed_blend_6_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16172602.662989877,16427583.5,0.015296207713047183,0.012823806416059846,0.0034519800253624586,0.01552150606996594
fixed_blend_6_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16172921.410592087,16427583.5,0.015285721777179883,0.012823023626554408,0.003390428303542373,0.015502102875198487
fixed_blend_4_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16173106.253340885,16427583.5,0.015264735291073705,0.012651696089012732,0.0034682189125711076,0.015490850900810482
wf_blend_5_wf_blend,walk_forward_blend,11151360,21105826.5,16173363.855420455,16427583.5,0.01525283955617649,0.012803169554329474,0.0033971632430119148,0.015475169831250302
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11151360,21105826.5,16173380.312123924,16427583.5,0.015260896443156934,0.012811187877500463,0.0033925700911902044,0.015474168058623783
fixed_blend_6_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16173521.159332788,16427583.5,0.015242133107978017,0.012789582899824903,0.003450435473162279,0.015465594234673197
fixed_blend_5_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16173659.691378407,16427583.5,0.015232091584225383,0.012721634808355309,0.0034831082416751295,0.01545716134217745
fixed_blend_4_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16173714.182651583,16427583.5,0.015217831956641637,0.01246889619004965,0.0035534598786179207,0.015453844282600437
wf_blend_6_wf_blend,walk_forward_blend,11151360,21105826.5,16173768.18553181,16427583.5,0.015233744068042699,0.012805382985205838,0.0033556969942103196,0.015450556953077732
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11151360,21105826.5,16174477.402139407,16427583.5,0.015210675300376142,0.012787234531308589,0.0032679488198132677,0.01540738465037128
wf_blend_0_wf_blend,walk_forward_blend,11151360,21105826.5,16174577.677639727,16427583.5,0.01520302260031776,0.012787234531308589,0.0032645007538662507,0.015401280557196584
wf_blend_4_wf_blend,walk_forward_blend,11151360,21105826.5,16175004.553159805,16427583.5,0.015171608032269556,0.012760690779693107,0.003257699413555261,0.015375295267267663
fixed_blend_2_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16175119.686513394,16427583.5,0.015142045278120575,0.012494176237652144,0.00349819406480118,0.015368286728635772
aggressive_rls_prediction,strong_base,11151360,21105826.5,16175163.673196714,16427583.5,0.015178827910532511,0.012778704131981011,0.0032073749797732675,0.015365609117329093
fixed_blend_3_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16175211.780641776,16427583.5,0.015140249312292164,0.012420095895670502,0.003458393848387049,0.015362680661962558
fixed_blend_2_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16175517.455250312,16427583.5,0.01511066859706689,0.012071185863325673,0.0035694277237415194,0.015344073262490987
fixed_blend_9_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16175670.558781303,16427583.5,0.01512325920532447,0.012657713982327179,0.003394844491545476,0.015334753356675779
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11151360,21105826.5,16175676.89962081,16427583.5,0.015123497961972477,0.012683083444030907,0.0033849437171904425,0.01533436736932059
wf_blend_8_wf_blend,walk_forward_blend,11151360,21105826.5,16175880.756580677,16427583.5,0.015114855315269038,0.012639870210513715,0.003392778587894962,0.015321957938568609
fixed_blend_9_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16175943.308989754,16427583.5,0.015109188687405873,0.01262568088395033,0.003385645983205945,0.015318150171645506
wf_blend_9_wf_blend,walk_forward_blend,11151360,21105826.5,16175947.694246303,16427583.5,0.01511201744995636,0.01262568088395033,0.003395371260970093,0.015317883226933282
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11151360,21105826.5,16176201.470589977,16427583.5,0.015107206257916238,0.012621317727040449,0.0033281634522223215,0.015302435042258256
fixed_blend_4_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16176301.1900715,16427583.5,0.01506996529707998,0.012238834834419232,0.003521632145834825,0.015296364795741257
fixed_blend_0_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16176315.306126079,16427583.5,0.015103274323530692,0.012406588482233194,0.003280385543724567,0.015295505505963258
fixed_blend_8_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16176430.30931895,16427583.5,0.01507568326009361,0.012561433607920613,0.0034102715446188963,0.015288504890634047
fixed_blend_3_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16176464.838886345,16427583.5,0.015066301178854501,0.012010055998230351,0.003480702070045272,0.015286402964480805
fixed_blend_9_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16176495.15024616,16427583.5,0.01508128640821671,0.012586984148900249,0.00335740832959099,0.015284557814229993
conservative_rls_prediction,strong_base,11151360,21105826.5,16176779.997887067,16427583.5,0.015044996386019638,0.011628514974726056,0.0036557777432100562,0.015267218219461975
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11151360,21105826.5,16177326.082550524,16427583.5,0.015039552367756892,0.012541623777176936,0.0033103164951560436,0.015233976284428907
tabm_prediction,strong_base,11151360,21105826.5,16177366.25,16427583.5,0.014935958385467529,0.012535333633422852,0.003447593313264058,0.015231531162206546
baseline_prediction,strong_base,11151360,21105826.5,16177484.326882476,16427583.5,0.014928368100077295,0.01253536523373755,0.0034529828528762235,0.01522434344147594
fixed_blend_1_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16177503.915850854,16427583.5,0.014986477035538038,0.011562929571154235,0.003643735784031692,0.015223150997780488
fixed_blend_8_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16177546.5085483,16427583.5,0.01500935125120335,0.012381986941989553,0.0034164542681185753,0.015220558242890592
wf_blend_2_wf_blend,walk_forward_blend,11151360,21105826.5,16177718.43258935,16427583.5,0.01497458789252144,0.011412389470462192,0.0037182601215032815,0.015210092671916753
wf_blend_3_wf_blend,walk_forward_blend,11151360,21105826.5,16177804.629012046,16427583.5,0.014976837401558618,0.011498706116825241,0.0036589021575141123,0.015204845617613372
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,11151360,21105826.5,16177907.91062066,16427583.5,0.015028107243532185,0.012542173820217384,0.0032675554039196275,0.015198558532929729
fixed_blend_1_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16177937.479357593,16427583.5,0.014966995211210875,0.011800185679465502,0.00357538249516173,0.015196758588529313
fixed_blend_7_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16177978.335619532,16427583.5,0.014997810939622425,0.012551331344105132,0.0033275056778037312,0.015194271536070336
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11151360,21105826.5,16178202.904518869,16427583.5,0.014956681783919446,0.011734892985467926,0.0035448407103560254,0.015180601302749785
fixed_blend_2_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16178519.388761276,16427583.5,0.014945422324595703,0.011526669803296974,0.0035337996930202733,0.015161335885994665
fixed_blend_0_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16178535.95493945,16427583.5,0.014973412524637353,0.011958605386917731,0.0033058445758575713,0.015160327449289857
wf_blend_1_wf_blend,walk_forward_blend,11151360,21105826.5,16178728.962879835,16427583.5,0.014913444256723718,0.011187136821357968,0.0037465611989289244,0.015148578433350601
fixed_blend_7_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16178785.952150885,16427583.5,0.014947494287682894,0.012422436782735025,0.0033435477245067876,0.015145109312584837
wf_blend_7_wf_blend,walk_forward_blend,11151360,21105826.5,16178984.37070614,16427583.5,0.014927247509441188,0.012264217531687494,0.003409686549234799,0.015133030935064795
fixed_blend_8_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16179025.497308863,16427583.5,0.014924501935301681,0.012182013080056509,0.0034043415233436704,0.015130527426090223
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11151360,21105826.5,16179167.819039663,16427583.5,0.014919174345765285,0.012259365909677467,0.0034015504199528426,0.015121863843232775
fixed_blend_3_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16179436.074354514,16427583.5,0.014901653561659511,0.011490233385528792,0.0034609695977961172,0.015105534276875554
fixed_blend_1_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16179566.585080419,16427583.5,0.014879580785370106,0.011249743697187675,0.003584831409562962,0.015097589667986244
fixed_blend_7_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16179748.932144588,16427583.5,0.0148886024119383,0.012202939479562303,0.0033591455004499397,0.015086489613972298
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11151360,21105826.5,16180867.275600636,16427583.5,0.014821135312388666,0.01196151202212159,0.003375088641723348,0.015018412440232831
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16181139.348579518,16427583.5,0.014821089903696127,0.011443285245361978,0.0033486988796739207,0.015001850480351075
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11151360,21105826.5,16182238.799877446,16427583.5,0.014772947682390857,0.011483829593249117,0.0032490669531553356,0.014934923333218997
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11151360,21105826.5,16182830.791115012,16427583.5,0.014725373511332318,0.011144055864042546,0.0033814048462655795,0.014898886916933862
strong_oof_ridge_stack,strong_stack,11151360,21105826.5,16184125.48704629,16427583.5,0.014646306460707016,0.010860628057566157,0.0034135165302351914,0.014820074599146582
strong_oof_ridge_stack_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11151360,21105826.5,16187107.60369402,16427583.5,0.01454582776873523,0.011588895800752175,0.0027940930256420545,0.014638543539040927
strong_oof_ridge_stack_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11151360,21105826.5,16188144.29521932,16427583.5,0.014498116485462731,0.01156574350691375,0.0027423654487503156,0.01457543678172013
strong_oof_ridge_stack_prediction_residual,residual_correction,11151360,21105826.5,16190995.751967028,16427583.5,0.01435988816494711,0.011321413662035429,0.0026432138724543992,0.014401859411213636
tree_prediction,strong_base,11151360,21105826.5,16329733.834305177,16427583.5,0.006117479674313286,0.0018682109832791616,0.0025363131850918335,0.005956424795821258
lightgbm_prediction,strong_base,11151360,21105826.5,16330433.944047669,16427583.5,0.006007332238840113,0.000031214350128649926,0.0033981872623339176,0.005913806857370751
ridge_calibrated_prediction,strong_base,11151360,21105826.5,16353377.216306066,16427583.5,0.004382562787762168,0.0030449822317777375,0.000997037515624474,0.004517175864236722
xgboost_prediction,strong_base,11151360,21105826.5,16383111.828238454,16427583.5,0.002635057297477439,-0.014776114714696309,0.009819859100471902,0.002707134117537535
