candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_5_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16171506.793889744,16427583.5,0.015356613701345357,0.012878134391069551,0.0034977300795913545,0.015588215157162688
fixed_blend_5_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16172224.364751706,16427583.5,0.015318406431441934,0.012816372582664881,0.0034673153357609753,0.015544534304043789
fixed_blend_6_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16172239.62829611,16427583.5,0.015322956607062777,0.012899163448710449,0.0034161214424802923,0.015543605162858465
fixed_blend_5_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16172257.80635231,16427583.5,0.01532070332432347,0.012871112493690773,0.0034302122561321014,0.015542498605938593
wf_blend_5_wf_blend,walk_forward_blend,11151360,21105826.5,16172335.221103862,16427583.5,0.015308162533793811,0.012833844957305551,0.0034725487783516147,0.01553778612028589
fixed_blend_6_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16172442.209450737,16427583.5,0.015310209835917776,0.012866143417116227,0.003419641378960882,0.01553127339448701
wf_blend_6_wf_blend,walk_forward_blend,11151360,21105826.5,16172917.936827429,16427583.5,0.015281252675809265,0.012842813200223513,0.003409003969926666,0.015502314334458922
fixed_blend_6_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16172918.025859002,16427583.5,0.01528977842854884,0.012857032540482538,0.0033650199618187036,0.015502308914819851
fixed_blend_4_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16173045.79120735,16427583.5,0.015272893014042088,0.012702903794518439,0.0034363022500337724,0.01549453142591839
fixed_blend_4_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16173085.100220269,16427583.5,0.015260553579632097,0.012589827728820113,0.0035108924534840657,0.015492138559498492
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11151360,21105826.5,16173380.312123924,16427583.5,0.015260896443156934,0.012811187877500463,0.0033925700911902044,0.015474168058623783
fixed_blend_9_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16173395.865925862,16427583.5,0.01525754870745406,0.012790109779425407,0.0033898137418090705,0.015473221248526237
fixed_blend_9_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16173500.023062741,16427583.5,0.015251976138150635,0.01277020158658615,0.003388757383092585,0.015466880867612609
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11151360,21105826.5,16173525.769322883,16427583.5,0.015251538115113861,0.012804502302982579,0.003374734317799699,0.015465313609705045
wf_blend_8_wf_blend,walk_forward_blend,11151360,21105826.5,16173625.167822903,16427583.5,0.015247324051885025,0.0127834319868384,0.0033785648456805366,0.015459262902367654
wf_blend_9_wf_blend,walk_forward_blend,11151360,21105826.5,16173665.45232628,16427583.5,0.015245743975792193,0.01277020158658615,0.0033831721395241147,0.015456810654696729
fixed_blend_2_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16173836.633225836,16427583.5,0.01522160343317378,0.012615600569929053,0.003480860181402414,0.0154463903211427
fixed_blend_9_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16173838.240733521,16427583.5,0.015234820407203632,0.012744777724464695,0.003371569170390655,0.015446292466964384
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11151360,21105826.5,16173969.023533009,16427583.5,0.015238970890890768,0.012750050226005838,0.0033209912568323945,0.015438331296078411
fixed_blend_8_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16174090.106766893,16427583.5,0.015214561454354292,0.012786731854224298,0.0033978325698655223,0.015430960569039698
fixed_blend_3_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16174223.906558288,16427583.5,0.01520443580921944,0.012550508294069451,0.0034292607577566976,0.015422815744123963
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11151360,21105826.5,16174410.5189382,16427583.5,0.015206081514613046,0.012713838193060933,0.0033383361328565057,0.015411456046581673
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11151360,21105826.5,16174477.402139407,16427583.5,0.015210675300376142,0.012787234531308589,0.0032679488198132677,0.01540738465037128
wf_blend_0_wf_blend,walk_forward_blend,11151360,21105826.5,16174569.53173466,16427583.5,0.015203644269299498,0.012787234531308589,0.0032647776471881407,0.015401776424715186
fixed_blend_4_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16174595.329178168,16427583.5,0.015173656997146035,0.012448006334213169,0.0034898203482270503,0.015400206051111032
wf_blend_4_wf_blend,walk_forward_blend,11151360,21105826.5,16174911.118346281,16427583.5,0.01517958969778781,0.012748064742995724,0.0032630967418382476,0.015380982945770394
fixed_blend_8_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16174953.337374588,16427583.5,0.015162346759346135,0.01263402791362056,0.003404966444318288,0.015378412937326558
fixed_blend_7_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16175003.264043478,16427583.5,0.01516853757065093,0.01272262759648557,0.0033490430554499674,0.015375373739936915
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11151360,21105826.5,16175049.460455265,16427583.5,0.015144102920280478,0.012165902316569,0.003506303586522339,0.015372561615330405
aggressive_rls_prediction,strong_base,11151360,21105826.5,16175163.673196714,16427583.5,0.015178827910532511,0.012778704131981011,0.0032073749797732675,0.015365609117329093
fixed_blend_2_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16175304.385224037,16427583.5,0.015130573269648928,0.012115859107643123,0.0035398399685183353,0.015357043522314928
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,11151360,21105826.5,16175465.44743181,16427583.5,0.015171706658893802,0.012680467300115628,0.0032673588385184345,0.015347239146170866
conservative_rls_prediction,strong_base,11151360,21105826.5,16175659.659024933,16427583.5,0.01512514384706476,0.012120517835612632,0.003465140820545364,0.015335416860006612
fixed_blend_7_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16175728.505602378,16427583.5,0.01512370988132532,0.0126689613884019,0.0033581678864567093,0.015331225946751181
wf_blend_7_wf_blend,walk_forward_blend,11151360,21105826.5,16175874.278118148,16427583.5,0.01510658026852194,0.012519695168939027,0.0034240532321909347,0.015322352303481002
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11151360,21105826.5,16176048.362788575,16427583.5,0.01509986756868147,0.012527268512017575,0.0034086345173292075,0.015311755208027078
