candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11151360,21105826.5,16170817.557454977,16427583.5,0.015416459997629306,0.012909969694714585,0.003295373342870848,0.015630171202296594
fixed_blend_3_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16171094.490390984,16427583.5,0.015398486049468963,0.01291605732009471,0.0032976896850397362,0.015613313401147244
fixed_blend_5_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16171350.511516036,16427583.5,0.015390668505174366,0.012912253066573065,0.0032447754229976912,0.015597728569388458
fixed_blend_1_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16171410.44773914,16427583.5,0.015384134675021888,0.01291372400740054,0.00328447976019515,0.015594080058144888
fixed_blend_3_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16171446.521510517,16427583.5,0.015376340088124251,0.0129209808831946,0.003298928523970031,0.015591884131313849
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11151360,21105826.5,16171462.175831802,16427583.5,0.015372058306413106,0.012912331898926044,0.0033267504437360573,0.015590931202279279
fixed_blend_3_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16171873.65081358,16427583.5,0.015350022113595107,0.012924740384014588,0.0032992384029665073,0.015565883392796076
fixed_blend_5_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16172015.08761258,16427583.5,0.015358205529529757,0.01291109543371216,0.003187241263946569,0.015557273678591832
fixed_blend_1_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16172218.051947933,16427583.5,0.015339062117943891,0.012909870539890345,0.003275815919285096,0.01554491858477347
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11151360,21105826.5,16172375.878300166,16427583.5,0.01531953212588164,0.012927335822554564,0.003298792232380216,0.015535311185594258
fixed_blend_4_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16172500.715320755,16427583.5,0.015318845421797667,0.012925822711771007,0.003248685664767486,0.015527711953449819
fixed_blend_0_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16172728.47182981,16427583.5,0.015302655563504297,0.012925357943612936,0.0032901977072267476,0.015513847680043158
fixed_blend_4_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16172769.532262942,16427583.5,0.01531090535423465,0.012920505230056167,0.0031908162930408047,0.015511348199024999
fixed_blend_5_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16172811.285744604,16427583.5,0.015319071070695477,0.012906496796131983,0.003122935699938288,0.01550880652990727
fixed_blend_4_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16173182.329126727,16427583.5,0.01529571192319259,0.012911383377409713,0.003125243038666759,0.01548621992231991
fixed_blend_0_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16173196.256979566,16427583.5,0.01527888723846087,0.012916699390920106,0.0032821703910238453,0.015485372088988814
fixed_blend_1_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16173240.370081354,16427583.5,0.015281242326395295,0.012898409292183777,0.003270050945255712,0.015482686782182342
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11151360,21105826.5,16173380.312123924,16427583.5,0.015260896443156934,0.012811187877500463,0.0033925700911902044,0.015474168058623783
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11151360,21105826.5,16173555.011654515,16427583.5,0.015264650948900328,0.012929243247253197,0.0031798962185810823,0.015463533534648355
fixed_blend_2_w0p25_fixed_blend,fixed_blend,11151360,21105826.5,16173624.300281866,16427583.5,0.015275123565574944,0.012906170487082314,0.0031048073573151473,0.015459315712389121
fixed_blend_2_w0p5_fixed_blend,fixed_blend,11151360,21105826.5,16173709.081109667,16427583.5,0.015265311406493542,0.012905555449907347,0.0031581492495322094,0.015454154829913525
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11151360,21105826.5,16173739.105912112,16427583.5,0.015273265128671465,0.01289845715383231,0.003052072453938511,0.01545232712333422
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11151360,21105826.5,16173742.877778322,16427583.5,0.015283785575925846,0.012854449919505573,0.0030181138903784335,0.015452097517670738
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16173779.23374943,16427583.5,0.015248227150751493,0.012884336936753282,0.0032747427761163836,0.01544988441243167
fixed_blend_2_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16173993.448395515,16427583.5,0.01524382865142726,0.012896612042306743,0.003212414575443271,0.01543684447590754
conservative_rls_prediction,strong_base,11151360,21105826.5,16174181.904978974,16427583.5,0.01523512615088729,0.01292477098157474,0.003121493467609853,0.015425372515746272
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11151360,21105826.5,16174477.402139407,16427583.5,0.015210675300376142,0.012787234531308589,0.0032679488198132677,0.01540738465037128
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,11151360,21105826.5,16174902.556860777,16427583.5,0.015232442706376892,0.01279988021386802,0.0029957871051369653,0.015381504111010802
aggressive_rls_prediction,strong_base,11151360,21105826.5,16175163.673196714,16427583.5,0.015178827910532511,0.012778704131981011,0.0032073749797732675,0.015365609117329093
strong_oof_ridge_stack,strong_stack,11151360,21105826.5,16175436.974281508,16427583.5,0.015167694824809752,0.012781800724435022,0.0031796420808736497,0.015348972398678828
