fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,tabm_prediction,strong_base,2263184,3378130.25,2579023.75,2620656.75,0.01588648557662964
rw_02,tabm_prediction,strong_base,2233176,4180669.75,4657717.5,4717466.0,0.012665390968322754
rw_03,tabm_prediction,strong_base,2229304,4319461.5,1804330.0,1827235.0,0.012535333633422852
rw_04,tabm_prediction,strong_base,2247696,4716233.5,3069932.75,3110372.5,0.013001561164855957
rw_05,tabm_prediction,strong_base,2178000,4511331.5,4066362.25,4151853.25,0.020591020584106445
rw_01,tree_prediction,strong_base,2263184,3378130.25,2601969.6599057363,2620656.75,0.007130689699924919
rw_02,tree_prediction,strong_base,2233176,4180669.75,4685956.08006287,4717466.0,0.006679416436097263
rw_03,tree_prediction,strong_base,2229304,4319461.5,1811468.289909455,1827235.0,0.008628725966033368
rw_04,tree_prediction,strong_base,2247696,4716233.5,3104561.6679334105,3110372.5,0.0018682109832791616
rw_05,tree_prediction,strong_base,2178000,4511331.5,4125778.1364937043,4151853.25,0.00628035528623172
rw_01,baseline_prediction,strong_base,2263184,3378130.25,2579023.7181888698,2620656.75,0.01588648792373526
rw_02,baseline_prediction,strong_base,2233176,4180669.75,4657717.35696632,4717466.0,0.012665410420272138
rw_03,baseline_prediction,strong_base,2229304,4319461.5,1804329.9419071316,1827235.0,0.01253536523373755
rw_04,baseline_prediction,strong_base,2247696,4716233.5,3070051.1760432064,3110372.5,0.012963503232102824
rw_05,baseline_prediction,strong_base,2178000,4511331.5,4066362.1337769474,4151853.25,0.020591073690538697
rw_01,conservative_rls_prediction,strong_base,2263184,3378130.25,2577910.8696743455,2620656.75,0.016311132820295726
rw_02,conservative_rls_prediction,strong_base,2233176,4180669.75,4656493.832336634,4717466.0,0.01292477098157474
rw_03,conservative_rls_prediction,strong_base,2229304,4319461.5,1802438.9567814027,1827235.0,0.01357025408258783
rw_04,conservative_rls_prediction,strong_base,2247696,4716233.5,3069584.054552866,3110372.5,0.013113685080206272
rw_05,conservative_rls_prediction,strong_base,2178000,4511331.5,4067754.191633725,4151853.25,0.020255787789771884
rw_01,aggressive_rls_prediction,strong_base,2263184,3378130.25,2577634.4277464375,2620656.75,0.016416618564626062
rw_02,aggressive_rls_prediction,strong_base,2233176,4180669.75,4656741.2896376485,4717466.0,0.012872315425771275
rw_03,aggressive_rls_prediction,strong_base,2229304,4319461.5,1802461.9520206037,1827235.0,0.013557669363489788
rw_04,aggressive_rls_prediction,strong_base,2247696,4716233.5,3070625.97008225,3110372.5,0.012778704131981011
rw_05,aggressive_rls_prediction,strong_base,2178000,4511331.5,4067700.033709775,4151853.25,0.020268832066794418
rw_01,strong_oof_ridge_stack,strong_stack,2263184,3378130.25,2577910.8696743455,2620656.75,0.016311132820295726
rw_02,strong_oof_ridge_stack,strong_stack,2233176,4180669.75,4657013.775033298,4717466.0,0.012814554459258831
rw_03,strong_oof_ridge_stack,strong_stack,2229304,4319461.5,1802418.5883488758,1827235.0,0.013581401216112954
rw_04,strong_oof_ridge_stack,strong_stack,2247696,4716233.5,3069979.8302607057,3110372.5,0.012986441250780856
rw_05,strong_oof_ridge_stack,strong_stack,2178000,4511331.5,4070879.776968043,4151853.25,0.019502970879801018
rw_01,strong_oof_ridge_stack_prediction_s0_risk_shrink,risk_shrinkage,2263184,3378130.25,2577910.8696743455,2620656.75,0.016311132820295726
rw_02,strong_oof_ridge_stack_prediction_s0_risk_shrink,risk_shrinkage,2233176,4180669.75,4657013.775033298,4717466.0,0.012814554459258831
rw_03,strong_oof_ridge_stack_prediction_s0_risk_shrink,risk_shrinkage,2229304,4319461.5,1802418.5883488758,1827235.0,0.013581401216112954
rw_04,strong_oof_ridge_stack_prediction_s0_risk_shrink,risk_shrinkage,2247696,4716233.5,3069979.8302607057,3110372.5,0.012986441250780856
rw_05,strong_oof_ridge_stack_prediction_s0_risk_shrink,risk_shrinkage,2178000,4511331.5,4070879.776968043,4151853.25,0.019502970879801018
rw_01,strong_oof_ridge_stack_prediction_tb100_min20000_p1000_regime_scaled,regime_scaled,2263184,3378130.25,2577910.8696743455,2620656.75,0.016311132820295726
rw_02,strong_oof_ridge_stack_prediction_tb100_min20000_p1000_regime_scaled,regime_scaled,2233176,4180669.75,4658877.180321052,4717466.0,0.012419553141230555
rw_03,strong_oof_ridge_stack_prediction_tb100_min20000_p1000_regime_scaled,regime_scaled,2229304,4319461.5,1802785.4839977212,1827235.0,0.01338060840684352
rw_04,strong_oof_ridge_stack_prediction_tb100_min20000_p1000_regime_scaled,regime_scaled,2247696,4716233.5,3070523.578979428,3110372.5,0.012811623373268688
rw_05,strong_oof_ridge_stack_prediction_tb100_min20000_p1000_regime_scaled,regime_scaled,2178000,4511331.5,4069871.0879114927,4151853.25,0.019745919990911798
