date_id,predicted_rows,update_source_date_id,update_rows,forgetting_factor,update_before_prediction,update_is_strictly_past,fold,strategy,posterior_leverage_mean,posterior_leverage_max,risk_disagreement_mean,risk_abs_pred_mean,risk_weight_mean
1399,1791,,0,0.995,true,true,rw_01,conservative_rls,,,,,
1400,1839,1399,1791,0.995,true,true,rw_01,conservative_rls,,,,,
1401,1840,1400,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1402,1790,1401,1840,0.995,true,true,rw_01,conservative_rls,,,,,
1403,1888,1402,1790,0.995,true,true,rw_01,conservative_rls,,,,,
1404,1839,1403,1888,0.995,true,true,rw_01,conservative_rls,,,,,
1405,1839,1404,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1406,1888,1405,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1407,1839,1406,1888,0.995,true,true,rw_01,conservative_rls,,,,,
1408,1888,1407,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1409,1887,1408,1888,0.995,true,true,rw_01,conservative_rls,,,,,
1410,1840,1409,1887,0.995,true,true,rw_01,conservative_rls,,,,,
1411,1839,1410,1840,0.995,true,true,rw_01,conservative_rls,,,,,
1412,1839,1411,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1413,1355,1412,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1414,1839,1413,1355,0.995,true,true,rw_01,conservative_rls,,,,,
1415,1743,1414,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1416,1887,1415,1743,0.995,true,true,rw_01,conservative_rls,,,,,
1417,1840,1416,1887,0.995,true,true,rw_01,conservative_rls,,,,,
1418,1839,1417,1840,0.995,true,true,rw_01,conservative_rls,,,,,
1419,1839,1418,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1420,1888,1419,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1421,1887,1420,1888,0.995,true,true,rw_01,conservative_rls,,,,,
1422,1839,1421,1887,0.995,true,true,rw_01,conservative_rls,,,,,
1423,1840,1422,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1424,1887,1423,1840,0.995,true,true,rw_01,conservative_rls,,,,,
1425,1839,1424,1887,0.995,true,true,rw_01,conservative_rls,,,,,
1426,1840,1425,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1427,1839,1426,1840,0.995,true,true,rw_01,conservative_rls,,,,,
1428,1791,1427,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1429,1839,1428,1791,0.995,true,true,rw_01,conservative_rls,,,,,
1430,1839,1429,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1431,1888,1430,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1432,1790,1431,1888,0.995,true,true,rw_01,conservative_rls,,,,,
1433,1743,1432,1790,0.995,true,true,rw_01,conservative_rls,,,,,
1434,1645,1433,1743,0.995,true,true,rw_01,conservative_rls,,,,,
1435,1598,1434,1645,0.995,true,true,rw_01,conservative_rls,,,,,
1436,1742,1435,1598,0.995,true,true,rw_01,conservative_rls,,,,,
1437,1791,1436,1742,0.995,true,true,rw_01,conservative_rls,,,,,
1438,1791,1437,1791,0.995,true,true,rw_01,conservative_rls,,,,,
1439,1839,1438,1791,0.995,true,true,rw_01,conservative_rls,,,,,
1440,1742,1439,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1441,1791,1440,1742,0.995,true,true,rw_01,conservative_rls,,,,,
1442,1791,1441,1791,0.995,true,true,rw_01,conservative_rls,,,,,
1443,1694,1442,1791,0.995,true,true,rw_01,conservative_rls,,,,,
1444,1791,1443,1694,0.995,true,true,rw_01,conservative_rls,,,,,
1445,1839,1444,1791,0.995,true,true,rw_01,conservative_rls,,,,,
1446,1791,1445,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1447,1887,1446,1791,0.995,true,true,rw_01,conservative_rls,,,,,
1448,1888,1447,1887,0.995,true,true,rw_01,conservative_rls,,,,,
1449,1791,1448,1888,0.995,true,true,rw_01,conservative_rls,,,,,
1450,1839,1449,1791,0.995,true,true,rw_01,conservative_rls,,,,,
1451,1500,1450,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1452,1839,1451,1500,0.995,true,true,rw_01,conservative_rls,,,,,
1453,1791,1452,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1454,1646,1453,1791,0.995,true,true,rw_01,conservative_rls,,,,,
1455,1839,1454,1646,0.995,true,true,rw_01,conservative_rls,,,,,
1456,1549,1455,1839,0.995,true,true,rw_01,conservative_rls,,,,,
1457,1694,1456,1549,0.995,true,true,rw_01,conservative_rls,,,,,
1458,1887,1457,1694,0.995,true,true,rw_01,conservative_rls,,,,,
1459,1888,,0,0.995,true,true,rw_02,conservative_rls,,,,,
1460,1888,1459,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1461,1839,1460,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1462,1887,1461,1839,0.995,true,true,rw_02,conservative_rls,,,,,
1463,1791,1462,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1464,1694,1463,1791,0.995,true,true,rw_02,conservative_rls,,,,,
1465,1888,1464,1694,0.995,true,true,rw_02,conservative_rls,,,,,
1466,1791,1465,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1467,1887,1466,1791,0.995,true,true,rw_02,conservative_rls,,,,,
1468,1888,1467,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1469,1887,1468,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1470,1888,1469,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1471,1791,1470,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1472,1887,1471,1791,0.995,true,true,rw_02,conservative_rls,,,,,
1473,1743,1472,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1474,1839,1473,1743,0.995,true,true,rw_02,conservative_rls,,,,,
1475,1888,1474,1839,0.995,true,true,rw_02,conservative_rls,,,,,
1476,1887,1475,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1477,1888,1476,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1478,968,1477,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1479,1839,1478,968,0.995,true,true,rw_02,conservative_rls,,,,,
1480,1888,1479,1839,0.995,true,true,rw_02,conservative_rls,,,,,
1481,1887,1480,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1482,1597,1481,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1483,1888,1482,1597,0.995,true,true,rw_02,conservative_rls,,,,,
1484,1888,1483,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1485,1645,1484,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1486,1743,1485,1645,0.995,true,true,rw_02,conservative_rls,,,,,
1487,1645,1486,1743,0.995,true,true,rw_02,conservative_rls,,,,,
1488,1646,1487,1645,0.995,true,true,rw_02,conservative_rls,,,,,
1489,1839,1488,1646,0.995,true,true,rw_02,conservative_rls,,,,,
1490,1500,1489,1839,0.995,true,true,rw_02,conservative_rls,,,,,
1491,1694,1490,1500,0.995,true,true,rw_02,conservative_rls,,,,,
1492,1743,1491,1694,0.995,true,true,rw_02,conservative_rls,,,,,
1493,1887,1492,1743,0.995,true,true,rw_02,conservative_rls,,,,,
1494,1840,1493,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1495,1790,1494,1840,0.995,true,true,rw_02,conservative_rls,,,,,
1496,1888,1495,1790,0.995,true,true,rw_02,conservative_rls,,,,,
1497,1888,1496,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1498,1887,1497,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1499,1888,1498,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1500,1791,1499,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1501,1887,1500,1791,0.995,true,true,rw_02,conservative_rls,,,,,
1502,1791,1501,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1503,1839,1502,1791,0.995,true,true,rw_02,conservative_rls,,,,,
1504,1888,1503,1839,0.995,true,true,rw_02,conservative_rls,,,,,
1505,1887,1504,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1506,1888,1505,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1507,1888,1506,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1508,1887,1507,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1509,1888,1508,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1510,1839,1509,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1511,1888,1510,1839,0.995,true,true,rw_02,conservative_rls,,,,,
1512,1887,1511,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1513,1839,1512,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1514,1888,1513,1839,0.995,true,true,rw_02,conservative_rls,,,,,
1515,1888,1514,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1516,1887,1515,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1517,1888,1516,1887,0.995,true,true,rw_02,conservative_rls,,,,,
1518,1887,1517,1888,0.995,true,true,rw_02,conservative_rls,,,,,
1519,1888,,0,0.995,true,true,rw_03,conservative_rls,,,,,
1520,1888,1519,1888,0.995,true,true,rw_03,conservative_rls,,,,,
1521,1839,1520,1888,0.995,true,true,rw_03,conservative_rls,,,,,
1522,1839,1521,1839,0.995,true,true,rw_03,conservative_rls,,,,,
1523,1888,1522,1839,0.995,true,true,rw_03,conservative_rls,,,,,
1524,1887,1523,1888,0.995,true,true,rw_03,conservative_rls,,,,,
1525,1839,1524,1887,0.995,true,true,rw_03,conservative_rls,,,,,
1526,1888,1525,1839,0.995,true,true,rw_03,conservative_rls,,,,,
1527,1888,1526,1888,0.995,true,true,rw_03,conservative_rls,,,,,
1528,1887,1527,1888,0.995,true,true,rw_03,conservative_rls,,,,,
1529,1888,1528,1887,0.995,true,true,rw_03,conservative_rls,,,,,
1530,1791,1529,1888,0.995,true,true,rw_03,conservative_rls,,,,,
1531,1887,1530,1791,0.995,true,true,rw_03,conservative_rls,,,,,
1532,1791,1531,1887,0.995,true,true,rw_03,conservative_rls,,,,,
1533,1888,1532,1791,0.995,true,true,rw_03,conservative_rls,,,,,
