fold,time_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
rw_02,4,225500,642902.44,211044.52,205044.74729764904,204852.9025136797,0.028428923204106393,0.029337948408581394,0.0009090252044749856
rw_01,9,151640,428206.34,387590.53,379508.67668381456,379287.5419002077,0.020851527358320743,0.021422064473594626,0.0005705371152739167
rw_01,1,223000,629715.2,589428.5,581731.1257344185,581515.7564732223,0.01305904662835522,0.01342443320398945,0.0003653865756342498
rw_03,9,156672,350759.47,266425.75,261493.84111311252,261400.2729199877,0.018511382202686777,0.01886258021235665,0.00035119800966990213
rw_02,3,225500,642902.44,222748.58,222714.5573415759,222648.9172311726,0.00015273176471186645,0.0004474142760698685,0.00029468251135800303
rw_02,1,225500,642902.44,534171.5,512992.4006271439,512885.60418299236,0.039648501226396515,0.03984843035805474,0.00019992913165818569
rw_01,4,223000,629715.2,268793.16,267568.73490706674,267522.2749083242,0.004555254903121253,0.004728101561089604,0.0001728466579682899
rw_04,9,155992,429917.25,440138.7,425174.38119923556,425101.6473346229,0.03399907057878082,0.03416432272924674,0.00016525215046597
rw_01,7,223000,629715.2,316709.7,311650.7979519435,311613.9480482994,0.01597327062518894,0.016089622934886028,0.00011635230969707101
rw_04,0,229400,632231.25,1078556.9,1066916.4514345468,1066798.2837413114,0.010792591318332767,0.010902152247361685,0.00010956092902884307
rw_04,8,229400,632231.25,482741.8,473148.3136063669,473113.74120595335,0.019872939623669095,0.01994455637514647,0.00007161675147741629
rw_02,9,153340,437173.62,318138.1,308773.04108224233,308751.92445386696,0.029437067901453284,0.0295034435690964,0.00006637566764313353
rw_02,6,225500,642902.44,253982.12,248840.44286236743,248830.60830547957,0.02024426773196175,0.02028298918485083,0.00003872145288908665
rw_04,5,229400,632231.25,327485.75,324273.04753042397,324265.18766259565,0.009810205389321647,0.0098342060300467,0.000024000640725027136
rw_01,6,223000,629715.2,313457.16,310488.17594110273,310481.1759125294,0.009471726038787098,0.009494057730483174,0.000022331691696146544
rw_02,8,225500,642902.44,317574.16,311319.82607532205,311314.7693991696,0.01969407790775779,0.019710000727839128,0.000015922820081343732
rw_04,7,229400,632231.25,381481.22,377300.28713452624,377294.8321030778,0.01095973120032867,0.010974030807177737,0.000014299606849128365
rw_04,6,229400,632231.25,299142.97,298020.6164787706,298019.195256556,0.003751892534593848,0.0037566435144367194,4.750979842795454e-6
rw_01,3,223000,629715.2,267962.22,266421.9624967466,266420.8509217531,0.0057480351537556595,0.005752183406441125,4.148252685443286e-6
rw_03,1,230400,515822.75,286165.72,285207.390279486,285206.66132785374,0.003348858398203869,0.0033514057041336143,2.5473059298023972e-6
rw_04,1,229400,632231.25,476039.38,473881.1282568448,473880.45265001163,0.004533756778323572,0.00453517600301101,1.4192246874300987e-6
rw_04,4,229400,632231.25,293627.8,292959.16795589996,292958.9551145438,0.0022771839574973196,0.0022779088253304103,7.248678330604588e-7
rw_04,3,229400,632231.25,265874.97,265366.41404101293,265366.2586144171,0.0019127588857951183,0.0019133434710855157,5.845852904334454e-7
rw_05,3,231000,475500.03,141725.11,140978.8761800397,140978.822116402,0.005265356281968336,0.005265737750276389,3.8146830805860784e-7
rw_05,5,231000,475500.03,177234.3,176431.1753007488,176431.15051164123,0.004531411743730618,0.00453155161004315,1.3986631252004494e-7
rw_05,2,231000,475500.03,196514.78,195482.7798317997,195482.756986878,0.005251520580975555,0.005251636831374529,1.162503989007314e-7
rw_03,4,230400,515822.75,211723.77,210693.6408736598,210693.61768151302,0.0048654186189222015,0.004865528158570331,1.0953964815685934e-7
rw_04,2,229400,632231.25,337182.38,336356.9610572691,336356.93364022305,0.0024479747576691135,0.002448056069884852,8.131221573471867e-8
rw_05,4,231000,475500.03,144082.84,143289.8852596574,143289.8764030315,0.005503490004115097,0.005503551473098334,6.146898323802635e-8
rw_03,2,230400,515822.75,263294.47,262679.5564981967,262679.54883081967,0.002335454499757028,0.0023354836206764817,2.9120919423251303e-8
rw_05,6,231000,475500.03,174571.52,173193.55221897757,173193.55756193015,0.007893403463268611,0.00789337285717251,-3.060609611948704e-8
rw_05,7,231000,475500.03,206127.55,204886.333303491,204886.35654074422,0.006021580280396455,0.006021467547995707,-1.1273240074609541e-7
rw_03,5,230400,515822.75,236893.77,235718.99325489544,235719.0333943244,0.004959068327548222,0.004958898886917917,-1.6944063025541696e-7
rw_03,6,230400,515822.75,229921.5,227771.5159470786,227771.57204737302,0.009350948271133475,0.009350704273532462,-2.43997601053e-7
rw_05,8,231000,475500.03,258695.44,257365.11427010075,257365.19486524703,0.005142430198055825,0.005142118653534311,-3.1154452147064257e-7
rw_03,7,230400,515822.75,245977.92,244525.8250007584,244525.93539174015,0.005903362639918197,0.0059029138558123195,-4.4878410592761526e-7
rw_03,3,230400,515822.75,223511.81,222381.5285791424,222381.63517741975,0.00505693148033326,0.005056454555753098,-4.76924580187175e-7
rw_05,1,231000,475500.03,336272.75,335440.8211190792,335441.03425860155,0.0024739705519427613,0.0024733367226409397,-6.338293018243371e-7
