fold,weight_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
rw_02,q90_q99,352352,1747704.6,778051.75,755252.7395370296,755011.1766856756,0.02930269157928167,0.02961316302459882,0.0003104714453171195
rw_01,q00_q50,871200,1449595.4,1326636.4,1314352.6490928927,1314184.331775632,0.009259301296564715,0.009386176543190294,0.000126875246625634
rw_04,q00_q50,921536,1586575.2,1369615.0,1357212.7110195148,1357086.185880845,0.009055310419705642,0.00914769049634756,0.0000923800766418885
rw_01,q90_q99,257488,1271851.9,757393.3,743006.5200869348,742948.942940205,0.01899514053745388,0.01907116067887782,0.00007602014142394958
rw_04,q50_q90,1046408,3263868.8,2258201.8,2232864.4920712435,2232750.116566199,0.011220103752358046,0.011270752683546159,0.000050648931188097205
rw_02,q00_q50,927344,1528734.2,1006092.4,977985.9828631744,977941.7876067066,0.027936194364683087,0.02798012199753863,0.000043927632855573726
rw_03,q00_q50,1298088,2034940.8,1448712.5,1438516.6084741626,1438466.8116061473,0.00703789849665637,0.007072271685274134,0.000034373188617695726
rw_02,q99_q100,32912,237193.61,85254.07,83845.67553597523,83843.78699759406,0.01651997108598191,0.01654212297121449,0.000022151885232571855
rw_02,q50_q90,870232,2709662.8,1549248.8,1510756.8394466885,1510750.5229695172,0.024845532748250743,0.024849609870902123,4.0771226514645955e-6
rw_05,q90_q99,69696,344876.47,137667.9,136967.637568342,136967.51372139686,0.0050866516440392084,0.005087551250552602,8.996065134035227e-7
rw_04,q99_q100,18392,126538.58,53131.52,52724.70812980776,52724.6665648395,0.0076566867469877176,0.007657469050385557,7.82303397842077e-7
rw_04,q90_q99,234256,1143015.8,701323.6,690594.8574743309,690594.5183114294,0.015297884091198366,0.015298367695185777,4.83603987402468e-7
rw_03,q99_q100,12584,87337.23,56389.207,56180.593494966015,56180.59334220399,0.00369952952465491,0.003699532233719882,2.7090649817778423e-9
rw_05,q50_q90,665016,1960678.1,1037999.7,1033821.5619776498,1033821.6929771925,0.004025170308493142,0.004025044104656872,-1.262038363150804e-7
rw_05,q99_q100,4840,31655.213,20970.973,20549.90441023196,20549.909988308118,0.020078622623760256,0.020078356633419725,-2.659903405113331e-7
rw_03,q90_q99,79376,377526.34,216065.44,214135.88676737357,214135.98607262244,0.008930399766628239,0.00892994015934434,-4.5960728391600924e-7
rw_01,q99_q100,40656,294575.16,161121.75,159048.81985744956,159049.4012358875,0.012865613379636431,0.012862005062088233,-3.608317548238671e-6
rw_03,q50_q90,840224,2493360.0,1182567.4,1169889.8395380103,1169915.5853211982,0.010720349410949792,0.010698578318890095,-0.000021771092059693123
rw_01,q50_q90,989296,3079620.8,1958296.4,1928532.6449506187,1928585.5753687718,0.015198787287435622,0.015171758478707442,-0.00002702880872822971
rw_05,q00_q50,1496528,2265630.2,1290148.8,1277963.9543126875,1278010.5176061706,0.009444489007420676,0.009408397592781004,-0.00003609141463967491
