date_id,predicted_rows,update_source_date_id,update_rows,forgetting_factor,update_before_prediction,update_is_strictly_past,fold,strategy
1399,35816,,0,0.995,true,true,rw_01,conservative_rls
1400,36784,1399,35816,0.995,true,true,rw_01,conservative_rls
1401,36784,1400,36784,0.995,true,true,rw_01,conservative_rls
1402,35816,1401,36784,0.995,true,true,rw_01,conservative_rls
1403,37752,1402,35816,0.995,true,true,rw_01,conservative_rls
1404,36784,1403,37752,0.995,true,true,rw_01,conservative_rls
1405,36784,1404,36784,0.995,true,true,rw_01,conservative_rls
1406,37752,1405,36784,0.995,true,true,rw_01,conservative_rls
1407,36784,1406,37752,0.995,true,true,rw_01,conservative_rls
1408,37752,1407,36784,0.995,true,true,rw_01,conservative_rls
1409,37752,1408,37752,0.995,true,true,rw_01,conservative_rls
1410,36784,1409,37752,0.995,true,true,rw_01,conservative_rls
1411,36784,1410,36784,0.995,true,true,rw_01,conservative_rls
1412,36784,1411,36784,0.995,true,true,rw_01,conservative_rls
1413,27104,1412,36784,0.995,true,true,rw_01,conservative_rls
1414,36784,1413,27104,0.995,true,true,rw_01,conservative_rls
1415,34848,1414,36784,0.995,true,true,rw_01,conservative_rls
1416,37752,1415,34848,0.995,true,true,rw_01,conservative_rls
1417,36784,1416,37752,0.995,true,true,rw_01,conservative_rls
1418,36784,1417,36784,0.995,true,true,rw_01,conservative_rls
1419,36784,1418,36784,0.995,true,true,rw_01,conservative_rls
1420,37752,1419,36784,0.995,true,true,rw_01,conservative_rls
1421,37752,1420,37752,0.995,true,true,rw_01,conservative_rls
1422,36784,1421,37752,0.995,true,true,rw_01,conservative_rls
1423,36784,1422,36784,0.995,true,true,rw_01,conservative_rls
1424,37752,1423,36784,0.995,true,true,rw_01,conservative_rls
1425,36784,1424,37752,0.995,true,true,rw_01,conservative_rls
1426,36784,1425,36784,0.995,true,true,rw_01,conservative_rls
1427,36784,1426,36784,0.995,true,true,rw_01,conservative_rls
1428,35816,1427,36784,0.995,true,true,rw_01,conservative_rls
1429,36784,1428,35816,0.995,true,true,rw_01,conservative_rls
1430,36784,1429,36784,0.995,true,true,rw_01,conservative_rls
1431,37752,1430,36784,0.995,true,true,rw_01,conservative_rls
1432,35816,1431,37752,0.995,true,true,rw_01,conservative_rls
1433,34848,1432,35816,0.995,true,true,rw_01,conservative_rls
1434,32912,1433,34848,0.995,true,true,rw_01,conservative_rls
1435,31944,1434,32912,0.995,true,true,rw_01,conservative_rls
1436,34848,1435,31944,0.995,true,true,rw_01,conservative_rls
1437,35816,1436,34848,0.995,true,true,rw_01,conservative_rls
1438,35816,1437,35816,0.995,true,true,rw_01,conservative_rls
1439,36784,1438,35816,0.995,true,true,rw_01,conservative_rls
1440,34848,1439,36784,0.995,true,true,rw_01,conservative_rls
1441,35816,1440,34848,0.995,true,true,rw_01,conservative_rls
1442,35816,1441,35816,0.995,true,true,rw_01,conservative_rls
1443,33880,1442,35816,0.995,true,true,rw_01,conservative_rls
1444,35816,1443,33880,0.995,true,true,rw_01,conservative_rls
1445,36784,1444,35816,0.995,true,true,rw_01,conservative_rls
1446,35816,1445,36784,0.995,true,true,rw_01,conservative_rls
1447,37752,1446,35816,0.995,true,true,rw_01,conservative_rls
1448,37752,1447,37752,0.995,true,true,rw_01,conservative_rls
1449,35816,1448,37752,0.995,true,true,rw_01,conservative_rls
1450,36784,1449,35816,0.995,true,true,rw_01,conservative_rls
1451,30008,1450,36784,0.995,true,true,rw_01,conservative_rls
1452,36784,1451,30008,0.995,true,true,rw_01,conservative_rls
1453,35816,1452,36784,0.995,true,true,rw_01,conservative_rls
1454,32912,1453,35816,0.995,true,true,rw_01,conservative_rls
1455,36784,1454,32912,0.995,true,true,rw_01,conservative_rls
1456,30976,1455,36784,0.995,true,true,rw_01,conservative_rls
1457,33880,1456,30976,0.995,true,true,rw_01,conservative_rls
1458,37752,1457,33880,0.995,true,true,rw_01,conservative_rls
1459,37752,,0,0.995,true,true,rw_02,conservative_rls
1460,37752,1459,37752,0.995,true,true,rw_02,conservative_rls
1461,36784,1460,37752,0.995,true,true,rw_02,conservative_rls
1462,37752,1461,36784,0.995,true,true,rw_02,conservative_rls
1463,35816,1462,37752,0.995,true,true,rw_02,conservative_rls
1464,33880,1463,35816,0.995,true,true,rw_02,conservative_rls
1465,37752,1464,33880,0.995,true,true,rw_02,conservative_rls
1466,35816,1465,37752,0.995,true,true,rw_02,conservative_rls
1467,37752,1466,35816,0.995,true,true,rw_02,conservative_rls
1468,37752,1467,37752,0.995,true,true,rw_02,conservative_rls
1469,37752,1468,37752,0.995,true,true,rw_02,conservative_rls
1470,37752,1469,37752,0.995,true,true,rw_02,conservative_rls
1471,35816,1470,37752,0.995,true,true,rw_02,conservative_rls
1472,37752,1471,35816,0.995,true,true,rw_02,conservative_rls
1473,34848,1472,37752,0.995,true,true,rw_02,conservative_rls
1474,36784,1473,34848,0.995,true,true,rw_02,conservative_rls
1475,37752,1474,36784,0.995,true,true,rw_02,conservative_rls
1476,37752,1475,37752,0.995,true,true,rw_02,conservative_rls
1477,37752,1476,37752,0.995,true,true,rw_02,conservative_rls
1478,19360,1477,37752,0.995,true,true,rw_02,conservative_rls
1479,36784,1478,19360,0.995,true,true,rw_02,conservative_rls
1480,37752,1479,36784,0.995,true,true,rw_02,conservative_rls
1481,37752,1480,37752,0.995,true,true,rw_02,conservative_rls
1482,31944,1481,37752,0.995,true,true,rw_02,conservative_rls
1483,37752,1482,31944,0.995,true,true,rw_02,conservative_rls
1484,37752,1483,37752,0.995,true,true,rw_02,conservative_rls
1485,32912,1484,37752,0.995,true,true,rw_02,conservative_rls
1486,34848,1485,32912,0.995,true,true,rw_02,conservative_rls
1487,32912,1486,34848,0.995,true,true,rw_02,conservative_rls
1488,32912,1487,32912,0.995,true,true,rw_02,conservative_rls
1489,36784,1488,32912,0.995,true,true,rw_02,conservative_rls
1490,30008,1489,36784,0.995,true,true,rw_02,conservative_rls
1491,33880,1490,30008,0.995,true,true,rw_02,conservative_rls
1492,34848,1491,33880,0.995,true,true,rw_02,conservative_rls
1493,37752,1492,34848,0.995,true,true,rw_02,conservative_rls
1494,36784,1493,37752,0.995,true,true,rw_02,conservative_rls
1495,35816,1494,36784,0.995,true,true,rw_02,conservative_rls
1496,37752,1495,35816,0.995,true,true,rw_02,conservative_rls
1497,37752,1496,37752,0.995,true,true,rw_02,conservative_rls
1498,37752,1497,37752,0.995,true,true,rw_02,conservative_rls
1499,37752,1498,37752,0.995,true,true,rw_02,conservative_rls
1500,35816,1499,37752,0.995,true,true,rw_02,conservative_rls
1501,37752,1500,35816,0.995,true,true,rw_02,conservative_rls
1502,35816,1501,37752,0.995,true,true,rw_02,conservative_rls
1503,36784,1502,35816,0.995,true,true,rw_02,conservative_rls
1504,37752,1503,36784,0.995,true,true,rw_02,conservative_rls
1505,37752,1504,37752,0.995,true,true,rw_02,conservative_rls
1506,37752,1505,37752,0.995,true,true,rw_02,conservative_rls
1507,37752,1506,37752,0.995,true,true,rw_02,conservative_rls
1508,37752,1507,37752,0.995,true,true,rw_02,conservative_rls
1509,37752,1508,37752,0.995,true,true,rw_02,conservative_rls
1510,36784,1509,37752,0.995,true,true,rw_02,conservative_rls
1511,37752,1510,36784,0.995,true,true,rw_02,conservative_rls
1512,37752,1511,37752,0.995,true,true,rw_02,conservative_rls
1513,36784,1512,37752,0.995,true,true,rw_02,conservative_rls
1514,37752,1513,36784,0.995,true,true,rw_02,conservative_rls
1515,37752,1514,37752,0.995,true,true,rw_02,conservative_rls
1516,37752,1515,37752,0.995,true,true,rw_02,conservative_rls
1517,37752,1516,37752,0.995,true,true,rw_02,conservative_rls
1518,37752,1517,37752,0.995,true,true,rw_02,conservative_rls
1519,37752,,0,0.995,true,true,rw_03,conservative_rls
1520,37752,1519,37752,0.995,true,true,rw_03,conservative_rls
1521,36784,1520,37752,0.995,true,true,rw_03,conservative_rls
