candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_2_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17153173.271428544,17394888.5,0.013504876066562189,0.006980891739684525,0.007875953120960892,0.013895761882662061
fixed_blend_2_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17153236.068501305,17394888.5,0.013502400056436815,0.006973115201557745,0.00788539163296139,0.013892151794976715
fixed_blend_2_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153239.311314996,17394888.5,0.013500451875450636,0.006986958212045091,0.007861690778252559,0.013891965371609194
fixed_blend_0_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17153268.459704433,17394888.5,0.013502517748047648,0.006990490076696387,0.007859647027108653,0.013890289684556856
fixed_blend_4_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17153281.664154388,17394888.5,0.013500665282445668,0.007002369772561745,0.007846035859035443,0.01388953058512632
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17153296.780285988,17394888.5,0.013500529041194875,0.006977702557849574,0.007876770860091125,0.013888661586650142
fixed_blend_4_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153309.11573372,17394888.5,0.013497678556253768,0.006996994587614269,0.007848781758475285,0.013887952444551765
fixed_blend_0_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153342.740788616,17394888.5,0.01349898996563299,0.007001991154204745,0.007838642565836123,0.01388601940227352
fixed_blend_4_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17153351.83342266,17394888.5,0.013498087661678038,0.0070074401734820935,0.00783436325891168,0.013885496683542331
fixed_blend_1_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17153396.34612273,17394888.5,0.01349505180858781,0.006977963015589506,0.007869215241634721,0.013882937730659739
fixed_blend_5_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153417.902942892,17394888.5,0.013491677025096637,0.006997200059122299,0.007840288689645302,0.013881698468898418
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17153427.702533282,17394888.5,0.013493023845074559,0.0069636285976644174,0.007890007983980504,0.013881135108553155
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153434.188160665,17394888.5,0.013489127483102336,0.006991314618639333,0.007842604105740694,0.013880762261818114
fixed_blend_1_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17153470.361119766,17394888.5,0.013491402069150848,0.006990961556770925,0.007844258148835733,0.01387868274523485
fixed_blend_5_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17153495.860732958,17394888.5,0.013488850538815277,0.0070027679376601926,0.00782939221248588,0.01387721681958709
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17153519.623538543,17394888.5,0.013489945693950877,0.00701220579037487,0.007813765449975403,0.013875850739799689
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153531.80808572,17394888.5,0.01348880019025247,0.00701220579037487,0.007807564045791513,0.013875150272695258
fixed_blend_3_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17153606.7793187,17394888.5,0.013485166914142454,0.007012411364499149,0.00780746679365453,0.013870840315032718
fixed_blend_1_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153649.747524388,17394888.5,0.013482074626763452,0.00700262422120812,0.00781513984484167,0.013868370152278486
fixed_blend_5_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17153668.06153086,17394888.5,0.013480648024258324,0.007008018254253345,0.007809915841866131,0.013867317313884575
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17153676.69955583,17394888.5,0.013479250400755904,0.006939194221186384,0.007893941432895383,0.013866820729789175
aggressive_rls_prediction,strong_base,11028424,28034941.5,17153690.124160565,17394888.5,0.013480113235731173,0.0069705589820303615,0.007879439817765902,0.013866048974066958
fixed_blend_3_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17153704.978211764,17394888.5,0.013479761285452096,0.007012604092294983,0.007800050204594139,0.013865195042108813
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17153803.110892326,17394888.5,0.01347583894946638,0.0070268690845113335,0.007793271310625202,0.013859553575619299
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17153803.29270282,17394888.5,0.013467508288631658,0.006985796114004406,0.007815835756646343,0.013859543123669882
fixed_blend_3_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153814.220217727,17394888.5,0.013473728807879915,0.007012783973762482,0.007791516150316288,0.013858914921028309
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17153934.505336598,17394888.5,0.013467069481425797,0.007012951008901425,0.007781865163984529,0.013851999951790539
strong_oof_ridge_stack,strong_stack,11028424,28034941.5,17154154.465244688,17394888.5,0.013470368531995658,0.007038545082648673,0.007951890594088736,0.013839354863085851
conservative_rls_prediction,strong_base,11028424,28034941.5,17154204.626609083,17394888.5,0.013455630541853902,0.007030935184887621,0.007778398224077008,0.013836471178928056
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,11028424,28034941.5,17154771.494233217,17394888.5,0.01340949166298846,0.006955219360156639,0.007782092245394351,0.013803883006596074
