candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
tabm_prediction,strong_base,11029,27596.908203125,16465.036376953125,16750.446533203125,0.017285466194152832,0.004220128059387207,0.019466548841110515,0.017038958076983413
conservative_rls_prediction,strong_base,11029,27596.908203125,16465.505779399988,16750.446533203125,0.017256066991893526,0.004221327429736688,0.019424602464227027,0.017010934797369148
conservative_rls_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16465.505779399988,16750.446533203125,0.017256066991893526,0.004221327429736688,0.019424602464227027,0.017010934797369148
conservative_rls_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16469.05857491785,16750.446533203125,0.017008504319291774,0.004137242002901775,0.018914028997474398,0.016798833256624013
aggressive_rls_prediction,strong_base,11029,27596.908203125,16469.165872555084,16750.446533203125,0.01702300369566707,0.004184895904833841,0.019117685043067142,0.016792427598301907
aggressive_rls_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16469.165872555084,16750.446533203125,0.01702300369566707,0.004184895904833841,0.019117685043067142,0.016792427598301907
aggressive_rls_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16472.997339559384,16750.446533203125,0.016757300281951416,0.004102512859216367,0.01855615382874477,0.016563689397400494
tabm_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16475.232124622216,16750.446533203125,0.01665140000604546,0.004360286905430111,0.017851549523296074,0.01643027295035815
conservative_rls_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16475.532047488337,16750.446533203125,0.016582869009454472,0.004035971771434221,0.018129781930713337,0.01641236758493847
conservative_rls_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16475.824636283283,16750.446533203125,0.016614782030202346,0.0043629834159446546,0.017789816050591895,0.016394900062841944
conservative_rls_prediction_s0_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16475.824636283283,16750.446533203125,0.016614782030202346,0.0043629834159446546,0.017789816050591895,0.016394900062841944
conservative_rls_prediction_s0p02_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16475.97814000076,16750.446533203125,0.01659369200152292,0.004385759031990344,0.01752820538357955,0.01638573590610304
conservative_rls_prediction_s0p05_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16477.431334118963,16750.446533203125,0.01649609628799873,0.00439639299603134,0.017191588547334057,0.016298980361089788
baseline_prediction,strong_base,11029,27596.908203125,16477.81819716646,16750.446533203125,0.016479006750089155,0.004220099015107115,0.017688208266305825,0.016275884675447605
baseline_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16477.81819716646,16750.446533203125,0.016479006750089155,0.004220099015107115,0.017688208266305825,0.016275884675447605
aggressive_rls_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16479.669959318748,16750.446533203125,0.01631848787675392,0.004003599614549991,0.017729607613523664,0.01616533465825154
aggressive_rls_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16480.332517539253,16750.446533203125,0.01633225133912979,0.0043360281053836935,0.01734907129003558,0.0161257799980703
aggressive_rls_prediction_s0_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16480.332517539253,16750.446533203125,0.01633225133912979,0.0043360281053836935,0.01734907129003558,0.0161257799980703
aggressive_rls_prediction_s0p02_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16480.63507626004,16750.446533203125,0.01630168996493304,0.004351255878288884,0.017083471800624944,0.0161077172723878
aggressive_rls_prediction_s0p05_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16482.245395892023,16750.446533203125,0.016194038158335977,0.0043532692012642205,0.016743484307485443,0.01601158134975489
baseline_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16482.883582378683,16750.446533203125,0.016136125639612687,0.004136100702425649,0.01697048020774196,0.01597348167967183
baseline_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16490.546457006578,16750.446533203125,0.015635574602864133,0.004034860467540091,0.016025778715092663,0.01551600882289117
baseline_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16490.822988062224,16750.446533203125,0.015696127389996838,0.004497715963069249,0.015508298675549804,0.015499499946241335
baseline_prediction_s0_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16490.822988062224,16750.446533203125,0.015696127389996838,0.004497715963069249,0.015508298675549804,0.015499499946241335
baseline_prediction_s0p02_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16491.425550515723,16750.446533203125,0.015647511980955663,0.004498645176593485,0.015268596088192008,0.015463527027411716
baseline_prediction_s0p05_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16493.368953617246,16750.446533203125,0.015519063769316822,0.004484318577330559,0.014959077117799523,0.015347506054617321
tabm_prediction_residual,residual_correction,11029,27596.908203125,16563.111512813724,16750.446533203125,0.011034862019324864,0.003701904062536676,0.006684718850209799,0.011183882174010118
tabm_prediction_residual_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16563.111512813724,16750.446533203125,0.011034862019324864,0.003701904062536676,0.006684718850209799,0.011183882174010118
conservative_rls_prediction_residual_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16563.918174787483,16750.446533203125,0.010984542393293073,0.003696465320071507,0.006606591373247476,0.011135724534023672
conservative_rls_prediction_residual,residual_correction,11029,27596.908203125,16563.918174787483,16750.446533203125,0.010984542393293073,0.003696465320071507,0.006606591373247476,0.011135724534023672
tabm_prediction_residual_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16564.031402465112,16750.446533203125,0.01095884563055598,0.003704381396204104,0.006524796990781203,0.011128964852876955
conservative_rls_prediction_residual_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16564.819007045473,16750.446533203125,0.01090956505373879,0.003699396589610271,0.00644732125494053,0.01108194493739001
tabm_prediction_residual_prediction_s0p02_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16566.283590629137,16750.446533203125,0.0108132050906399,0.0037542786343764956,0.006242434202199784,0.01099450944241609
tabm_prediction_residual_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16566.43965515362,16750.446533203125,0.010796291734336761,0.0037005462072343676,0.006295767068296614,0.010985192405752464
tabm_prediction_residual_prediction_s0p05_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16566.503789580394,16750.446533203125,0.01078939695222043,0.003811509472574026,0.006096052148179513,0.010981363586822335
tabm_prediction_residual_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16566.89577961362,16750.446533203125,0.010789811113922432,0.0036975323991899067,0.0063683897818076545,0.010957961820639572
tabm_prediction_residual_prediction_s0_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16566.89577961362,16750.446533203125,0.010789811113922432,0.0036975323991899067,0.0063683897818076545,0.010957961820639572
conservative_rls_prediction_residual_prediction_s0p02_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16567.079595676605,16750.446533203125,0.010763355394862529,0.0037476970640722973,0.006167270927770054,0.01094698801987437
conservative_rls_prediction_residual_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16567.197006761766,16750.446533203125,0.010748734466251042,0.003696156940231732,0.006220173482395909,0.010939978589712074
conservative_rls_prediction_residual_prediction_s0p05_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16567.283086254043,16750.446533203125,0.010740622946239942,0.0038068972581358773,0.00602180695115656,0.010934839652543604
conservative_rls_prediction_residual_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16567.697380848404,16750.446533203125,0.010739676681713318,0.003691806188532487,0.006291935394072419,0.010910106306268985
conservative_rls_prediction_residual_prediction_s0_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16567.697380848404,16750.446533203125,0.010739676681713318,0.003691806188532487,0.006291935394072419,0.010910106306268985
aggressive_rls_prediction_residual_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16570.194649772555,16750.446533203125,0.010588786484715219,0.003604257613509243,0.0060347587996623115,0.010761019598687804
aggressive_rls_prediction_residual,residual_correction,11029,27596.908203125,16570.194649772555,16750.446533203125,0.010588786484715219,0.003604257613509243,0.0060347587996623115,0.010761019598687804
aggressive_rls_prediction_residual_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16570.90291252765,16750.446533203125,0.01052503086914336,0.0036138024885185027,0.005886585154994403,0.010718736382315464
aggressive_rls_prediction_residual_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16573.005889580425,16750.446533203125,0.010380489303903806,0.0036185105029854503,0.005679406543570022,0.010593188860426705
aggressive_rls_prediction_residual_prediction_s0p02_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16573.172133357923,16750.446533203125,0.010377905493320138,0.0036500535402217427,0.005635143805263929,0.010583264123365632
aggressive_rls_prediction_residual_prediction_s0p05_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16573.27698597872,16750.446533203125,0.01036101920937671,0.0037085731835120317,0.005503268710066978,0.010577004432282822
aggressive_rls_prediction_residual_prediction_s0_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16573.857486436726,16750.446533203125,0.010350259896091462,0.0035950306681720168,0.005749583211709508,0.010542348612400332
aggressive_rls_prediction_residual_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16573.857486436726,16750.446533203125,0.010350259896091462,0.0035950306681720168,0.005749583211709508,0.010542348612400332
tree_prediction_residual_prediction_s0_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16590.372424443594,16750.446533203125,0.009542037423485538,0.0035741083378940663,0.005854734718046543,0.009556408448110787
tree_prediction_residual_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16590.372424443594,16750.446533203125,0.009542037423485538,0.0035741083378940663,0.005854734718046543,0.009556408448110787
tree_prediction_residual_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16590.646228883597,16750.446533203125,0.009529256375683692,0.00351549621187619,0.005865298935605079,0.009540062350144929
tree_prediction_residual,residual_correction,11029,27596.908203125,16590.646228883597,16750.446533203125,0.009529256375683692,0.00351549621187619,0.005865298935605079,0.009540062350144929
tree_prediction_residual_prediction_s0p02_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16590.901714876978,16750.446533203125,0.00951372623700919,0.003615470467810522,0.005820745182656424,0.009524809861629291
tree_prediction_residual_prediction_s0p05_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16592.024577750144,16750.446533203125,0.00944911751449935,0.003659356040255024,0.0057591481886270285,0.009457775059247164
tree_prediction_residual_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16592.221202466433,16750.446533203125,0.009433939398372827,0.003525299393654646,0.005818797259466182,0.009446036583147466
tree_prediction_residual_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16594.9461679873,16750.446533203125,0.009269278002605663,0.0035303397188966024,0.005706427283027431,0.009283356411280752
baseline_prediction_residual_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16600.137618973684,16750.446533203125,0.008657736203597156,0.0032858817480012625,0.0033994174632172914,0.008973427301265935
baseline_prediction_residual_prediction_s0p05_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16600.782649420376,16750.446533203125,0.00861111256112268,0.003294695023715377,0.003374855905558963,0.008934919047446366
baseline_prediction_residual_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16601.382139389614,16750.446533203125,0.008594426777900743,0.0032362584877585476,0.0034051460443093595,0.008899129555622998
baseline_prediction_residual_prediction_s0p02_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16602.19594311092,16750.446533203125,0.008531621715778526,0.0032175053244170027,0.0033763363598676944,0.008850545554014877
baseline_prediction_residual_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16603.701547448156,16750.446533203125,0.008470137760304896,0.0031869103057637904,0.0034083926135729556,0.008760661124113223
baseline_prediction_residual,residual_correction,11029,27596.908203125,16603.701547448156,16750.446533203125,0.008470137760304896,0.0031869103057637904,0.0034083926135729556,0.008760661124113223
baseline_prediction_residual_prediction_s0_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16604.188167089782,16750.446533203125,0.00842077483643624,0.0031408279114730764,0.0033795504401322486,0.008731609979675814
baseline_prediction_residual_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16604.188167089782,16750.446533203125,0.00842077483643624,0.0031408279114730764,0.0033795504401322486,0.008731609979675814
strong_oof_ridge_stack_prediction_s0p05_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16617.870985532292,16750.446533203125,0.007586099760301024,0.003842079492106909,0.0024826680194202943,0.00791474707304296
strong_oof_ridge_stack_prediction_s0p02_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16618.819295581627,16750.446533203125,0.007536001009021942,0.003801581693988587,0.0025071265666966446,0.007858133056965588
xgboost_prediction_residual_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16619.548383932237,16750.446533203125,0.007682115588059246,0.0012907101843907531,0.005062747978238173,0.007814606554602532
xgboost_prediction_residual,residual_correction,11029,27596.908203125,16619.791573218186,16750.446533203125,0.007657299434700083,0.0011277872013863988,0.005062110071397222,0.007800088178303244
xgboost_prediction_residual_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16619.791573218186,16750.446533203125,0.007657299434700083,0.0011277872013863988,0.005062110071397222,0.007800088178303244
tree_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16620.019100757414,16750.446533203125,0.00801489827484716,0.0041092744874131615,0.007108960365833024,0.007786504806733041
xgboost_prediction_residual_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16620.19335594058,16750.446533203125,0.007654960926899768,0.0014755166066173775,0.005017714736457296,0.0077761017895465745
xgboost_prediction_residual_prediction_s0p02_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16620.240687235033,16750.446533203125,0.007630237013800323,0.001294497846189846,0.0050788977445651,0.0077732761159527985
xgboost_prediction_residual_prediction_s0_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16620.313447688393,16750.446533203125,0.007617362071581613,0.0012294947711866122,0.005082749806808878,0.007768932324089373
xgboost_prediction_residual_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16620.313447688393,16750.446533203125,0.007617362071581613,0.0012294947711866122,0.005082749806808878,0.007768932324089373
strong_oof_ridge_stack_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16620.34596772032,16750.446533203125,0.007455870037444856,0.003759786481814742,0.0025274943896441576,0.007766990881402203
strong_oof_ridge_stack_prediction_s0_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16620.34596772032,16750.446533203125,0.007455870037444856,0.003759786481814742,0.0025274943896441576,0.007766990881402203
xgboost_prediction_residual_prediction_s0p05_risk_shrink_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16620.60106261467,16750.446533203125,0.007618370998318946,0.0013760397397938329,0.0050566435995820155,0.007751761741459973
strong_oof_ridge_stack_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16622.57640940984,16750.446533203125,0.007343398457231842,0.0029946682472277164,0.003234169660415414,0.0076338337333167194
strong_oof_ridge_stack,strong_stack,11029,27596.908203125,16622.57640940984,16750.446533203125,0.007343398457231842,0.0029946682472277164,0.003234169660415414,0.0076338337333167194
tree_prediction,strong_base,11029,27596.908203125,16623.568262950303,16750.446533203125,0.0077870482795571625,0.003876013075511886,0.00718541407493248,0.00757462017512911
strong_oof_ridge_stack_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16625.431286518262,16750.446533203125,0.0071540805788965715,0.002924629682423019,0.003010336838195537,0.007463397852532139
lightgbm_prediction,strong_base,11029,27596.908203125,16627.795421499002,16750.446533203125,0.007391170093184507,0.002069937849327852,0.006377152623158836,0.0073222592281944054
lightgbm_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16629.16803182978,16750.446533203125,0.0072970332575176934,0.001799998862860086,0.0061124696189685124,0.007240314527313885
strong_oof_ridge_stack_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16629.409579171916,16750.446533203125,0.006901788219464633,0.0028395884759430112,0.0027797190632641113,0.007225894174897829
lightgbm_prediction_residual_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16635.878600095348,16750.446533203125,0.006553252630010564,0.002097604901815875,0.00429603965961529,0.00683969426610076
xgboost_prediction,strong_base,11029,27596.908203125,16636.873399736633,16750.446533203125,0.006906953124726778,0.0012757394042338666,0.007929809816825239,0.0067803048259856835
lightgbm_prediction_residual_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16637.967318438008,16750.446533203125,0.006409667585193945,0.001977478277556566,0.0046306152135822815,0.006714997987794402
xgboost_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16640.5925112207,16750.446533203125,0.006655832011842389,0.0006275907277295545,0.007639062170538767,0.006558274238520734
lightgbm_prediction_residual_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16640.72728466392,16750.446533203125,0.006229169245925625,0.0015842528984429949,0.004980100958002658,0.006550228277300896
lightgbm_prediction_residual,residual_correction,11029,27596.908203125,16640.72728466392,16750.446533203125,0.006229169245925625,0.0015842528984429949,0.004980100958002658,0.006550228277300896
