fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,tabm_prediction,strong_base,2159,5869.79345703125,4234.908203125,4267.365234375,0.007605850696563721
rw_02,tabm_prediction,strong_base,2183,6155.0966796875,3006.085693359375,3169.873046875,0.05167001485824585
rw_03,tabm_prediction,strong_base,2230,4922.9853515625,2567.974853515625,2595.60205078125,0.010643839836120605
rw_04,tabm_prediction,strong_base,2221,6020.783203125,4063.48974609375,4114.041015625,0.012287497520446777
rw_05,tabm_prediction,strong_base,2236,4628.24951171875,2592.577880859375,2603.565185546875,0.004220128059387207
rw_01,tree_prediction,strong_base,2159,5869.79345703125,4247.903758564929,4267.365234375,0.0045605367108730865
rw_02,tree_prediction,strong_base,2183,6155.0966796875,3104.642975532296,3169.873046875,0.020578133691193323
rw_03,tree_prediction,strong_base,2230,4922.9853515625,2580.699069186964,2595.60205078125,0.0057416280703739275
rw_04,tree_prediction,strong_base,2221,6020.783203125,4096.848726821365,4114.041015625,0.00417892984983359
rw_05,tree_prediction,strong_base,2236,4628.24951171875,2593.4737328447477,2603.565185546875,0.003876013075511886
rw_01,xgboost_prediction,strong_base,2159,5869.79345703125,4251.350835634809,4267.365234375,0.0037527602772758906
rw_02,xgboost_prediction,strong_base,2183,6155.0966796875,3103.639787257848,3169.873046875,0.020894609543573806
rw_03,xgboost_prediction,strong_base,2230,4922.9853515625,2582.910348733865,2595.60205078125,0.0048896948758246905
rw_04,xgboost_prediction,strong_base,2221,6020.783203125,4098.7287132619285,4114.041015625,0.0037219615227256364
rw_05,xgboost_prediction,strong_base,2236,4628.24951171875,2600.2437148481813,2603.565185546875,0.0012757394042338666
rw_01,lightgbm_prediction,strong_base,2159,5869.79345703125,4246.000520431758,4267.365234375,0.0050065351264388935
rw_02,lightgbm_prediction,strong_base,2183,6155.0966796875,3111.388843932249,3169.873046875,0.01845001426805004
rw_03,lightgbm_prediction,strong_base,2230,4922.9853515625,2579.1784303758213,2595.60205078125,0.00632748013143436
rw_04,lightgbm_prediction,strong_base,2221,6020.783203125,4093.0516593330544,4114.041015625,0.0051018830906713886
rw_05,lightgbm_prediction,strong_base,2236,4628.24951171875,2598.1759674261193,2603.565185546875,0.002069937849327852
rw_01,ridge_calibrated_prediction,strong_base,2159,5869.79345703125,4254.2837783987125,4267.365234375,0.0030654643457541653
rw_02,ridge_calibrated_prediction,strong_base,2183,6155.0966796875,3385.7998485554813,3169.873046875,-0.06811843833725506
rw_03,ridge_calibrated_prediction,strong_base,2230,4922.9853515625,2563.822531644784,2595.60205078125,0.012243602260562536
rw_04,ridge_calibrated_prediction,strong_base,2221,6020.783203125,4106.468776016519,4114.041015625,0.0018405843742738126
rw_05,ridge_calibrated_prediction,strong_base,2236,4628.24951171875,2588.197815988343,2603.565185546875,0.005902433188091694
