candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
tabm_prediction,strong_base,11029,27596.908203125,16465.036376953125,16750.446533203125,0.017285466194152832,0.004220128059387207,0.019466548841110515,0.017038958076983413
conservative_rls_prediction,strong_base,11029,27596.908203125,16465.505779399988,16750.446533203125,0.017256066991893526,0.004221327429736688,0.019424602464227027,0.017010934797369148
conservative_rls_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16465.505779399988,16750.446533203125,0.017256066991893526,0.004221327429736688,0.019424602464227027,0.017010934797369148
conservative_rls_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16469.05857491785,16750.446533203125,0.017008504319291774,0.004137242002901775,0.018914028997474398,0.016798833256624013
aggressive_rls_prediction,strong_base,11029,27596.908203125,16469.165872555084,16750.446533203125,0.01702300369566707,0.004184895904833841,0.019117685043067142,0.016792427598301907
aggressive_rls_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16469.165872555084,16750.446533203125,0.01702300369566707,0.004184895904833841,0.019117685043067142,0.016792427598301907
aggressive_rls_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16472.997339559384,16750.446533203125,0.016757300281951416,0.004102512859216367,0.01855615382874477,0.016563689397400494
conservative_rls_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16475.532047488337,16750.446533203125,0.016582869009454472,0.004035971771434221,0.018129781930713337,0.01641236758493847
conservative_rls_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16475.824636283283,16750.446533203125,0.016614782030202346,0.0043629834159446546,0.017789816050591895,0.016394900062841944
baseline_prediction,strong_base,11029,27596.908203125,16477.81819716646,16750.446533203125,0.016479006750089155,0.004220099015107115,0.017688208266305825,0.016275884675447605
baseline_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16477.81819716646,16750.446533203125,0.016479006750089155,0.004220099015107115,0.017688208266305825,0.016275884675447605
aggressive_rls_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16479.669959318748,16750.446533203125,0.01631848787675392,0.004003599614549991,0.017729607613523664,0.01616533465825154
aggressive_rls_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16480.332517539253,16750.446533203125,0.01633225133912979,0.0043360281053836935,0.01734907129003558,0.0161257799980703
baseline_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16482.883582378683,16750.446533203125,0.016136125639612687,0.004136100702425649,0.01697048020774196,0.01597348167967183
baseline_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16490.546457006578,16750.446533203125,0.015635574602864133,0.004034860467540091,0.016025778715092663,0.01551600882289117
baseline_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16490.822988062224,16750.446533203125,0.015696127389996838,0.004497715963069249,0.015508298675549804,0.015499499946241335
tabm_prediction_residual,residual_correction,11029,27596.908203125,16563.111512813724,16750.446533203125,0.011034862019324864,0.003701904062536676,0.006684718850209799,0.011183882174010118
conservative_rls_prediction_residual,residual_correction,11029,27596.908203125,16563.918174787483,16750.446533203125,0.010984542393293073,0.003696465320071507,0.006606591373247476,0.011135724534023672
aggressive_rls_prediction_residual,residual_correction,11029,27596.908203125,16570.194649772555,16750.446533203125,0.010588786484715219,0.003604257613509243,0.0060347587996623115,0.010761019598687804
tree_prediction_residual,residual_correction,11029,27596.908203125,16590.646228883597,16750.446533203125,0.009529256375683692,0.00351549621187619,0.005865298935605079,0.009540062350144929
baseline_prediction_residual,residual_correction,11029,27596.908203125,16603.701547448156,16750.446533203125,0.008470137760304896,0.0031869103057637904,0.0034083926135729556,0.008760661124113223
xgboost_prediction_residual,residual_correction,11029,27596.908203125,16619.791573218186,16750.446533203125,0.007657299434700083,0.0011277872013863988,0.005062110071397222,0.007800088178303244
strong_oof_ridge_stack_prediction_tb100_min100_p1000_regime_scaled,regime_scaled,11029,27596.908203125,16620.34596772032,16750.446533203125,0.007455870037444856,0.003759786481814742,0.0025274943896441576,0.007766990881402203
strong_oof_ridge_stack,strong_stack,11029,27596.908203125,16622.57640940984,16750.446533203125,0.007343398457231842,0.0029946682472277164,0.003234169660415414,0.0076338337333167194
strong_oof_ridge_stack_prediction_s0_risk_shrink,risk_shrinkage,11029,27596.908203125,16622.57640940984,16750.446533203125,0.007343398457231842,0.0029946682472277164,0.003234169660415414,0.0076338337333167194
tree_prediction,strong_base,11029,27596.908203125,16623.568262950303,16750.446533203125,0.0077870482795571625,0.003876013075511886,0.00718541407493248,0.00757462017512911
strong_oof_ridge_stack_prediction_s0p02_risk_shrink,risk_shrinkage,11029,27596.908203125,16625.431286518262,16750.446533203125,0.0071540805788965715,0.002924629682423019,0.003010336838195537,0.007463397852532139
lightgbm_prediction,strong_base,11029,27596.908203125,16627.795421499002,16750.446533203125,0.007391170093184507,0.002069937849327852,0.006377152623158836,0.0073222592281944054
strong_oof_ridge_stack_prediction_s0p05_risk_shrink,risk_shrinkage,11029,27596.908203125,16629.409579171916,16750.446533203125,0.006901788219464633,0.0028395884759430112,0.0027797190632641113,0.007225894174897829
xgboost_prediction,strong_base,11029,27596.908203125,16636.873399736633,16750.446533203125,0.006906953124726778,0.0012757394042338666,0.007929809816825239,0.0067803048259856835
lightgbm_prediction_residual,residual_correction,11029,27596.908203125,16640.72728466392,16750.446533203125,0.006229169245925625,0.0015842528984429949,0.004980100958002658,0.006550228277300896
strong_oof_ridge_stack_prediction_residual,residual_correction,11029,27596.908203125,16812.822815067022,16750.446533203125,-0.004785437987403629,-0.04956660584993644,0.0252676552592999,-0.0037238578529983357
ridge_calibrated_prediction_residual,residual_correction,11029,27596.908203125,16835.44999642692,16750.446533203125,-0.005464780326435092,-0.05209021001618708,0.026305692292236466,-0.00507469834044727
ridge_calibrated_prediction,strong_base,11029,27596.908203125,16898.57275060384,16750.446533203125,-0.00901327083371457,-0.06811843833725506,0.033284589986379655,-0.00884312051664371
