candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
strong_oof_ridge_stack,strong_stack,2205685,5604042.625,3444033.4220411475,3493508.53125,0.013830657643528421,0.008015482148880149,0.008040330935584528,0.014162011847485001
fixed_blend_0_w0p75_fixed_blend,fixed_blend,2205685,5604042.625,3444088.4652571427,3493508.53125,0.013795584742239542,0.00791532987082999,0.007907462652922359,0.01414625599187369
conservative_rls_prediction,strong_base,2205685,5604042.625,3444798.3222928247,3493508.53125,0.013564853303163238,0.007647935511042481,0.007669472307109618,0.013943062832523445
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2205685,5604042.625,3445061.3466211795,3493508.53125,0.013459653872250765,0.007134960603569884,0.007994130387576492,0.013867773384679816
aggressive_rls_prediction,strong_base,2205685,5604042.625,3445190.062277797,3493508.53125,0.013431990801271488,0.007162734316722763,0.007992307627667271,0.013830929147585103
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2205685,5604042.625,3445573.6038938956,3493508.53125,0.013312417596911175,0.007023969259059126,0.00786565697010048,0.01372114220627163
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2205685,5604042.625,3446089.3615903445,3493508.53125,0.013200695468493406,0.007434029904305861,0.007433445819489427,0.013573509048420362
baseline_prediction,strong_base,2205685,5604042.625,3448290.311239695,3493508.53125,0.012493286365983725,0.006316917738822925,0.007268232342656129,0.012943497806237048
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2205685,5604042.625,3448590.8755715685,3493508.53125,0.012493660674505169,0.006997585738767742,0.006851251115572413,0.012857462713096512
tabm_prediction,strong_base,2205685,5604042.625,3449238.0,3493508.53125,0.012227678298950195,0.006340205669403076,0.0068826228871192935,0.012672226460589076
tabm_s23_aux8_tabm_prediction,strong_base,2205685,5604042.625,3451057.78125,3493508.53125,0.011726725101470947,0.006934046745300293,0.005345580105951782,0.012151322837849476
tabm_s17_tabm_prediction,strong_base,2205685,5604042.625,3454438.09375,3493508.53125,0.01100001335144043,0.007670044898986816,0.003832657542304944,0.011183724656891103
tree_prediction,strong_base,2205685,5604042.625,3462377.9576903647,3493508.53125,0.00874370848662125,0.004596035315738045,0.006417178866070586,0.008910976824921812
xgboost_prediction,strong_base,2205685,5604042.625,3463008.137850328,3493508.53125,0.00848609351716596,0.0034334603095012017,0.006622847225961385,0.008730590787697001
lightgbm_prediction,strong_base,2205685,5604042.625,3463140.3046636526,3493508.53125,0.008456948416635112,0.0036753825320223754,0.006265321260886118,0.00869275867360808
ridge_calibrated_prediction,strong_base,2205685,5604042.625,3476750.067582002,3493508.53125,0.004810625716180539,0.002907812930549536,0.002064932480893869,0.004797029552981225
