date_id,predicted_rows,update_source_date_id,update_rows,forgetting_factor,update_before_prediction,update_is_strictly_past,fold,strategy,posterior_leverage_mean,posterior_leverage_max,risk_disagreement_mean,risk_abs_pred_mean,risk_weight_mean
1399,7164,,0,0.995,true,true,rw_01,conservative_rls,,,,,
1400,7356,1399,7164,0.995,true,true,rw_01,conservative_rls,,,,,
1401,7357,1400,7356,0.995,true,true,rw_01,conservative_rls,,,,,
1402,7163,1401,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1403,7551,1402,7163,0.995,true,true,rw_01,conservative_rls,,,,,
1404,7357,1403,7551,0.995,true,true,rw_01,conservative_rls,,,,,
1405,7356,1404,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1406,7551,1405,7356,0.995,true,true,rw_01,conservative_rls,,,,,
1407,7357,1406,7551,0.995,true,true,rw_01,conservative_rls,,,,,
1408,7550,1407,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1409,7550,1408,7550,0.995,true,true,rw_01,conservative_rls,,,,,
1410,7357,1409,7550,0.995,true,true,rw_01,conservative_rls,,,,,
1411,7357,1410,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1412,7357,1411,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1413,5421,1412,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1414,7356,1413,5421,0.995,true,true,rw_01,conservative_rls,,,,,
1415,6970,1414,7356,0.995,true,true,rw_01,conservative_rls,,,,,
1416,7550,1415,6970,0.995,true,true,rw_01,conservative_rls,,,,,
1417,7357,1416,7550,0.995,true,true,rw_01,conservative_rls,,,,,
1418,7357,1417,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1419,7357,1418,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1420,7550,1419,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1421,7551,1420,7550,0.995,true,true,rw_01,conservative_rls,,,,,
1422,7356,1421,7551,0.995,true,true,rw_01,conservative_rls,,,,,
1423,7357,1422,7356,0.995,true,true,rw_01,conservative_rls,,,,,
1424,7551,1423,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1425,7356,1424,7551,0.995,true,true,rw_01,conservative_rls,,,,,
1426,7357,1425,7356,0.995,true,true,rw_01,conservative_rls,,,,,
1427,7357,1426,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1428,7163,1427,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1429,7357,1428,7163,0.995,true,true,rw_01,conservative_rls,,,,,
1430,7357,1429,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1431,7550,1430,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1432,7163,1431,7550,0.995,true,true,rw_01,conservative_rls,,,,,
1433,6970,1432,7163,0.995,true,true,rw_01,conservative_rls,,,,,
1434,6582,1433,6970,0.995,true,true,rw_01,conservative_rls,,,,,
1435,6389,1434,6582,0.995,true,true,rw_01,conservative_rls,,,,,
1436,6970,1435,6389,0.995,true,true,rw_01,conservative_rls,,,,,
1437,7163,1436,6970,0.995,true,true,rw_01,conservative_rls,,,,,
1438,7163,1437,7163,0.995,true,true,rw_01,conservative_rls,,,,,
1439,7357,1438,7163,0.995,true,true,rw_01,conservative_rls,,,,,
1440,6970,1439,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1441,7163,1440,6970,0.995,true,true,rw_01,conservative_rls,,,,,
1442,7163,1441,7163,0.995,true,true,rw_01,conservative_rls,,,,,
1443,6776,1442,7163,0.995,true,true,rw_01,conservative_rls,,,,,
1444,7163,1443,6776,0.995,true,true,rw_01,conservative_rls,,,,,
1445,7357,1444,7163,0.995,true,true,rw_01,conservative_rls,,,,,
1446,7163,1445,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1447,7551,1446,7163,0.995,true,true,rw_01,conservative_rls,,,,,
1448,7550,1447,7551,0.995,true,true,rw_01,conservative_rls,,,,,
1449,7163,1448,7550,0.995,true,true,rw_01,conservative_rls,,,,,
1450,7357,1449,7163,0.995,true,true,rw_01,conservative_rls,,,,,
1451,6002,1450,7357,0.995,true,true,rw_01,conservative_rls,,,,,
1452,7356,1451,6002,0.995,true,true,rw_01,conservative_rls,,,,,
1453,7164,1452,7356,0.995,true,true,rw_01,conservative_rls,,,,,
