candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
strong_oof_ridge_stack,strong_stack,2205685,5604042.625,3444092.7726943465,3493508.53125,0.013810538703740206,0.007972589696907062,0.008050582844984328,0.014145023008709345
fixed_blend_0_w0p75_fixed_blend,fixed_blend,2205685,5604042.625,3444160.2061186717,3493508.53125,0.01377146179080362,0.007867101376142771,0.007917243718818783,0.014125720515607565
conservative_rls_prediction,strong_base,2205685,5604042.625,3444906.015139014,3493508.53125,0.013530688853396033,0.0075920222122451975,0.0076783762760787005,0.013912236273714074
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2205685,5604042.625,3445061.3466211795,3493508.53125,0.013459653872250765,0.007134960603569884,0.007994130387576492,0.013867773384679816
aggressive_rls_prediction,strong_base,2205685,5604042.625,3445190.062277797,3493508.53125,0.013431990801271488,0.007162734316722763,0.007992307627667271,0.013830929147585103
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2205685,5604042.625,3445573.6038938956,3493508.53125,0.013312417596911175,0.007023969259059126,0.00786565697010048,0.01372114220627163
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2205685,5604042.625,3446183.903617701,3493508.53125,0.013170421188647974,0.007381240650590981,0.007445393362495282,0.013546446848196503
baseline_prediction,strong_base,2205685,5604042.625,3448290.311239695,3493508.53125,0.012493286365983725,0.006316917738822925,0.007268232342656129,0.012943497806237048
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2205685,5604042.625,3448662.208091014,3493508.53125,0.012469663856924208,0.006947755137602929,0.006867665880573983,0.012837044122786079
tabm_prediction,strong_base,2205685,5604042.625,3449238.0,3493508.53125,0.012227678298950195,0.006340205669403076,0.0068826228871192935,0.012672226460589076
tabm_s23_aux8_tabm_prediction,strong_base,2205685,5604042.625,3451057.78125,3493508.53125,0.011726725101470947,0.006934046745300293,0.005345580105951782,0.012151322837849476
tabm_s17_tabm_prediction,strong_base,2205685,5604042.625,3454438.09375,3493508.53125,0.01100001335144043,0.007670044898986816,0.003832657542304944,0.011183724656891103
tree_prediction,strong_base,2205685,5604042.625,3462377.9576903647,3493508.53125,0.00874370848662125,0.004596035315738045,0.006417178866070586,0.008910976824921812
xgboost_prediction,strong_base,2205685,5604042.625,3463008.137850328,3493508.53125,0.00848609351716596,0.0034334603095012017,0.006622847225961385,0.008730590787697001
lightgbm_prediction,strong_base,2205685,5604042.625,3463140.3046636526,3493508.53125,0.008456948416635112,0.0036753825320223754,0.006265321260886118,0.00869275867360808
ridge_calibrated_prediction,strong_base,2205685,5604042.625,3476750.067582002,3493508.53125,0.004810625716180539,0.002907812930549536,0.002064932480893869,0.004797029552981225
