candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
strong_oof_ridge_stack_prediction_s0_risk_shrink,risk_shrinkage,1102843,2754542.84375,1724989.671548822,1749872.125,0.013907839290060698,0.0079459494402494,0.008696816532216734,0.014219583874552022
strong_oof_ridge_stack,strong_stack,1102843,2754542.84375,1724989.671548822,1749872.125,0.013907839290060698,0.0079459494402494,0.008696816532216734,0.014219583874552022
strong_oof_ridge_stack_prediction_s0p02_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725091.6538371549,1749872.125,0.01383934758963934,0.00787204171125877,0.008516588348548591,0.01416130402262683
fixed_blend_0_w0p75_fixed_blend,fixed_blend,1102843,2754542.84375,1725095.2792052326,1749872.125,0.013832442794138467,0.007841725061997318,0.00847986651039108,0.014159232232336616
strong_oof_ridge_stack_prediction_tb100_min20000_p10000_regime_scaled,regime_scaled,1102843,2754542.84375,1725256.692069676,1749872.125,0.013766082533545165,0.007931247050108503,0.00863753670582912,0.01406698956949437
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,1102843,2754542.84375,1725346.6573057347,1749872.125,0.013628518753186247,0.007192004735165791,0.008673076584303102,0.014015577106393007
strong_oof_ridge_stack_prediction_s0p05_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725417.0172670113,1749872.125,0.013647614567827615,0.007741715080798461,0.008225670874930303,0.013975368476132899
aggressive_rls_prediction,strong_base,1102843,2754542.84375,1725424.1169190228,1749872.125,0.013593086944831478,0.00725262994154241,0.008640647598952248,0.01397131123565798
aggressive_rls_prediction_s0_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725424.1169190228,1749872.125,0.013593086944831478,0.00725262994154241,0.008640647598952248,0.01397131123565798
aggressive_rls_prediction_s0p02_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725482.4229024933,1749872.125,0.01354673022786026,0.007148167755405832,0.008571215971329251,0.013937991096067526
aggressive_rls_prediction_tb100_min20000_p10000_regime_scaled,regime_scaled,1102843,2754542.84375,1725507.4132412085,1749872.125,0.013554681098286525,0.00724416647310866,0.008662053248660559,0.013923709858965516
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual,residual_correction,1102843,2754542.84375,1725557.6442547005,1749872.125,0.013495270496972855,0.007131554116296068,0.008655389603488554,0.013895004325130023
aggressive_rls_prediction_residual,residual_correction,1102843,2754542.84375,1725572.9408956966,1749872.125,0.013489586454862002,0.007091841798043896,0.008625251736813007,0.013886262748658451
strong_oof_ridge_stack_prediction_residual,residual_correction,1102843,2754542.84375,1725655.5238856229,1749872.125,0.013519764745124351,0.007850753148061385,0.008119059478020383,0.0138390690201875
conservative_rls_prediction,strong_base,1102843,2754542.84375,1725752.1133790235,1749872.125,0.013435954450504495,0.007597731819181663,0.007916101622562493,0.013783870990559666
conservative_rls_prediction_s0_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725752.1133790235,1749872.125,0.013435954450504495,0.007597731819181663,0.007916101622562493,0.013783870990559666
aggressive_rls_prediction_s0p05_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725777.5764786936,1749872.125,0.01337013852951272,0.006989730222113688,0.008384136059304246,0.013769319584599038
conservative_rls_prediction_s0p02_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725826.4908982227,1749872.125,0.013382429075542435,0.007494519318316573,0.007869939104575502,0.01374136644514945
conservative_rls_prediction_tb100_min20000_p10000_regime_scaled,regime_scaled,1102843,2754542.84375,1725852.1306448984,1749872.125,0.013381769349196725,0.007547886671444348,0.007879720847753324,0.013726714090666281
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,1102843,2754542.84375,1725909.6345172226,1749872.125,0.013311034632438257,0.00696231870384989,0.008397489320882058,0.01369385233379683
gateway_risk_aggressive_rls_abs_pred_s100_prediction_residual,residual_correction,1102843,2754542.84375,1725973.7869459435,1749872.125,0.013268415569575209,0.00708333381713111,0.008600437065057826,0.013657191124212265
strong_oof_ridge_stack_prediction_s0p1_risk_shrink,risk_shrinkage,1102843,2754542.84375,1726083.3653517878,1749872.125,0.013267846971476937,0.007526473808775691,0.007770106237267971,0.013594570316509458
conservative_rls_prediction_residual,residual_correction,1102843,2754542.84375,1726100.9216740532,1749872.125,0.01320669616620893,0.007378965215723676,0.007780391788701649,0.01358453739923815
conservative_rls_prediction_s0p05_risk_shrink,risk_shrinkage,1102843,2754542.84375,1726119.6511586045,1749872.125,0.013207662241543128,0.0073323853330982125,0.007717348645911947,0.013573834054528722
aggressive_rls_prediction_s0p1_risk_shrink,risk_shrinkage,1102843,2754542.84375,1726433.4852699642,1749872.125,0.012995293917608054,0.0067496535954165715,0.00802288939098682,0.013394487171475955
baseline_prediction_tb100_min20000_p10000_regime_scaled,regime_scaled,1102843,2754542.84375,1726474.5441554321,1749872.125,0.012983404703997193,0.006995888751357815,0.007890349290648241,0.01337102323666528
gateway_risk_conservative_rls_abs_pred_s25_prediction_residual,residual_correction,1102843,2754542.84375,1726527.72857064,1749872.125,0.012972648776631823,0.0072578859117362615,0.00807436972946003,0.013340629921377745
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,1102843,2754542.84375,1726664.0270401638,1749872.125,0.01292128963308281,0.00721127443932168,0.00760398881768986,0.013262739390077605
conservative_rls_prediction_s0p1_risk_shrink,risk_shrinkage,1102843,2754542.84375,1726746.5225115204,1749872.125,0.012848171406324526,0.007081847037618605,0.007407007079475217,0.013215595675872382
baseline_prediction,strong_base,1102843,2754542.84375,1726812.3138058388,1749872.125,0.012741484411549408,0.006497854955427762,0.007915120591351304,0.013177997903224603
baseline_prediction_s0_risk_shrink,risk_shrinkage,1102843,2754542.84375,1726812.3138058388,1749872.125,0.012741484411549408,0.006497854955427762,0.007915120591351304,0.013177997903224603
tabm_prediction_residual,residual_correction,1102843,2754542.84375,1726929.836186138,1749872.125,0.01266931185969018,0.006493137387888814,0.007995780469904802,0.013110837349821769
baseline_prediction_s0p02_risk_shrink,risk_shrinkage,1102843,2754542.84375,1727131.70782536,1749872.125,0.012553437165724657,0.006341833167773259,0.007769136537411384,0.01299547369762244
baseline_prediction_residual,residual_correction,1102843,2754542.84375,1727137.3395251278,1749872.125,0.01255332903846309,0.006445885628314385,0.00795641111470949,0.012992255348299953
tabm_prediction,strong_base,1102843,2754542.84375,1727356.421875,1749872.125,0.012454843521118164,0.0065721869468688965,0.007528406456595564,0.01286705628561291
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,1102843,2754542.84375,1727547.885840797,1749872.125,0.012407542967936492,0.0069214522498589615,0.007964260584673089,0.012757640309975726
baseline_prediction_s0p05_risk_shrink,risk_shrinkage,1102843,2754542.84375,1727673.243421224,1749872.125,0.012243643284792305,0.0061353784788583665,0.007521477294927119,0.012686002172173638
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,1102843,2754542.84375,1728206.90306126,1749872.125,0.01205298768010039,0.006614253382628332,0.006914569076525071,0.012381031521797592
tree_prediction_residual,residual_correction,1102843,2754542.84375,1728409.256428653,1749872.125,0.011948847628154291,0.006454310351913017,0.008125216709061734,0.012265392576241596
baseline_prediction_s0p1_risk_shrink,risk_shrinkage,1102843,2754542.84375,1728554.0255741498,1749872.125,0.011747952275472961,0.00585186415634098,0.007123248298847784,0.012182661304951159
xgboost_prediction_residual,residual_correction,1102843,2754542.84375,1728725.4070046914,1749872.125,0.01173606796243618,0.00567165288088578,0.008277590679248801,0.012084721902355322
lightgbm_prediction_residual,residual_correction,1102843,2754542.84375,1728780.3579438608,1749872.125,0.011712821487915859,0.006000979275206819,0.008030699469759017,0.01205331907103735
tabm_s23_aux8_tabm_prediction,strong_base,1102843,2754542.84375,1729391.15625,1749872.125,0.011325716972351074,0.007212042808532715,0.004446186085969084,0.011704265961719917
tabm_s23_aux8_tabm_prediction_residual,residual_correction,1102843,2754542.84375,1729413.0859910857,1749872.125,0.011296669116099523,0.006867537896504294,0.005641940189300066,0.01169173376535404
tabm_s17_tabm_prediction,strong_base,1102843,2754542.84375,1730814.125,1749872.125,0.010743987560272217,0.007795929908752441,0.0035789527048908573,0.010891081541172576
tabm_s17_tabm_prediction_residual,residual_correction,1102843,2754542.84375,1731130.4595843924,1749872.125,0.010565210904394684,0.007841314692863421,0.0034029223699895846,0.010710305711971735
tree_prediction,strong_base,1102843,2754542.84375,1734307.216309513,1749872.125,0.008708765331489964,0.004427427320228827,0.006526732596984727,0.008894883499265482
xgboost_prediction,strong_base,1102843,2754542.84375,1734730.556892673,1749872.125,0.008395074035624738,0.0032886718908836654,0.006742083409643198,0.008652956916681553
lightgbm_prediction,strong_base,1102843,2754542.84375,1734774.489223041,1749872.125,0.008378369334635627,0.003473599015617279,0.006437463592793354,0.008627850893366817
ridge_calibrated_prediction_residual,residual_correction,1102843,2754542.84375,1737020.6685448969,1749872.125,0.007125947159488355,0.0029253052215300057,0.005241656388466398,0.007344226056005709
ridge_calibrated_prediction,strong_base,1102843,2754542.84375,1742744.7823112227,1749872.125,0.004118324576186061,0.0028175423820219203,0.0007771709048239755,0.004073064875398935
