candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17144705.516854238,17394888.5,0.014068520212086887,0.008044916993183326,0.007759499483292523,0.014382557447595201
strong_oof_ridge_stack,strong_stack,11028424,28034941.5,17145659.25828477,17394888.5,0.014034833081183095,0.008119859961017717,0.007726172707402422,0.014327728614945134
conservative_rls_prediction,strong_base,11028424,28034941.5,17147131.086170893,17394888.5,0.01389266231634445,0.007660837138614318,0.00788247636312602,0.014243115949211571
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17148072.32360834,17394888.5,0.013837571944313565,0.007641500937766055,0.007853459487111742,0.014189005948020972
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17153427.702859193,17394888.5,0.01349302382262696,0.0069636285976644174,0.007890008001457656,0.013881135089817143
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17153676.69989604,17394888.5,0.01347925037732316,0.006939194221186384,0.00789394145107379,0.013866820710230932
aggressive_rls_prediction,strong_base,11028424,28034941.5,17153690.124479838,17394888.5,0.013480113213740697,0.0069705589820303615,0.00787943983487661,0.01386604895571264
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17155302.794663694,17394888.5,0.013427484549750224,0.007441605760006964,0.00748822668369894,0.013773339526511275
baseline_prediction,strong_base,11028424,28034941.5,17168908.631071106,17394888.5,0.012557745889622374,0.0062176878886491815,0.007200952963996286,0.012991165130428639
tabm_prediction,strong_base,11028424,28034941.5,17173731.25,17394888.5,0.012285614013671875,0.006272733211517334,0.006811716815427706,0.01271392167877361
tabm_s23_aux8_tabm_prediction,strong_base,11028424,28034941.5,17183259.0,17394888.5,0.011742568016052246,0.0068062543869018555,0.005273907083153911,0.012166188935330058
tabm_s17_tabm_prediction,strong_base,11028424,28034941.5,17196648.75,17394888.5,0.011208033561706543,0.007597446441650391,0.003919946849716833,0.011396436947554989
tree_prediction,strong_base,11028424,28034941.5,17239257.80974445,17394888.5,0.008799610620965214,0.004403831038345851,0.0064417250303544765,0.008946920829963845
xgboost_prediction,strong_base,11028424,28034941.5,17242635.343189202,17394888.5,0.008539674300386357,0.0033355517434878745,0.00665197208412432,0.00875275267276343
lightgbm_prediction,strong_base,11028424,28034941.5,17243452.40303176,17394888.5,0.008490391716133638,0.00347892576961617,0.00620815076687823,0.008705781412064906
ridge_calibrated_prediction,strong_base,11028424,28034941.5,17311300.093699414,17394888.5,0.004807974721038444,0.002904875331008694,0.0019911536962343773,0.004805343035144238
