candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_1_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17150948.341392245,17394888.5,0.0136926673961548,0.007554350091760087,0.007716103840636776,0.014023668999531336
fixed_blend_2_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17151149.033689525,17394888.5,0.013681444869490056,0.00755442400029116,0.007698776261966242,0.014012131570172226
fixed_blend_3_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17151192.855035458,17394888.5,0.013674760001217257,0.007550529796147787,0.007692735088423292,0.014009612361961521
fixed_blend_1_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17151208.808101702,17394888.5,0.013664579801947196,0.007476919747625876,0.007715459332150534,0.014008695249658976
fixed_blend_0_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17151233.26142824,17394888.5,0.013659675348243505,0.007367275100394144,0.00781824608957279,0.014007289473097817
wf_blend_1_wf_blend,walk_forward_blend,11028424,28034941.5,17151318.329536505,17394888.5,0.013671636062067427,0.007524349791326546,0.007718475852710946,0.014002399064730664
fixed_blend_1_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17151422.1067686,17394888.5,0.013679210322405332,0.007621112572949507,0.007680903277252557,0.013996433103402706
fixed_blend_3_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17151449.133357838,17394888.5,0.01364527033203029,0.007469065100088934,0.007698772988612078,0.013994879394723436
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17151482.772341058,17394888.5,0.013667206748310323,0.007533955447285412,0.007731108462070449,0.013992945551731584
fixed_blend_2_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17151500.199007425,17394888.5,0.01364829229263791,0.007477009551567826,0.007690516453847357,0.013991943724880662
fixed_blend_2_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17151525.668763973,17394888.5,0.013673416965510365,0.007621156546833263,0.007671895384588004,0.013990479515636256
wf_blend_2_wf_blend,walk_forward_blend,11028424,28034941.5,17151560.746355146,17394888.5,0.013659748078581413,0.007534293336582731,0.007693454392828557,0.013988462969731219
fixed_blend_3_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17151586.511993103,17394888.5,0.013667739417440062,0.007619910493182891,0.007663071138257601,0.013986981750811256
wf_blend_3_wf_blend,walk_forward_blend,11028424,28034941.5,17151765.352165002,17394888.5,0.013644439957285237,0.0075183188922106625,0.007699706580413418,0.013976700559764854
wf_blend_0_wf_blend,walk_forward_blend,11028424,28034941.5,17151846.382930197,17394888.5,0.013619471397934601,0.007314388295513785,0.007831684222206595,0.013972042250791294
fixed_blend_0_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17151881.571492318,17394888.5,0.013601614380498206,0.007177166150520553,0.00787119968150657,0.013970019325371452
fixed_blend_8_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17152093.27204471,17394888.5,0.01359784346394235,0.007382535599222861,0.0076981979741854575,0.013957849051765336
