fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,tabm_prediction,strong_base,215864,583442.1875,406588.78125,411743.75,0.01251983642578125
rw_02,tabm_prediction,strong_base,218284,614405.9375,348787.84375,357849.0625,0.025321364402770996
rw_03,tabm_prediction,strong_base,223028,493048.84375,289125.28125,291458.84375,0.008006513118743896
rw_04,tabm_prediction,strong_base,222059,599738.3125,434081.78125,438401.9375,0.009854316711425781
rw_05,tabm_prediction,strong_base,223608,463907.5625,248772.734375,250418.53125,0.0065721869468688965
rw_01,tree_prediction,strong_base,215864,583442.1875,408021.59927869705,411743.75,0.009039968964441925
rw_02,tree_prediction,strong_base,218284,614405.9375,350730.1260878032,357849.0625,0.019893684679407997
rw_03,tree_prediction,strong_base,223028,493048.84375,289804.97923476587,291458.84375,0.0056744358618698865
rw_04,tree_prediction,strong_base,222059,599738.3125,436460.94478467124,438401.9375,0.004427427320228827
rw_05,tree_prediction,strong_base,223608,463907.5625,249289.56692357553,250418.53125,0.004508309831501189
rw_01,xgboost_prediction,strong_base,215864,583442.1875,408007.7630523791,411743.75,0.00907357293855926
rw_02,xgboost_prediction,strong_base,218284,614405.9375,350761.0691018998,357849.0625,0.019807215222479968
rw_03,xgboost_prediction,strong_base,223028,493048.84375,289862.3663789193,291458.84375,0.00547753964347053
rw_04,xgboost_prediction,strong_base,222059,599738.3125,436504.3714941532,438401.9375,0.0043283704827302705
rw_05,xgboost_prediction,strong_base,223608,463907.5625,249594.98686532176,250418.53125,0.0032886718908836654
rw_01,lightgbm_prediction,strong_base,215864,583442.1875,408047.566908964,411743.75,0.008976901509824997
rw_02,lightgbm_prediction,strong_base,218284,614405.9375,350946.9545802267,357849.0625,0.01928776303493407
rw_03,lightgbm_prediction,strong_base,223028,493048.84375,289828.7013789194,291458.84375,0.005593044802163716
rw_04,lightgbm_prediction,strong_base,222059,599738.3125,436402.5886685733,438401.9375,0.004560538310638074
rw_05,lightgbm_prediction,strong_base,223608,463907.5625,249548.67768635767,250418.53125,0.003473599015617279
rw_01,ridge_calibrated_prediction,strong_base,215864,583442.1875,409741.86064451287,411743.75,0.004861978731886318
rw_02,ridge_calibrated_prediction,strong_base,218284,614405.9375,356259.0553503721,357849.0625,0.004443234078971181
rw_03,ridge_calibrated_prediction,strong_base,223028,493048.84375,290184.29813196533,291458.84375,0.004372986599534778
rw_04,ridge_calibrated_prediction,strong_base,222059,599738.3125,437166.7214607332,438401.9375,0.0028175423820219203
rw_05,ridge_calibrated_prediction,strong_base,223608,463907.5625,249392.84672363914,250418.53125,0.004095881088516107
rw_01,baseline_prediction,strong_base,215864,583442.1875,406588.7870244499,411743.75,0.01251983296783521
rw_02,baseline_prediction,strong_base,218284,614405.9375,348434.08463360585,357849.0625,0.02630991346077416
rw_03,baseline_prediction,strong_base,223028,493048.84375,289088.46103066823,291458.84375,0.008132821391980016
rw_04,baseline_prediction,strong_base,222059,599738.3125,433909.6331613285,438401.9375,0.010246999281729896
rw_05,baseline_prediction,strong_base,223608,463907.5625,248791.34795578624,250418.53125,0.006497854955427762
rw_01,conservative_rls_prediction,strong_base,215864,583442.1875,406370.3954175225,411743.75,0.013050239578566658
rw_02,conservative_rls_prediction,strong_base,218284,614405.9375,348171.1706232689,357849.0625,0.027044619899573186
rw_03,conservative_rls_prediction,strong_base,223028,493048.84375,288819.8020654805,291458.84375,0.00905459464041225
rw_04,conservative_rls_prediction,strong_base,222059,599738.3125,433944.6348784338,438401.9375,0.010167159951400162
rw_05,conservative_rls_prediction,strong_base,223608,463907.5625,248548.04407176236,250418.53125,0.007469443930131048
rw_01,aggressive_rls_prediction,strong_base,215864,583442.1875,406367.1843751067,411743.75,0.013058038221328894
rw_02,aggressive_rls_prediction,strong_base,218284,614405.9375,347619.5324654981,357849.0625,0.028586158541359707
rw_03,aggressive_rls_prediction,strong_base,223028,493048.84375,288812.8894984491,291458.84375,0.009078311769535663
rw_04,aggressive_rls_prediction,strong_base,222059,599738.3125,434022.1722676297,438401.9375,0.009990296250390718
rw_05,aggressive_rls_prediction,strong_base,223608,463907.5625,248602.33831233918,250418.53125,0.00725262994154241
rw_01,tabm_s23_aux8_tabm_prediction,strong_base,215864,583442.1875,406480.9375,411743.75,0.012781739234924316
rw_02,tabm_s23_aux8_tabm_prediction,strong_base,218284,614405.9375,351313.6875,357849.0625,0.018262922763824463
rw_03,tabm_s23_aux8_tabm_prediction,strong_base,223028,493048.84375,289123.28125,291458.84375,0.008013367652893066
rw_04,tabm_s23_aux8_tabm_prediction,strong_base,222059,599738.3125,433860.75,438401.9375,0.01035851240158081
rw_05,tabm_s23_aux8_tabm_prediction,strong_base,223608,463907.5625,248612.5,250418.53125,0.007212042808532715
rw_01,tabm_s17_tabm_prediction,strong_base,215864,583442.1875,406831.40625,411743.75,0.011930584907531738
rw_02,tabm_s17_tabm_prediction,strong_base,218284,614405.9375,351963.46875,357849.0625,0.016447126865386963
rw_03,tabm_s17_tabm_prediction,strong_base,223028,493048.84375,288712.6875,291458.84375,0.009422123432159424
rw_04,tabm_s17_tabm_prediction,strong_base,222059,599738.3125,434840.28125,438401.9375,0.008124172687530518
rw_05,tabm_s17_tabm_prediction,strong_base,223608,463907.5625,248466.28125,250418.53125,0.007795929908752441
rw_01,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,215864,583442.1875,406572.89493502735,411743.75,0.01255843000646073
rw_02,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,218284,614405.9375,348545.52574055234,357849.0625,0.025998494154075513
rw_03,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,223028,493048.84375,288906.1704694767,291458.84375,0.008758263251441578
rw_04,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,222059,599738.3125,434083.4973413594,438401.9375,0.00985041303253964
rw_05,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,223608,463907.5625,248643.35243034494,250418.53125,0.007088847661528841
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,215864,583442.1875,406941.43267063086,411743.75,0.011663364238969298
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,218284,614405.9375,349285.15507272043,357849.0625,0.023931619011240413
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,223028,493048.84375,289016.86728500295,291458.84375,0.008378460689604794
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,222059,599738.3125,434244.1121640269,438401.9375,0.009484048724061833
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,223608,463907.5625,248792.489715694,250418.53125,0.006493295548813283
rw_01,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,215864,583442.1875,406370.30024654017,411743.75,0.013050470719858764
rw_02,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,218284,614405.9375,347588.0356938426,357849.0625,0.028674175459541318
rw_03,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,223028,493048.84375,288803.5363801385,291458.84375,0.009110402469513446
rw_04,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,222059,599738.3125,433967.2649977366,438401.9375,0.010115540381851917
rw_05,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,223608,463907.5625,248617.51998747673,250418.53125,0.007192004735165791
rw_01,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,215864,583442.1875,406573.65001847123,411743.75,0.012556596139051912
rw_02,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,218284,614405.9375,347867.7603743901,357849.0625,0.027892492035269445
rw_03,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,223028,493048.84375,288830.5935331374,291458.84375,0.009017568940597909
rw_04,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,222059,599738.3125,433962.5929651364,438401.9375,0.010126197343422128
rw_05,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,223608,463907.5625,248675.03762608752,250418.53125,0.00696231870384989
rw_01,strong_oof_ridge_stack,strong_stack,215864,583442.1875,406370.3954175225,411743.75,0.013050239578566658
rw_02,strong_oof_ridge_stack,strong_stack,218284,614405.9375,347447.6059061845,357849.0625,0.029066602888796256
rw_03,strong_oof_ridge_stack,strong_stack,223028,493048.84375,288682.5754403557,291458.84375,0.00952542140744117
rw_04,strong_oof_ridge_stack,strong_stack,222059,599738.3125,434123.1604439219,438401.9375,0.009759941026898589
rw_05,strong_oof_ridge_stack,strong_stack,223608,463907.5625,248444.6320396834,250418.53125,0.007882400717165727
rw_01,tabm_prediction_residual,residual_correction,215864,583442.1875,406588.7870244499,411743.75,0.01251983296783521
rw_02,tabm_prediction_residual,residual_correction,218284,614405.9375,348412.57675398677,357849.0625,0.026370016677110142
rw_03,tabm_prediction_residual,residual_correction,223028,493048.84375,289176.99413436104,291458.84375,0.007829062883390248
rw_04,tabm_prediction_residual,residual_correction,222059,599738.3125,433958.94895121997,438401.9375,0.010134509382226486
rw_05,tabm_prediction_residual,residual_correction,223608,463907.5625,248792.52932212042,250418.53125,0.006493137387888814
rw_01,tree_prediction_residual,residual_correction,215864,583442.1875,408021.59927869705,411743.75,0.009039968964441925
rw_02,tree_prediction_residual,residual_correction,218284,614405.9375,348444.46236479154,357849.0625,0.02628091315792802
rw_03,tree_prediction_residual,residual_correction,223028,493048.84375,289162.31852124236,291458.84375,0.007879415149013247
rw_04,tree_prediction_residual,residual_correction,222059,599738.3125,433978.6239324797,438401.9375,0.010089630517475245
rw_05,tree_prediction_residual,residual_correction,223608,463907.5625,248802.25233144226,250418.53125,0.006454310351913017
rw_01,xgboost_prediction_residual,residual_correction,215864,583442.1875,408007.7630523791,411743.75,0.00907357293855926
