candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_1_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17150669.020409446,17394888.5,0.013692652581940079,0.007417720639820935,0.007817439415261834,0.014039726646741912
fixed_blend_1_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17150712.86221376,17394888.5,0.013709699996935387,0.007569612187299679,0.007764986903513707,0.014037206262416668
fixed_blend_3_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17150812.530012958,17394888.5,0.013681593716216578,0.007415231046176474,0.007802686533176221,0.014031476544793198
fixed_blend_2_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17150813.726937834,17394888.5,0.013704181142517414,0.007569915927304827,0.00775740848645654,0.014031407735793477
fixed_blend_3_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17150841.24796224,17394888.5,0.013700769963963633,0.007569042506528234,0.00774927260557773,0.014029825602949964
fixed_blend_2_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17150864.36258692,17394888.5,0.01368196512505826,0.0074182709328349805,0.007802881618289684,0.014028496785885136
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17150973.409058955,17394888.5,0.01369364882813382,0.0075488246605991405,0.007763585130726075,0.014022227905688855
fixed_blend_0_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17150994.66079267,17394888.5,0.013672192607723588,0.007379793463927031,0.007831437216625863,0.014021006182783458
wf_blend_1_wf_blend,walk_forward_blend,11028424,28034941.5,17151077.586506274,17394888.5,0.013674251450115315,0.007424535599889204,0.007804480359945895,0.014016238936727099
wf_blend_2_wf_blend,walk_forward_blend,11028424,28034941.5,17151257.390124958,17394888.5,0.013666261060837149,0.007441617489148289,0.0077815525443562196,0.014005902358905198
wf_blend_3_wf_blend,walk_forward_blend,11028424,28034941.5,17151362.2142532,17394888.5,0.013655884948525921,0.007413057502957954,0.007801065764959366,0.013999876213452112
