candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_0_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17149848.05344614,17394888.5,0.013734496464237366,0.007428086104444009,0.007820329020044908,0.014086922520593292
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17149927.0154309,17394888.5,0.01374951038405472,0.00761670043347229,0.007697088792083828,0.0140823831419844
wf_blend_0_wf_blend,walk_forward_blend,11028424,28034941.5,17150058.28227865,17394888.5,0.013721929905539665,0.007434781660187295,0.007823291835803263,0.014074836853444128
fixed_blend_1_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17150305.79475033,17394888.5,0.01372846443967688,0.007670339258339931,0.007600355809329969,0.014060607818766502
fixed_blend_3_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17150395.091999285,17394888.5,0.013721724228796583,0.007679768463606518,0.007589307665259301,0.014055474284915048
fixed_blend_2_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17150405.014231462,17394888.5,0.013722791589032802,0.007670733358876358,0.007588680486590049,0.014054903874120117
wf_blend_1_wf_blend,walk_forward_blend,11028424,28034941.5,17150599.641274374,17394888.5,0.013707442979431873,0.007621873814921409,0.007626050435352162,0.014043715125028
wf_blend_2_wf_blend,walk_forward_blend,11028424,28034941.5,17150704.380646337,17394888.5,0.013703122724039419,0.00763248459238397,0.0076070850445393665,0.014037693852056776
wf_blend_3_wf_blend,walk_forward_blend,11028424,28034941.5,17150817.169768475,17394888.5,0.013694683641309014,0.007636138783871926,0.007614918075541853,0.014031209813821222
fixed_blend_1_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17150852.569126923,17394888.5,0.013680913358961534,0.007525661046198451,0.007647703495598024,0.014029174770110009
fixed_blend_3_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17150880.049746588,17394888.5,0.01367615485526299,0.007551376625252071,0.007631964375290302,0.014027594960060341
fixed_blend_0_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17151014.949255574,17394888.5,0.01364900094376147,0.007210395492508126,0.007884559895673045,0.014019839836537318
fixed_blend_2_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17151053.287446465,17394888.5,0.013669468868424994,0.007526488830462585,0.007624449078307805,0.014017635844778997
strong_oof_ridge_stack,strong_stack,11028424,28034941.5,17151251.835209854,17394888.5,0.013694042703213505,0.007776238479592634,0.007514690076936325,0.014006221700710864
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17151324.530011907,17394888.5,0.013689906900726578,0.0077762049115752685,0.007507053082680633,0.014002042610856247
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17151441.97223228,17394888.5,0.01368138889061441,0.007775434887623334,0.007475175273542719,0.013995291074600513
fixed_blend_4_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17152289.111376792,17394888.5,0.013557272657173857,0.007022830671444602,0.007912525743212245,0.013946590610408816
fixed_blend_6_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17152303.674643353,17394888.5,0.013555709888509782,0.007039227950163873,0.007911105148925917,0.013945753395122162
wf_blend_4_wf_blend,walk_forward_blend,11028424,28034941.5,17152311.10579647,17394888.5,0.013557548637574213,0.007038419375806293,0.007908165283202108,0.01394532619185973
wf_blend_6_wf_blend,walk_forward_blend,11028424,28034941.5,17152334.767248515,17394888.5,0.013555949318180115,0.007061637565473511,0.007906120200007971,0.013943965938700065
fixed_blend_6_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17152336.89278068,17394888.5,0.013555311841840511,0.007103627548292635,0.007873084267692764,0.013943843745783169
fixed_blend_5_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17152375.677496627,17394888.5,0.013552376003048306,0.007023284069665792,0.00790278378487432,0.01394161408412442
fixed_blend_4_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17152409.057470873,17394888.5,0.013553167089250672,0.007068621204635361,0.007875985732130896,0.013939695131079843
wf_blend_5_wf_blend,walk_forward_blend,11028424,28034941.5,17152432.278775778,17394888.5,0.013550631422772486,0.007035166959436956,0.007899718682741478,0.01393836018116601
fixed_blend_5_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17152592.90464202,17394888.5,0.01354275752740568,0.007069528052479401,0.00785529743949533,0.013929126096898004
fixed_blend_3_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17152706.70845177,17394888.5,0.013557334582612702,0.007391062964529294,0.007642133300574792,0.013922583726146298
fixed_blend_1_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17152892.158339635,17394888.5,0.01355138946106722,0.0073422038431683045,0.007656259783548663,0.013911922554741607
conservative_rls_prediction,strong_base,11028424,28034941.5,17153076.03545243,17394888.5,0.013525685344950088,0.00723952404374173,0.007695704932715204,0.013901351799269657
fixed_blend_2_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153196.65485487,17394888.5,0.013534074541390061,0.007343504894351538,0.007621517153454918,0.013894417612687171
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17153197.921048537,17394888.5,0.013519408399620358,0.007215484225074675,0.007732437933227645,0.013894344821552829
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17153427.702859193,17394888.5,0.01349302382262696,0.0069636285976644174,0.007890008001457656,0.013881135089817143
fixed_blend_6_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153527.35727117,17394888.5,0.01349182968261924,0.007156827392051035,0.007775853023633235,0.013875406141800273
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17153676.69989604,17394888.5,0.01347925037732316,0.006939194221186384,0.00789394145107379,0.013866820710230932
aggressive_rls_prediction,strong_base,11028424,28034941.5,17153690.124160565,17394888.5,0.013480113235731173,0.0069705589820303615,0.007879439817765902,0.013866048974066958
fixed_blend_4_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153787.541141428,17394888.5,0.013480707118857427,0.0071010001972370285,0.0077803330878878476,0.013860448651830781
strong_oof_ridge_stack_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153919.79592333,17394888.5,0.01353684550390053,0.007772965731002057,0.007264689778649136,0.013852845568781302
fixed_blend_5_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17154079.384295367,17394888.5,0.013464168395698906,0.007102360546105135,0.007747505821448387,0.013843671128138224
strong_oof_ridge_stack_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17154691.440603763,17394888.5,0.013491710006406454,0.007771307579654496,0.007192336375125385,0.013808485141841409
strong_oof_ridge_stack_prediction_residual,residual_correction,11028424,28034941.5,17155683.948268972,17394888.5,0.013433253667391277,0.0077760134311322116,0.007107014670624687,0.013751427709986608
