candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_1_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17148187.325778313,17394888.5,0.013849586040193883,0.0077634663745760335,0.007815730117012224,0.014182394685754218
fixed_blend_3_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17148190.08233595,17394888.5,0.013847043591757369,0.007771594063721077,0.007808196629429397,0.014182236216348953
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17148197.19748199,17394888.5,0.013849452082935332,0.007703196355255626,0.007854586124051497,0.014181827179749362
fixed_blend_2_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17148290.60180206,17394888.5,0.013843899936696723,0.007764285187379483,0.007805358512104307,0.014176457537968257
wf_blend_0_wf_blend,walk_forward_blend,11028424,28034941.5,17148439.666109066,17394888.5,0.013822167275383147,0.007585855215761272,0.007876831113896358,0.014167888106378701
wf_blend_1_wf_blend,walk_forward_blend,11028424,28034941.5,17148502.779460426,17394888.5,0.0138298290965996,0.007750432213765479,0.007794574665164948,0.014164259836421111
wf_blend_3_wf_blend,walk_forward_blend,11028424,28034941.5,17148568.532788716,17394888.5,0.013823534858665786,0.007750918670017648,0.007796131083953551,0.014160479799067649
fixed_blend_0_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17148599.32774603,17394888.5,0.013805305158896285,0.007496321360520586,0.007902665327330784,0.014158709453870322
wf_blend_2_wf_blend,walk_forward_blend,11028424,28034941.5,17148627.751497045,17394888.5,0.013823752051861015,0.0077585992625034406,0.007775942693535984,0.014157075424941934
strong_oof_ridge_stack,strong_stack,11028424,28034941.5,17149136.438746307,17394888.5,0.013818936510910707,0.007870423758861822,0.007770518169064444,0.014127831934863666
fixed_blend_3_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17149141.811549693,17394888.5,0.0137724295824315,0.007629001250051615,0.0078044480824550665,0.014127523062324121
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17149182.135090765,17394888.5,0.01381622207609039,0.007870434521837999,0.007764359778991147,0.014125204936452196
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17149257.788619656,17394888.5,0.013811063051714223,0.007870041301418218,0.007747906859400299,0.01412085575485833
fixed_blend_1_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17149427.591287352,17394888.5,0.013760131871475645,0.00759864733351423,0.007802392613968124,0.014111094113230305
fixed_blend_2_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17149637.143040195,17394888.5,0.013748635430721422,0.007600324903600186,0.00778185462975051,0.014099047370140116
conservative_rls_prediction,strong_base,11028424,28034941.5,17150296.933944978,17394888.5,0.013688247330018787,0.007319686698541661,0.00800488493402244,0.014061117210094398
fixed_blend_0_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17150342.82953843,17394888.5,0.013686495738793502,0.007249798774656924,0.007914521489039499,0.014058478757226212
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17151318.92344102,17394888.5,0.013627632132116907,0.007296879347015062,0.00795984714987133,0.014002364922257593
strong_oof_ridge_stack_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17151470.11168255,17394888.5,0.013682420349689205,0.007868848078078416,0.007538223424808515,0.013993673389596673
fixed_blend_3_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17151991.62638754,17394888.5,0.01359509448293308,0.007442645317853103,0.007758383577952358,0.01396369247278928
fixed_blend_6_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17152236.034217745,17394888.5,0.013558744303829884,0.007046694109179685,0.007931622239698548,0.013949641918213795
fixed_blend_4_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17152260.806431096,17394888.5,0.01355789049635776,0.007023874689990439,0.007934414648776412,0.01394821780943889
fixed_blend_5_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17152355.42573803,17394888.5,0.013552762564703502,0.007024820155669298,0.007925534976654974,0.01394277832030777
fixed_blend_6_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17152390.78200231,17394888.5,0.013550986876003313,0.007115865557928203,0.00790886622760451,0.013940745754000616
strong_oof_ridge_stack_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17152428.961718027,17394888.5,0.013626142879438818,0.007867381424087383,0.007433546841909494,0.01393855087268736
wf_blend_6_wf_blend,walk_forward_blend,11028424,28034941.5,17152635.64661184,17394888.5,0.013539386248122166,0.00706535619099713,0.007909620996141613,0.0139266689400257
wf_blend_4_wf_blend,walk_forward_blend,11028424,28034941.5,17152647.31911557,17394888.5,0.013538563623948585,0.00703115458909398,0.00791514520884347,0.013925997909353005
fixed_blend_4_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17152713.266767956,17394888.5,0.013534160823835916,0.007065922667998659,0.007900554680893235,0.01392220670066635
wf_blend_5_wf_blend,walk_forward_blend,11028424,28034941.5,17152728.174507372,17394888.5,0.013534348909077365,0.007028994683568213,0.007911063328483847,0.013921349682271766
fixed_blend_1_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17152857.23527343,17394888.5,0.013550574004755988,0.007375966635676412,0.00772978066600758,0.013913930217291814
fixed_blend_5_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17152911.27623171,17394888.5,0.013523408612205556,0.007067769108585198,0.00788195518757379,0.013910823502449543
fixed_blend_2_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153176.062460713,17394888.5,0.013533142992984647,0.007378542907523822,0.0076992337640974864,0.013895601431379467
strong_oof_ridge_stack_prediction_residual,residual_correction,11028424,28034941.5,17153265.918446813,17394888.5,0.013577465858353576,0.007881054393939046,0.007332102880243407,0.013890435776762078
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17153427.702859193,17394888.5,0.01349302382262696,0.0069636285976644174,0.007890008001457656,0.013881135089817143
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17153676.69989604,17394888.5,0.01347925037732316,0.006939194221186384,0.00789394145107379,0.013866820710230932
aggressive_rls_prediction,strong_base,11028424,28034941.5,17153690.124479838,17394888.5,0.013480113213740697,0.0069705589820303615,0.00787943983487661,0.01386604895571264
fixed_blend_6_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153891.946212895,17394888.5,0.013469751539147335,0.0071711429439101915,0.00782161271563448,0.013854446597177383
fixed_blend_4_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17154785.08386977,17394888.5,0.01342183480506165,0.007089772531689409,0.007788265127415831,0.013803101763499637
fixed_blend_5_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17155095.25434024,17394888.5,0.013404961965133166,0.007092475456412117,0.007759131417812833,0.013785270636242464
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17156739.526849493,17394888.5,0.013315038293261972,0.00721252626712543,0.007669813254904166,0.013690744447744319
fixed_blend_8_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17156948.03315263,17394888.5,0.01330438481873104,0.007186497778321144,0.00766740643432693,0.013678757805626107
wf_blend_8_wf_blend,walk_forward_blend,11028424,28034941.5,17157057.339560952,17394888.5,0.013298018747804586,0.00721252626712543,0.0076474968011009505,0.013672473982172861
fixed_blend_9_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17157062.95580205,17394888.5,0.013298112863441491,0.007187406343321379,0.007656513693250103,0.013672151114849096
wf_blend_9_wf_blend,walk_forward_blend,11028424,28034941.5,17157110.983438242,17394888.5,0.013293307088563045,0.00721252626712543,0.007623969613791087,0.013669390094783185
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17157135.36260551,17394888.5,0.013292574437356385,0.007228827362247836,0.007653339863375428,0.013667988581501533
fixed_blend_8_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17157306.990401518,17394888.5,0.01328514601834956,0.007158304617708944,0.007654547959916178,0.013658122016618979
fixed_blend_9_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17157532.070988588,17394888.5,0.01327286844187201,0.007160101857390799,0.007633277893832491,0.013645182549541057
fixed_blend_8_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17157816.398596156,17394888.5,0.013257321892117502,0.007127946785289496,0.007631260507900093,0.013628837080723044
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,11028424,28034941.5,17158121.820271708,17394888.5,0.01322746453291621,0.007188910486470745,0.0076670296090345326,0.013611278952911476
fixed_blend_9_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17158146.872409105,17394888.5,0.013239305028553704,0.007130612809333803,0.0076001354306488075,0.013609838751820424
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17158476.257736545,17394888.5,0.013220912440034871,0.007095424281062468,0.0075975780544678935,0.013590902997938414
fixed_blend_7_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17158562.52912339,17394888.5,0.013216256204114263,0.007096337476928616,0.007589558671820685,0.013585943415309165
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17158567.634631976,17394888.5,0.013216107624095797,0.007095424281062468,0.0075921991350265524,0.013585649909053643
wf_blend_7_wf_blend,walk_forward_blend,11028424,28034941.5,17158619.864192184,17394888.5,0.013212511077996637,0.007095424281062468,0.0075798702259250094,0.013582647328139852
fixed_blend_7_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17158663.136640184,17394888.5,0.013210789156049318,0.007097227695231911,0.0075801432379460215,0.013580159675057213
fixed_blend_7_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17158778.080286924,17394888.5,0.013204511295839948,0.007098094935972354,0.0075693324186561755,0.013573551777183113
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17158907.360063612,17394888.5,0.013197422623486443,0.007098939199150389,0.00755712698761988,0.013566119721686531
baseline_prediction,strong_base,11028424,28034941.5,17168908.631071106,17394888.5,0.012557745889622374,0.0062176878886491815,0.007200952963996286,0.012991165130428639
tabm_prediction,strong_base,11028424,28034941.5,17173731.25,17394888.5,0.012285614013671875,0.006272733211517334,0.006811716815427706,0.01271392167877361
tabm_s23_aux8_tabm_prediction,strong_base,11028424,28034941.5,17183259.0,17394888.5,0.011742568016052246,0.0068062543869018555,0.005273907083153911,0.012166188935330058
tabm_s17_tabm_prediction,strong_base,11028424,28034941.5,17196648.75,17394888.5,0.011208033561706543,0.007597446441650391,0.003919946849716833,0.011396436947554989
tree_prediction,strong_base,11028424,28034941.5,17239257.80974445,17394888.5,0.008799610620965214,0.004403831038345851,0.0064417250303544765,0.008946920829963845
xgboost_prediction,strong_base,11028424,28034941.5,17242635.343189202,17394888.5,0.008539674300386357,0.0033355517434878745,0.00665197208412432,0.00875275267276343
lightgbm_prediction,strong_base,11028424,28034941.5,17243452.40303176,17394888.5,0.008490391716133638,0.00347892576961617,0.00620815076687823,0.008705781412064906
ridge_calibrated_prediction,strong_base,11028424,28034941.5,17311300.093699414,17394888.5,0.004807974721038444,0.002904875331008694,0.0019911536962343773,0.004805343035144238
