candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_1_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17148209.731500953,17394888.5,0.013850463647573719,0.007756035917383164,0.007747823506674148,0.014181106622157769
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17148221.721586052,17394888.5,0.013849369617530827,0.007693095363025315,0.007808324868163219,0.014180417334319073
fixed_blend_3_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17148237.30866094,17394888.5,0.013846573619834013,0.007765291669377006,0.0077390547903426156,0.01417952126218347
fixed_blend_2_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17148311.73048013,17394888.5,0.013844797922559637,0.007756703435360279,0.00773718642582715,0.014175242889304496
wf_blend_0_wf_blend,walk_forward_blend,11028424,28034941.5,17148406.09995188,17394888.5,0.01382416367104784,0.007564080245943572,0.00786881302990997,0.014169817762736514
wf_blend_1_wf_blend,walk_forward_blend,11028424,28034941.5,17148448.03266982,17394888.5,0.013832633109209014,0.007721297925753934,0.007748170692707355,0.01416740712825959
fixed_blend_0_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17148542.805234622,17394888.5,0.013809697006358234,0.0074866637682659,0.00788526942267505,0.014161958828616705
wf_blend_3_wf_blend,walk_forward_blend,11028424,28034941.5,17148547.90389067,17394888.5,0.01382420311793453,0.007725582432120182,0.007747210221658109,0.014161665716301175
wf_blend_2_wf_blend,walk_forward_blend,11028424,28034941.5,17148576.604889646,17394888.5,0.013826462875369839,0.007730278538772728,0.007728651170241656,0.01416001574889969
fixed_blend_3_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17148838.061255604,17394888.5,0.013792624115161134,0.007633026124310716,0.0077573580524579345,0.01414498510550366
fixed_blend_1_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17149025.3017935,17394888.5,0.013786024870375169,0.007604520061431863,0.007758602432597238,0.014134220992937041
fixed_blend_2_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17149232.746889412,17394888.5,0.013774550751358982,0.0076059012020460726,0.007737555548797432,0.014122295357661407
strong_oof_ridge_stack,strong_stack,11028424,28034941.5,17149314.881379962,17394888.5,0.01380993290824124,0.007862802964090587,0.007681679537143735,0.014117573597556388
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17149375.040241435,17394888.5,0.013806518337194573,0.007862782136130009,0.007675445973242828,0.014114115175763553
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17149429.34632745,17394888.5,0.013802215143409824,0.007862801675621145,0.007655993788996318,0.014110993219217827
fixed_blend_0_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17150278.132325668,17394888.5,0.013690915074723664,0.007243508179812341,0.007912488141741116,0.014062198080449395
conservative_rls_prediction,strong_base,11028424,28034941.5,17150531.395749267,17394888.5,0.013673747016455694,0.007316222215878021,0.00788585882549507,0.014047638434171783
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17150954.18025119,17394888.5,0.013649240177422728,0.007289197252999036,0.007906706155404796,0.014023333334318933
fixed_blend_3_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17151117.139163956,17394888.5,0.013648084394222715,0.007466006328892272,0.0077358957564104035,0.014013965127516848
fixed_blend_6_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17151655.237573862,17394888.5,0.013594737564224423,0.007140674574200201,0.007911950778991171,0.013983030844155087
fixed_blend_1_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17151761.5922576,17394888.5,0.013616616576645613,0.007408255396236796,0.007713457011041884,0.013976916709894427
wf_blend_6_wf_blend,walk_forward_blend,11028424,28034941.5,17151858.838141475,17394888.5,0.013583865349205127,0.007103606794498618,0.007920548444186682,0.013971326223707892
strong_oof_ridge_stack_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17151862.024889108,17394888.5,0.013659904797173494,0.007862347518676427,0.007429658904184985,0.013971143023474575
fixed_blend_4_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17151879.731862664,17394888.5,0.01358394591114973,0.007096518586389711,0.007903463183993258,0.013970125082281237
fixed_blend_6_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17151892.498954345,17394888.5,0.013579317799526059,0.007058837619384084,0.00793335055888796,0.013969391125769781
fixed_blend_4_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17151892.86210754,17394888.5,0.013580063521049257,0.007037844423691708,0.007934789125512497,0.013969370248763546
wf_blend_4_wf_blend,walk_forward_blend,11028424,28034941.5,17151902.32949695,17394888.5,0.013581640543696927,0.007063808769774194,0.00792515275091136,0.01396882598603899
fixed_blend_5_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17151987.14307816,17394888.5,0.013574900769637277,0.007038621548144275,0.007925538046290448,0.013963950209961995
wf_blend_5_wf_blend,walk_forward_blend,11028424,28034941.5,17152026.111590482,17394888.5,0.013574784364623827,0.007060619729645667,0.007917849771507009,0.013961709982189152
fixed_blend_5_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17152076.8862805,17394888.5,0.013573142423602991,0.007098045868971226,0.007884218910557725,0.013958791039074492
fixed_blend_2_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17152077.930607807,17394888.5,0.013599191394639254,0.007410396264147856,0.0076821840720172705,0.013958731002627234
strong_oof_ridge_stack_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17152520.967192125,17394888.5,0.013621407884694525,0.007862703916055924,0.007367634502822325,0.01393326164797637
fixed_blend_6_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17152715.918717746,17394888.5,0.013539283116721946,0.007209139462112546,0.007825682002050914,0.013922054244972837
fixed_blend_4_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153388.31212457,17394888.5,0.013504670992928337,0.007139651085758314,0.007795898051085985,0.013883399590369994
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17153427.702859193,17394888.5,0.01349302382262696,0.0069636285976644174,0.007890008001457656,0.013881135089817143
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17153676.69989604,17394888.5,0.01347925037732316,0.006939194221186384,0.00789394145107379,0.013866820710230932
aggressive_rls_prediction,strong_base,11028424,28034941.5,17153690.124160565,17394888.5,0.013480113235731173,0.0069705589820303615,0.007879439817765902,0.013866048974066958
fixed_blend_5_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153696.932466216,17394888.5,0.013487748784524078,0.0071419015601450475,0.007765940875772928,0.013865657577154522
strong_oof_ridge_stack_prediction_residual,residual_correction,11028424,28034941.5,17153853.771754827,17394888.5,0.013543110259030721,0.007867811934495261,0.0072246233298223226,0.013856641176238194
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17155074.542385995,17394888.5,0.013412954457018756,0.007264232283121119,0.007674485989897547,0.013786461328223254
fixed_blend_8_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17155177.734510224,17394888.5,0.013408538886358535,0.007242964146505271,0.0076751498887058225,0.013780529003665443
fixed_blend_9_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17155292.48457357,17394888.5,0.013402235519672411,0.007243719830840933,0.007664005530260046,0.01377393223454293
wf_blend_8_wf_blend,walk_forward_blend,11028424,28034941.5,17155337.323748555,17394888.5,0.013400262701649845,0.007260854441041964,0.007661954246927112,0.013771354513220646
fixed_blend_8_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17155436.14196951,17394888.5,0.013395281081032783,0.0072197097074125915,0.007664965445865674,0.013765673636280562
wf_blend_9_wf_blend,walk_forward_blend,11028424,28034941.5,17155444.304245338,17394888.5,0.013392340187770978,0.007264232283121119,0.007639885116519691,0.013765204402124365
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17155551.28786072,17394888.5,0.013385820746960531,0.007278780003499019,0.0076543149825047,0.013759054111745495
fixed_blend_9_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17155660.588510975,17394888.5,0.01338295677312067,0.007221208403171753,0.007643207960622987,0.013752770619312904
fixed_blend_8_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17155849.76476385,17394888.5,0.01337318104104166,0.007194468965843526,0.007643949158239326,0.013741895226068834
fixed_blend_9_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17156178.854198225,17394888.5,0.013355118217363304,0.007196698000113244,0.007612116930080677,0.013722976482532512
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17156418.602893252,17394888.5,0.013342238766385073,0.007167241921797851,0.007612129340147879,0.013709193773029815
fixed_blend_7_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17156502.666715883,17394888.5,0.013337664078457734,0.007168001576526417,0.0076040371345718295,0.013704361099188267
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17156510.533212386,17394888.5,0.013337442988119808,0.007167241921797851,0.007607146251504511,0.013703908868838877
wf_blend_7_wf_blend,walk_forward_blend,11028424,28034941.5,17156563.990561258,17394888.5,0.013333733198655651,0.007167241921797851,0.00759419149467244,0.013700835704623326
fixed_blend_7_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17156602.134447105,17394888.5,0.013332219363484587,0.007168745911414143,0.007594445607943895,0.013698642883102963
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,11028424,28034941.5,17156632.93294356,17394888.5,0.01331562658548111,0.007237447762659555,0.0076627001363496336,0.013696872334446941
fixed_blend_7_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17156717.006086912,17394888.5,0.013325904621465523,0.007169474926460584,0.00758335548337464,0.013692039124774347
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17156847.281635314,17394888.5,0.013318719852400495,0.007170188621665741,0.007570767607072095,0.013684549824201864
baseline_prediction,strong_base,11028424,28034941.5,17168908.631071106,17394888.5,0.012557745889622374,0.0062176878886491815,0.007200952963996286,0.012991165130428639
tabm_prediction,strong_base,11028424,28034941.5,17173731.25,17394888.5,0.012285614013671875,0.006272733211517334,0.006811716815427706,0.01271392167877361
tabm_s23_aux8_tabm_prediction,strong_base,11028424,28034941.5,17183259.0,17394888.5,0.011742568016052246,0.0068062543869018555,0.005273907083153911,0.012166188935330058
tabm_s17_tabm_prediction,strong_base,11028424,28034941.5,17196648.75,17394888.5,0.011208033561706543,0.007597446441650391,0.003919946849716833,0.011396436947554989
tree_prediction,strong_base,11028424,28034941.5,17239257.80974445,17394888.5,0.008799610620965214,0.004403831038345851,0.0064417250303544765,0.008946920829963845
xgboost_prediction,strong_base,11028424,28034941.5,17242635.343189202,17394888.5,0.008539674300386357,0.0033355517434878745,0.00665197208412432,0.00875275267276343
lightgbm_prediction,strong_base,11028424,28034941.5,17243452.40303176,17394888.5,0.008490391716133638,0.00347892576961617,0.00620815076687823,0.008705781412064906
ridge_calibrated_prediction,strong_base,11028424,28034941.5,17311300.093699414,17394888.5,0.004807974721038444,0.002904875331008694,0.0019911536962343773,0.004805343035144238
