candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_0_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17149590.635025058,17394888.5,0.013749031225921526,0.007437087406427345,0.007823040025247495,0.014101721029999292
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17149635.979715295,17394888.5,0.013765133436662459,0.007629620778603741,0.0076851749561904345,0.01409911424753918
wf_blend_0_wf_blend,walk_forward_blend,11028424,28034941.5,17149946.550831307,17394888.5,0.013728409967291721,0.007452741527678386,0.007801619141055249,0.014081260087909886
fixed_blend_1_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17149991.676886182,17394888.5,0.013743762769422685,0.0076824959489398825,0.007570385634250685,0.01407866587439277
fixed_blend_2_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17150083.82150758,17394888.5,0.013738524674605391,0.007682939188784599,0.007559579666722126,0.014073368650360685
fixed_blend_3_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17150111.267377492,17394888.5,0.013735355051785358,0.00769286327241947,0.00755511633513109,0.014071790838010134
wf_blend_1_wf_blend,walk_forward_blend,11028424,28034941.5,17150327.49886778,17394888.5,0.013718812981698325,0.007618957866143972,0.007602479041523221,0.014059360089156092
wf_blend_2_wf_blend,walk_forward_blend,11028424,28034941.5,17150417.597893886,17394888.5,0.013715433777588859,0.007630296465776065,0.007584866066070206,0.014054180462617749
fixed_blend_1_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17150424.791018132,17394888.5,0.013701771194467383,0.007532100338451753,0.007627577700449759,0.014053766943195267
fixed_blend_3_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17150494.86603656,17394888.5,0.013694806916019875,0.007560284137423268,0.007605383413391002,0.014049738459860794
wf_blend_3_wf_blend,walk_forward_blend,11028424,28034941.5,17150591.258887455,17394888.5,0.013703903250249394,0.00763668239702997,0.007586317499893931,0.014044197012964221
fixed_blend_2_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17150613.192136154,17394888.5,0.013691106220477445,0.007533033880258944,0.007606012909456159,0.014042936111021698
fixed_blend_0_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17150854.542631056,17394888.5,0.013658328028725575,0.007215090012780978,0.00789120755391667,0.014029061317003766
strong_oof_ridge_stack,strong_stack,11028424,28034941.5,17150990.576701768,17394888.5,0.013706634660948347,0.007792690129309943,0.007477452266127408,0.014021240969623427
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17151062.18031394,17394888.5,0.013702680853744575,0.007792641906471776,0.007471328907168942,0.014017124610258835
strong_oof_ridge_stack_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17151147.242462277,17394888.5,0.013696037549368812,0.007792531899817989,0.007441499553037061,0.014012234544517055
wf_blend_4_wf_blend,walk_forward_blend,11028424,28034941.5,17152042.008423347,17394888.5,0.013570797724879879,0.007040650541835114,0.00790779662621617,0.013960796102639783
fixed_blend_6_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17152064.43962837,17394888.5,0.013567920488438157,0.007099853982117987,0.007868670392367572,0.013959506574108271
fixed_blend_4_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17152079.336137485,17394888.5,0.013568757264874743,0.007062040212324927,0.00787830318152696,0.01395865020132292
wf_blend_6_wf_blend,walk_forward_blend,11028424,28034941.5,17152122.288385343,17394888.5,0.013566276612283157,0.007068326535445091,0.007900198894461417,0.013956180955954856
fixed_blend_3_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17152141.372678977,17394888.5,0.013584990253652007,0.007394952724321002,0.007627775780390603,0.013955083835175075
fixed_blend_4_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17152146.50791252,17394888.5,0.013563898266275487,0.007019052779977608,0.007913308487131914,0.013954788620086811
wf_blend_5_wf_blend,walk_forward_blend,11028424,28034941.5,17152184.1769958,17394888.5,0.013562784761411106,0.007037938051085435,0.007897354984069465,0.013952623094088845
fixed_blend_6_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17152202.369758166,17394888.5,0.013560086175146457,0.00703664258157366,0.007907472199302436,0.013951577225794431
fixed_blend_5_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17152227.78523514,17394888.5,0.013559333350699077,0.007019576158733831,0.0079041694517054,0.013950116136982382
fixed_blend_5_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17152253.247523807,17394888.5,0.013558989863205983,0.007063080606014016,0.007858947375482674,0.013948652357052671
fixed_blend_1_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17152289.919097606,17394888.5,0.013580659936082507,0.007341503297845331,0.0076486077164589,0.013946544176031583
conservative_rls_prediction,strong_base,11028424,28034941.5,17152554.142235048,17394888.5,0.013547118527512336,0.007222982661999056,0.00768350865369187,0.01393135447605498
fixed_blend_2_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17152578.68858749,17394888.5,0.013564379298564555,0.007342974203732755,0.007616326079574388,0.013929943351606355
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17152622.68286881,17394888.5,0.013544190263448663,0.007198431672945316,0.0077292758195500405,0.013927414201659993
fixed_blend_6_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153013.912143894,17394888.5,0.013516526784949922,0.007153262799297844,0.007773493443216467,0.013904923153494564
fixed_blend_4_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153226.187208183,17394888.5,0.013507600840872302,0.007092590894706041,0.007784898174417353,0.013892719852261037
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17153427.702533282,17394888.5,0.013493023845074559,0.0069636285976644174,0.007890007983980504,0.013881135108553155
fixed_blend_5_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17153504.08939929,17394888.5,0.013491993382595125,0.00709414193950475,0.007754262333272263,0.013876743768763466
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17153676.69955583,17394888.5,0.013479250400755904,0.006939194221186384,0.007893941432895383,0.013866820729789175
aggressive_rls_prediction,strong_base,11028424,28034941.5,17153690.124160565,17394888.5,0.013480113235731173,0.0069705589820303615,0.007879439817765902,0.013866048974066958
strong_oof_ridge_stack_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17154082.27683309,17394888.5,0.013525406414236163,0.00779289392839988,0.007178898852287202,0.013843504841488885
strong_oof_ridge_stack_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17154514.04782846,17394888.5,0.013500383307907394,0.007792727578266878,0.007150934584005222,0.013818683124731779
fixed_blend_8_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17154997.696196023,17394888.5,0.013410235870664967,0.007177336189365446,0.007639220198027794,0.013790879073698914
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17155050.787304737,17394888.5,0.0134059050646816,0.007196869033112785,0.007621908834804551,0.01378782696395342
fixed_blend_8_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17155069.378129765,17394888.5,0.013407433460923856,0.007156464540450935,0.007646862800247511,0.01378675821177211
fixed_blend_9_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17155102.813793346,17394888.5,0.013404333769540954,0.0071778615018074365,0.007627782067041155,0.01378483605725056
wf_blend_8_wf_blend,walk_forward_blend,11028424,28034941.5,17155148.69177593,17394888.5,0.013404995622495886,0.0071704491606949805,0.007645948716644672,0.013782198616798857
wf_blend_9_wf_blend,walk_forward_blend,11028424,28034941.5,17155249.96485944,17394888.5,0.013397820266162453,0.007188306302675418,0.00762214142804839,0.013776376614346164
fixed_blend_8_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17155265.83310596,17394888.5,0.013397497835458249,0.007134254086369474,0.007644837549215904,0.013775464378173008
fixed_blend_9_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17155275.076549023,17394888.5,0.013395883145191644,0.007157507512388195,0.007624448246752459,0.013774932989709998
strong_oof_ridge_stack_prediction_residual,residual_correction,11028424,28034941.5,17155335.37882816,17394888.5,0.013451512846711866,0.007796071069534394,0.007085692191935089,0.013771466323100556
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17155528.126702406,17394888.5,0.013378444628549646,0.007207770261026258,0.00760003078951365,0.013760385603943104
fixed_blend_9_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17155567.57557177,17394888.5,0.013380553191633494,0.007135807064854283,0.007611914236099756,0.01375811776133129
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17155587.061124608,17394888.5,0.013380428994268145,0.0071107048271210616,0.007633153283702131,0.013756997572901497
fixed_blend_7_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17155665.19145185,17394888.5,0.013376054862527288,0.007111232371200371,0.007624470406970172,0.013752506004746645
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17155678.702868212,17394888.5,0.01337561634809239,0.0071107048271210616,0.007627846826933769,0.013751729258384637
wf_blend_7_wf_blend,walk_forward_blend,11028424,28034941.5,17155739.08801074,17394888.5,0.013371535014507807,0.0071107048271210616,0.007614445256669176,0.013748257828111954
fixed_blend_7_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17155756.776517093,17394888.5,0.013370915971046716,0.007111750774574488,0.0076144158479865285,0.013747240948564055
fixed_blend_7_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17155861.816320337,17394888.5,0.013365012319826518,0.007112260037243079,0.007602990265398314,0.013741202404353614
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17155980.310861584,17394888.5,0.013358343908866654,0.007112760159206366,0.0075901944203564066,0.013734390372115102
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,11028424,28034941.5,17156636.95900097,17394888.5,0.013308316385074126,0.007172914451091694,0.007580147911798579,0.013696640883845257
baseline_prediction,strong_base,11028424,28034941.5,17168908.631071106,17394888.5,0.012557745889622374,0.0062176878886491815,0.007200952963996286,0.012991165130428639
tabm_prediction,strong_base,11028424,28034941.5,17173731.25,17394888.5,0.012285614013671875,0.006272733211517334,0.006811716815427706,0.01271392167877361
tabm_s23_aux8_tabm_prediction,strong_base,11028424,28034941.5,17183259.0,17394888.5,0.011742568016052246,0.0068062543869018555,0.005273907083153911,0.012166188935330058
tabm_s17_tabm_prediction,strong_base,11028424,28034941.5,17196648.75,17394888.5,0.011208033561706543,0.007597446441650391,0.003919946849716833,0.011396436947554989
tree_prediction,strong_base,11028424,28034941.5,17239257.80974445,17394888.5,0.008799610620965214,0.004403831038345851,0.0064417250303544765,0.008946920829963845
xgboost_prediction,strong_base,11028424,28034941.5,17242635.343189202,17394888.5,0.008539674300386357,0.0033355517434878745,0.00665197208412432,0.00875275267276343
