candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_2_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17157818.013326097,17394888.5,0.013372873296103238,0.007148817697843368,0.007633523952009888,0.013628744252882297
fixed_blend_2_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17157819.30121717,17394888.5,0.0133706681144373,0.007131333408727847,0.0076381580279791935,0.01362867021440417
fixed_blend_0_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17157821.658865277,17394888.5,0.013376056009781067,0.007163460593156312,0.007595213313212247,0.013628534677570525
wf_blend_4_wf_blend,walk_forward_blend,11028424,28034941.5,17157876.34226827,17394888.5,0.013379954802221806,0.007196423354778658,0.007618732593678308,0.013625391029768896
fixed_blend_4_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17157882.778963577,17394888.5,0.01337936802493569,0.007193310639871164,0.007619355543617735,0.013625020996048565
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17157885.60125348,17394888.5,0.013368545436083479,0.00713836911418031,0.007612186090321089,0.013624858747816604
fixed_blend_4_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17157891.133970972,17394888.5,0.013380500673998829,0.00720101846057708,0.0075983880592914175,0.013624540682110609
fixed_blend_0_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17157916.61262107,17394888.5,0.013375160786666385,0.007186789574618158,0.00757325531400127,0.013623075961592401
fixed_blend_1_w0p75_fixed_blend,fixed_blend,11028424,28034941.5,17158024.071732923,17394888.5,0.013360754452582469,0.007137925269933398,0.007600291021279315,0.013616898335800043
fixed_blend_1_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17158104.233296134,17394888.5,0.013360131909132855,0.007162325349366561,0.007570837097122444,0.013612289995642457
fixed_blend_2_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17158104.576112468,17394888.5,0.013359244610571318,0.007163968005036714,0.007610216005568635,0.013612270287764794
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17158108.43978569,17394888.5,0.013352629065573617,0.007111515137690261,0.007624092203959782,0.013612048172330082
fixed_blend_4_w0p25_fixed_blend,fixed_blend,11028424,28034941.5,17158145.397498682,17394888.5,0.013362461819549943,0.007185232596447988,0.00760930673726963,0.013609923541695435
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17158170.462520864,17394888.5,0.013365859766739475,0.007208356058566068,0.007546408138024794,0.0136084825998819
fixed_blend_5_w0p5_fixed_blend,fixed_blend,11028424,28034941.5,17158191.4574169,17394888.5,0.01336190834223121,0.007191835022151594,0.007591876860927747,0.013607275642100292
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17158229.175905153,17394888.5,0.013361974625146055,0.007206250315215712,0.0075362365189551705,0.013605107275901585
